cluster,Average_silhouette_score,dose
2,0.5136004298472946,common_compounds
3,0.1053798939331078,common_compounds
4,0.05925128469241795,common_compounds
5,0.059918252593417286,common_compounds
6,0.0616474279039741,common_compounds
7,0.06290857091744366,common_compounds
8,0.02573958581187778,common_compounds
9,0.062218590760514,common_compounds
10,0.02771388547259473,common_compounds
11,0.021293099927390476,common_compounds
12,0.024316625676618946,common_compounds
13,0.024522294494640585,common_compounds
14,0.014238279297386556,common_compounds
15,0.012720676073657308,common_compounds
16,0.014874827667043655,common_compounds
17,0.0009315157659344948,common_compounds
18,0.01537594463969513,common_compounds
19,0.001491878816305598,common_compounds
20,0.0027305644299698614,common_compounds
21,0.0022201650851781324,common_compounds
22,0.006185846827124467,common_compounds
23,0.00475916402479828,common_compounds
24,-0.001294465899349694,common_compounds
25,0.006211670106156501,common_compounds
26,-0.0018361404574177144,common_compounds
27,0.001989136131472782,common_compounds
28,0.004463706877192751,common_compounds
29,0.001412425470792225,common_compounds
30,0.0002642275840326379,common_compounds
31,-0.0006725896294771527,common_compounds
32,0.0019716459651275284,common_compounds
33,-0.00036653691505852986,common_compounds
34,-0.0006881955109855614,common_compounds
35,-0.008197049457724233,common_compounds
36,0.0010413294381980717,common_compounds
37,0.0010451035417340362,common_compounds
38,0.003346772946025258,common_compounds
39,-0.005851495035261655,common_compounds
40,0.0014579286845207088,common_compounds
