cpd	dose	replicate_correlation_cellpainting	signature_strength_cellpainting	MAS	replicate_correlation_l1000	signature_strength_l1000	TAS	Metadata_broad_sample	broad_id	moa	median_replicate_score_cellpainting	median_replicate_score_l1000	pass_cellpainting_thresh	pass_l1000_thresh	pass_both	cell_painting_num_reproducible	l1000_num_reproducible	total_reproducible
17-hydroxyprogesterone-caproate	0.04 uM	0.0606548469649845	338.6	0.16012530666835628	0.0247377787403811	263	0.08156217476547982	BRD-A29731977-001-04-5	BRD-A29731977	Progesterone receptor agonist	0.060654846964984535	0.02473777874038114	FALSE	FALSE	FALSE	2	1	3
2-iminobiotin	0.04 uM	0.0427000966684412	334.2	0.1334754500405857	-0.1336928289413418	242.33333333333334	0	BRD-K07954936-001-01-3	BRD-K07954936	Nitric oxide synthase inhibitor	0.042700096668441254	-0.13369282894134182	FALSE	FALSE	FALSE	0	1	1
3-amino-benzamide	0.04 uM	0.1042727567784658	368.8	0.21911122452759071	0.0519586761867222	206.33333333333334	0.1046994278758941	BRD-K08703257-001-12-1	BRD-K08703257	PARP inhibitor	0.10427275677846581	0.05195867618672226	TRUE	FALSE	FALSE	1	0	1
3-deazaadenosine	0.04 uM	0.0102174806429618	301.2	0.06198450502743204	0.0659666117923542	121	0.09034109430327343	BRD-A79431551-001-01-1	BRD-A79431551	Adenosylhomocysteinase inhibitor	0.010217480642961884	0.0659666117923542	FALSE	FALSE	FALSE	1	0	1
ABT-737	0.04 uM	0.0044695961407343	266.6	0.03856985055952998	0.0164002132595416	179.66666666666666	0.05488947482709021	BRD-K56301217-001-07-4	BRD-K56301217	BCL inhibitor	0.004469596140734306	0.016400213259541673	FALSE	FALSE	FALSE	4	0	4
AICA-ribonucleotide	0.04 uM	0.0353207337461589	207	0.09553967798371561	-0.0097029297259543	172.66666666666666	0	BRD-A67373739-001-02-2	BRD-A67373739	AMPK activator	0.03532073374615895	-0.00970292972595431	FALSE	FALSE	FALSE	1	0	1
AKT-inhibitor-1-2	0.04 uM	-0.0350191001896009	296.4	0	-0.008654956200501	199	0	BRD-K04887706-375-01-4	BRD-K04887706	AKT inhibitor	-0.0350191001896009	-0.008654956200501015	FALSE	FALSE	FALSE	1	0	1
ALX-5407	0.04 uM	0.0022472026861684	289.4	0.02849404645478086	0.0684337025662117	184	0.11346828819341967	BRD-K53979406-003-02-8	BRD-K53979406	Glycine transporter inhibitor	0.002247202686168474	0.06843370256621174	FALSE	FALSE	FALSE	0	0	0
AS-605240	0.04 uM	0.06036467819216	322	0.15577692354760686	-0.2066716830155248	376.6666666666667	0	BRD-K41895714-001-01-4	BRD-K41895714	PI3K inhibitor	0.06036467819216004	-0.20667168301552483	FALSE	FALSE	FALSE	3	1	4
AT-7519	0.04 uM	0.1436240741778512	393	0.26545666762559533	0.1239178646134618	217	0.16581636867256452	BRD-K13390322-001-06-3	BRD-K13390322	CDK inhibitor|Cell cycle inhibitor	0.14362407417785125	0.12391786461346184	TRUE	FALSE	FALSE	6	3	9
AZ-628	0.04 uM	0.0147614694537065	301.6	0.07455284250878484	0.076118639609442	234.66666666666666	0.1351455605037557	BRD-K05804044-001-06-0	BRD-K05804044	RAF inhibitor	0.014761469453706558	0.07611863960944208	FALSE	FALSE	FALSE	5	2	7
AZD-5438	0.04 uM	0.0802105340581131	293.4	0.171407373692376	0.258015075055793	180.33333333333334	0.21811780492480687	BRD-K72414522-001-06-7	BRD-K72414522	CDK inhibitor	0.08021053405811314	0.258015075055793	TRUE	TRUE	TRUE	6	6	12
AZD-8330	0.04 uM	0.5299696101506534	567.4	0.6127084799458906	0.2897633971868607	445.6666666666667	0.36337698000481655	BRD-K37687095-001-06-9	BRD-K37687095	MEK inhibitor	0.5299696101506534	0.2897633971868607	TRUE	TRUE	TRUE	6	6	12
BAY-K8644	0.04 uM	0.0375341725274827	295	0.11757315514604301	-0.0106631010663843	168	0	BRD-A05457250-001-05-0	BRD-A05457250	Calcium channel activator	0.03753417252748279	-0.010663101066384354	FALSE	FALSE	FALSE	0	1	1
