drug_impact	dose	impact_category	assay	avg_precision	no_of_replicates	matching_score
proteasome inhibitor	3.33 uM	MOA	Cell Painting	0.909385521885522	4	0.5364523492969862
proteasome inhibitor	10 uM	MOA	Cell Painting	0.924242424242424	4	0.5921636286259633
hsp inhibitor	3.33 uM	MOA	Cell Painting	0.132617243891127	5	0.3674167692548067
hsp inhibitor	10 uM	MOA	Cell Painting	0.125992570591992	5	0.3227394150762182
mek inhibitor	3.33 uM	MOA	Cell Painting	0.586587532151529	8	0.4099457923183255
mek inhibitor	10 uM	MOA	Cell Painting	0.577348516756277	8	0.4296945634488759
mek inhibitor	1.11 uM	MOA	Cell Painting	0.627709150980529	8	0.37847732277633084
mdm inhibitor	10 uM	MOA	Cell Painting	0.239643784135179	3	0.22218662439118134
mek inhibitor	0.37 uM	MOA	Cell Painting	0.584314879152282	8	0.3323275691232261
glucocorticoid receptor agonist	1.11 uM	MOA	Cell Painting	0.456471442751366	14	0.3683398183171005
glucocorticoid receptor agonist	0.37 uM	MOA	Cell Painting	0.416682765887259	14	0.3651532862994547
glucocorticoid receptor agonist	3.33 uM	MOA	Cell Painting	0.597912702285089	14	0.3672822242462069
mtor inhibitor	1.11 uM	MOA	Cell Painting	0.312700652903046	6	0.3099254511122797
hsp inhibitor	1.11 uM	MOA	Cell Painting	0.210213863575395	5	0.35699523197632943
mtor inhibitor	0.37 uM	MOA	Cell Painting	0.459400240053174	6	0.3663088656832304
glucocorticoid receptor agonist	0.12 uM	MOA	Cell Painting	0.579062367977948	14	0.3459664919953673
mtor inhibitor	3.33 uM	MOA	Cell Painting	0.375501774296256	6	0.3046217619111401
glucocorticoid receptor agonist	0.04 uM	MOA	Cell Painting	0.506951183680416	14	0.32076217116691647
proteasome inhibitor	1.11 uM	MOA	Cell Painting	0.808056198187777	4	0.5107888402056746
hdac inhibitor	10 uM	MOA	Cell Painting	0.155039579049816	13	0.07651824844125704
mtor inhibitor	10 uM	MOA	Cell Painting	0.238025303763134	6	0.330449092975246
glucocorticoid receptor agonist	10 uM	MOA	Cell Painting	0.299628781186266	14	0.35110486839552696
plk inhibitor	0.12 uM	MOA	Cell Painting	0.883882783882784	4	0.5872633027724714
mtor inhibitor	0.12 uM	MOA	Cell Painting	0.218617164313191	6	0.24749596986488717
proteasome inhibitor	0.37 uM	MOA	Cell Painting	0.591849415204678	4	0.4191919257385207
plk inhibitor	1.11 uM	MOA	Cell Painting	1	4	0.6029968875628768
mek inhibitor	0.12 uM	MOA	Cell Painting	0.23380810983048	8	0.22201471573434242
plk inhibitor	0.37 uM	MOA	Cell Painting	0.972027972027972	4	0.5851894216596509
mtor inhibitor|pi3k inhibitor	3.33 uM	MOA	Cell Painting	0.308549509635752	4	0.22968911305125414
mtor inhibitor|pi3k inhibitor	10 uM	MOA	Cell Painting	0.169288820035115	4	0.20918226338842966
hsp inhibitor	0.37 uM	MOA	Cell Painting	0.155796212622641	5	0.29158124824503484
xiap inhibitor	10 uM	MOA	Cell Painting	0.0578686764445278	3	0.21445113623673434
hdac inhibitor	3.33 uM	MOA	Cell Painting	0.116466272672189	13	0.07193794099318841
plk inhibitor	3.33 uM	MOA	Cell Painting	1	4	0.6414705469931521
mdm inhibitor	3.33 uM	MOA	Cell Painting	0.36375049934372	3	0.21144117110341992
mtor inhibitor	0.04 uM	MOA	Cell Painting	0.147814177145829	6	0.2106155766144697
mtor inhibitor|pi3k inhibitor	1.11 uM	MOA	Cell Painting	0.333164598760209	4	0.2153633513097417
hdac inhibitor	1.11 uM	MOA	Cell Painting	0.124801396575168	13	0.04205311389866659
plk inhibitor	0.04 uM	MOA	Cell Painting	1	4	0.6104446984996958
hsp inhibitor	0.12 uM	MOA	Cell Painting	0.0744826388753526	5	0.06179563575806861
mtor inhibitor|pi3k inhibitor	0.37 uM	MOA	Cell Painting	0.222935204167468	4	0.15742047366097622
cdk inhibitor	10 uM	MOA	Cell Painting	0.285400686507956	7	0.26606586473658284
tubulin inhibitor	3.33 uM	MOA	Cell Painting	0.184686475755964	8	0.3050076376240948
cannabinoid receptor agonist	10 uM	MOA	Cell Painting	0.00199319971151629	3	-0.024013931759099435
xiap inhibitor	0.37 uM	MOA	Cell Painting	0.723809523809524	3	0.26485652250770975
tubulin inhibitor	10 uM	MOA	Cell Painting	0.215742524327625	8	0.29320251172867334
plk inhibitor	10 uM	MOA	Cell Painting	0.958333333333333	4	0.6289110187942608
hdac inhibitor	0.37 uM	MOA	Cell Painting	0.131364211193086	13	0.04522495137420972
topoisomerase inhibitor	3.33 uM	MOA	Cell Painting	0.0557622827986653	15	0.014873162632232215
mtor inhibitor|pi3k inhibitor	0.12 uM	MOA	Cell Painting	0.123044355178228	4	0.05596414572970215
proteasome inhibitor	0.12 uM	MOA	Cell Painting	0.163446827797728	4	0.20090386137490351
mdm inhibitor	1.11 uM	MOA	Cell Painting	0.342829213796956	3	0.07533133661257488
xiap inhibitor	3.33 uM	MOA	Cell Painting	0.4710027100271	3	0.26595047838829705
mek inhibitor	0.04 uM	MOA	Cell Painting	0.0726702443076069	8	0.16943328012062248
topoisomerase inhibitor	0.37 uM	MOA	Cell Painting	0.0618165748930509	15	0.006252420239452251
hsp inhibitor	0.04 uM	MOA	Cell Painting	0.0895786517775972	5	0.02379169236146562
topoisomerase inhibitor	1.11 uM	MOA	Cell Painting	0.0666929331205658	15	0.019936129707703205
topoisomerase inhibitor	0.12 uM	MOA	Cell Painting	0.0619005499219297	15	0.009568127793505467
topoisomerase inhibitor	10 uM	MOA	Cell Painting	0.0436417329786565	15	0.039545755832323365
akt inhibitor	10 uM	MOA	Cell Painting	0.0477676548180214	6	0.1139619401503426
cdk inhibitor	1.11 uM	MOA	Cell Painting	0.082068027694247	7	0.14310591134634262
tubulin inhibitor	0.37 uM	MOA	Cell Painting	0.109571654314522	8	0.036374622327798735
cdk inhibitor	3.33 uM	MOA	Cell Painting	0.126004444774333	7	0.21741848197441696
topoisomerase inhibitor	0.04 uM	MOA	Cell Painting	0.0443444999619702	15	0.006913620207003219
bcl inhibitor	10 uM	MOA	Cell Painting	0.0205561473042765	3	0.1814500466252116
akt inhibitor	3.33 uM	MOA	Cell Painting	0.156819416509343	6	0.013857602029719028
protein synthesis inhibitor	0.12 uM	MOA	Cell Painting	0.0306826751820506	6	0.010323748559372693
protein synthesis inhibitor	3.33 uM	MOA	Cell Painting	0.0537380649301237	6	0.017966851343081586
protein synthesis inhibitor	1.11 uM	MOA	Cell Painting	0.103305818108444	6	0.008003162587566094
protein synthesis inhibitor	0.04 uM	MOA	Cell Painting	0.00791560064448087	6	0.007533874306028405
protein synthesis inhibitor	0.37 uM	MOA	Cell Painting	0.107963962877855	6	0.03975504194290166
protein synthesis inhibitor	10 uM	MOA	Cell Painting	0.0336239097418786	6	0.0011002792311072059
