moa,dose_1,dose_2,dose_3,dose_4,dose_5,dose_6,moa_size
5 alpha reductase inhibitor,0.06,0.248,0.152,0.371,0.492,0.583,2
acat inhibitor,0.89,0.965,0.588,0.788,0.913,0.898,3
acetylcholine receptor agonist,0.713,0.014,0.006,0.515,0.438,0.903,8
acetylcholine receptor antagonist,0.624,0.271,0.302,0.564,0.731,0.204,21
acetylcholine release stimulant,0.492,0.754,0.14,0.141,0.304,0.53,2
acetylcholinesterase inhibitor,0.313,0.573,0.155,0.268,0.405,0.771,2
adenosine receptor agonist,0.407,0.504,0.458,0.431,0.541,0.074,3
adenosine receptor antagonist,0.6,0.111,0.205,0.0,0.023,0.712,4
adrenergic inhibitor,0.644,0.53,0.868,0.916,0.28,0.275,2
adrenergic receptor agonist,0.624,0.337,0.363,0.269,0.412,0.795,20
adrenergic receptor antagonist,0.366,0.05,0.378,0.04,0.049,0.441,33
akt inhibitor,0.778,0.28,0.445,0.061,0.117,0.074,6
alcohol dehydrogenase inhibitor,0.519,0.316,0.621,0.272,0.666,0.549,2
aldose reductase inhibitor,0.466,0.669,0.151,0.043,0.141,0.181,2
alk tyrosine kinase receptor inhibitor,0.453,0.193,0.059,0.185,0.002,0.0,4
ampk activator,0.703,0.653,0.953,0.771,0.437,0.802,2
androgen receptor agonist,0.307,0.008,0.008,0.042,0.053,0.015,3
androgen receptor antagonist,0.462,0.837,0.783,0.406,0.303,0.499,6
androgen receptor modulator,0.645,0.328,0.311,0.219,0.099,0.961,4
angiogenesis inhibitor,0.523,0.55,0.745,0.883,0.938,0.406,3
angiotensin converting enzyme inhibitor,0.905,0.408,0.055,0.065,0.051,0.388,8
angiotensin receptor antagonist,0.053,0.062,0.156,0.088,0.085,0.242,5
antithyroid agent,0.389,0.686,0.664,0.508,0.368,0.948,2
antiviral,0.559,0.648,0.765,0.634,0.577,0.631,2
aromatase inhibitor,0.564,0.062,0.056,0.19,0.113,0.443,3
atp channel blocker,0.385,0.349,0.115,0.078,0.045,0.204,3
atpase inhibitor,0.848,0.534,0.848,0.055,0.208,0.126,4
aurora kinase inhibitor,0.566,0.024,0.011,0.006,0.012,0.055,2
bacterial 30s ribosomal subunit inhibitor,0.622,0.714,0.139,0.517,0.31,0.115,5
bacterial 50s ribosomal subunit inhibitor,0.374,0.234,0.139,0.074,0.331,0.328,6
bacterial antifolate,0.467,0.014,0.609,0.373,0.337,0.607,2
bacterial cell wall synthesis inhibitor,0.728,0.559,0.172,0.088,0.319,0.257,14
bacterial dna gyrase inhibitor,0.199,0.059,0.009,0.433,0.306,0.847,11
bcl inhibitor,0.255,0.607,0.624,0.836,0.729,0.01,3
bcr-abl kinase inhibitor,0.971,0.992,0.816,0.971,0.723,0.409,2
benzodiazepine receptor agonist,0.174,0.217,0.675,0.263,0.441,0.08,7
benzodiazepine receptor antagonist,0.402,0.413,0.159,0.29,0.393,0.736,3
beta lactamase inhibitor,0.965,0.969,0.971,0.645,0.466,0.492,2
beta-secretase inhibitor,0.381,0.27,0.4,0.458,0.151,0.207,2
bruton's tyrosine kinase (btk) inhibitor,0.647,0.669,0.567,0.087,0.37,0.029,2
c-met inhibitor,0.372,0.155,0.155,0.023,0.831,0.466,2
calcineurin inhibitor,0.323,0.534,0.059,0.801,0.319,0.013,3
calcitonin antagonist,0.071,0.753,0.208,0.178,0.124,0.214,3
calcium channel activator,0.5,0.072,0.372,0.266,0.123,0.207,2
calcium channel blocker,0.241,0.89,0.956,0.521,0.281,0.121,15
