compound	no_of_compounds	well	dose_recode	median_score	p_value
17-hydroxyprogesterone-caproate	3	N18	1	0.1004509394262989	0.006
2-iminobiotin	3	B12	1	0.0518171320035363	0.085
3-amino-benzamide	3	D24	1	0.1117639404153993	0.003
3-deazaadenosine	2	O12	1	-0.0418953689881509	0.893
abacavir	3	J06	1	0.0418743036732412	0.123
abiraterone-acetate	3	C18	1	0.0344665378382791	0.273
abt-202	3	E18	1	0.0475982692639416	0.129
abt-239	3	I06	1	0.1176935111697514	0.0
abt-724	3	L12	1	0.0171627616461509	0.26
acarbose	4	H06	1	0.0557225421329439	0.005
acebutolol	2	L12	1	0.1314014722704642	0.002
acecainide	3	O18	1	0.0634295157140027	0.054
acenocoumarol	3	O18	1	0.0438390033135982	0.175
acetazolamide	2	M24	1	0.100879435018505	0.747
acetylcysteine	3	O18	1	0.0891355630078237	0.009
acexamic-acid	3	J12	1	0.0254435811131989	0.199
acifran	3	F06	1	0.0193147606728151	0.28
acipimox	3	G06	1	-0.0120942194679838	0.785
acivicin	3	E24	1	0.2121271384038982	0.011
aclidinium	3	A12	1	0.0621983504031702	0.123
acrivastine	3	A12	1	0.0655821836269304	0.098
actarit	3	M18	1	0.0057655941788546	0.597
acy-1215	2	H24	1	0.0452849123761539	0.402
adapalene	3	N12	1	0.2104860710072942	0.0
adarotene	3	A18	1	0.0621367683512166	0.085
adatanserin	3	L18	1	0.0752469748988133	0.011
adenosine	4	G06	1	0.0098826263848833	0.448
adoprazine	3	L24	1	0.2216949811007252	0.002
afatinib	3	M06	1	0.0884651133341742	0.017
afloqualone	3	E12	1	0.042443191369444	0.099
agi-5198	3	I18	1	0.0723498240750657	0.03
agi-6780	3	C12	1	0.0267816698619855	0.251
agomelatine	3	L06	1	0.0607431048590822	0.049
agp-103	3	N12	1	0.0192174810262111	0.31
alaproclate	3	M12	1	0.0480088070452829	0.065
albendazole	3	P06	1	0.0938932749938256	0.026
alectinib	3	P12	1	0.0818982123953971	0.04
alisertib	2	F24	1	0.408213920256239	0.002
aliskiren	3	I12	1	0.0362172589175233	0.11
alizapride	4	M18	1	0.055621829621285	0.021
allopurinol	3	O12	1	0.0802166070919184	0.006
almitrine	3	O24	1	0.0742936090726301	0.141
almorexant	3	K24	1	0.1671366946334959	0.06
altanserin	4	C18	1	0.0490707484194245	0.078
altrenogest	3	L06	1	0.2591855253546664	0.0
altretamine	3	K24	1	0.1200586747355279	0.105
alvespimycin	3	A24	1	0.5482823481473216	0.0
alvimopan	3	P24	1	0.5026727858705159	0.231
alvocidib	3	B24	1	0.1614277642949552	0.008
am-24	3	I24	1	0.06481090704888	0.104
amantadine	3	E24	1	0.0695666290659304	0.208
ambrisentan	2	I06	1	-0.0001519409689981	0.582
ambroxol	2	B24	1	-0.0115100114308457	0.88
amd11070	2	M06	1	0.0320785375851837	0.369
amg-208	3	E12	1	0.0296723579608157	0.21
amg-232	3	J24	1	0.0402413536913482	0.36
amg-517	3	P06	1	0.1253141763891931	0.003
amikacin	3	P06	1	0.0436597180712518	0.239
amiloride	3	I12	1	-0.0187205143923936	0.802
aminocaproic-acid	3	J12	1	0.0061777272387028	0.436
aminoglutethimide	3	B18	1	0.0361878546684216	0.253
aminoguanidine	3	A12	1	0.0978548853220448	0.01
aminolevulinic-acid	3	H12	1	0.0682331253817507	0.022
aminosalicylic-acid	3	B12	1	0.070959599490874	0.033
amiodarone	3	K18	1	0.047430243653199	0.078
amiprilose	3	I24	1	0.0917826038963747	0.016
amitifadine	3	E18	1	0.0945498959707529	0.006
