compound	no_of_compounds	well	dose_recode	median_score	p_value
17-hydroxyprogesterone-caproate	5	N18	1	0.4201165227857351	0.001
2-iminobiotin	5	B12	1	0.0067428470783912	0.45
3-amino-benzamide	5	D24	1	0.0020713756376108	0.49
3-deazaadenosine	5	O12	1	-0.0014376751783823	0.817
abacavir	5	J06	1	0.0218455321979756	0.381
abiraterone-acetate	5	C18	1	0.2043275245538372	0.01
abt-202	5	E18	1	2.2422383242842216e-05	0.713
abt-239	5	I06	1	0.0842933386741912	0.196
abt-724	5	L12	1	0.0013446798037046	0.502
acarbose	4	H06	1	0.0534795180084942	0.314
acebutolol	5	L12	1	-0.0122583272010863	0.904
acecainide	5	O18	1	0.5632572699346312	0.0
acenocoumarol	5	O18	1	0.0162774052461643	0.195
acetazolamide	2	M24	1	0.0018393154459515	0.609
acetylcysteine	5	O18	1	0.0636856155040067	0.042
acexamic-acid	5	J12	1	-0.0013440860215053	0.772
acifran	5	F06	1	0.0018883621222399	0.505
acipimox	5	G06	1	-0.0001404632462999	0.858
acivicin	5	E24	1	0.0530520998108463	0.046
aclidinium	5	A12	1	-0.0016906157121747	0.974
acrivastine	5	A12	1	0.0408049551178528	0.169
actarit	5	M18	1	-0.0011507608440308	0.706
acy-1215	5	H24	1	0.0021188285648463	0.471
adapalene	5	N12	1	0.100017726588415	0.038
adarotene	4	A18	1	0.1798789624197717	0.101
adatanserin	5	L18	1	-0.0017159850589619	0.824
adenosine	4	G06	1	0.0088985219685335	0.663
adoprazine	5	L24	1	0.0022487469918203	0.414
afatinib	5	M06	1	0.0016804199472246	0.388
afloqualone	5	E12	1	-0.0001334064198788	0.714
agi-5198	5	I18	1	7.832526472542731e-05	0.661
agi-6780	5	C12	1	0.1667332150045739	0.022
agomelatine	5	L06	1	0.0269247399025253	0.282
agp-103	5	N12	1	0.0035160400195786	0.326
alaproclate	5	M12	1	0.0514368825914907	0.088
albendazole	5	P06	1	0.0016312494876665	0.552
alectinib	5	P12	1	-0.0018430000785294	0.91
alisertib	5	F24	1	0.2122902426775815	0.006
aliskiren	5	I12	1	0.0013415380331618	0.628
alizapride	4	M18	1	0.1175846458676152	0.091
allopurinol	5	O12	1	-0.0017583774451105	0.836
almitrine	5	O24	1	0.0021697598429196	0.642
almorexant	5	K24	1	-0.0002604950940566	0.724
altanserin	4	C18	1	0.1150426565904458	0.074
altrenogest	5	L06	1	0.454511403566301	0.006
altretamine	5	K24	1	0.3758413927372516	0.006
alvespimycin	5	A24	1	0.1527256520749621	0.088
alvimopan	5	P24	1	0.6660803135268053	0.03
alvocidib	5	B24	1	0.5525068496842309	0.009
am-24	5	I24	1	0.0016141238451245	0.63
amantadine	5	E24	1	-0.001455435103864	0.81
ambrisentan	2	I06	1	0.0073080694731911	0.442
ambroxol	5	B24	1	-0.00134600146595	0.931
amd11070	2	M06	1	0.0017160173720016	0.445
amg-208	5	E12	1	0.4058107947745972	0.003
amg-232	5	J24	1	0.0558792679937336	0.073
amg-517	5	P06	1	0.6376822418047468	0.0
amikacin	5	P06	1	-0.0024358927502585	0.962
amiloride	5	I12	1	-0.0132703832806545	0.981
aminocaproic-acid	5	J12	1	-0.0171931780384191	0.98
aminoglutethimide	5	B18	1	0.0203053648308187	0.225
aminoguanidine	5	A12	1	0.0169252539160114	0.329
aminolevulinic-acid	5	H12	1	0.0037670789816103	0.443
aminosalicylic-acid	5	B12	1	0.0012237257352077	0.705
amiodarone	5	K18	1	0.2095046000896839	0.019
amiprilose	5	I24	1	0.0572238066386726	0.117
amitifadine	5	E18	1	-0.0001294675663475	0.756
amlexanox	5	E12	1	0.0013550325664581	0.507
amlodipine	5	H12	1	0.1119203951847012	0.145
ammonium-glycyrrhizinate	5	O18	1	0.0878101365110754	0.031
