assay	compound	moa	dose	well	no_of_replicates_per_compound	median_replicate_correlation_compound	p_value_compound	no_of_compounds_per_moa	median_replicate_correlation_moa	p_value_moa
Cell Painting	17-hydroxyprogesterone-caproate	progesterone receptor agonist	0.04 uM	N18	5	0.0545573852235551	0.009	7	0.010186804462971022	0.404
Cell Painting	2-iminobiotin	nitric oxide synthase inhibitor	0.04 uM	B12	5	0.0537909563263734	0.004	4	-0.0012199731205503423	0.669
Cell Painting	3-amino-benzamide	parp inhibitor	0.04 uM	D24	5	0.1119327650969594	0.001	5	0.032174059013445236	0.092
Cell Painting	3-deazaadenosine	NA	0.04 uM	O12	5	0.0157540119375704	0.322	NA	NA	NA
Cell Painting	abacavir	reverse transcriptase inhibitor	0.04 uM	J06	5	0.0156780856666056	0.382	3	-0.016963328022757605	0.794
Cell Painting	abiraterone-acetate	NA	0.04 uM	C18	5	0.1244033468763347	0	NA	NA	NA
Cell Painting	abt-202	acetylcholine receptor agonist	0.04 uM	E18	5	0.0246796124781858	0.244	8	0.0051423427356670276	0.576
Cell Painting	abt-239	histamine receptor antagonist	0.04 uM	I06	5	0.0700028541026345	0	24	0.004609950831646434	0.727
Cell Painting	abt-724	dopamine receptor agonist	0.04 uM	L12	5	0.0107627782490061	0.382	9	0.0012615748154992347	0.734
Cell Painting	acarbose	glucosidase inhibitor	0.04 uM	H06	4	0.0557225421329439	0.009	3	0.025710809098836145	0.242
Cell Painting	acebutolol	adrenergic receptor antagonist	0.04 uM	L12	5	0.065699198986284	0	31	0.011885553217579345	0.134
Cell Painting	acecainide	NA	0.04 uM	O18	5	0.0499444286724396	0.022	NA	NA	NA
Cell Painting	acenocoumarol	NA	0.04 uM	O18	5	0.0551523101370631	0.01	NA	NA	NA
Cell Painting	acetazolamide	carbonic anhydrase inhibitor	0.04 uM	M24	2	0.100879435018505	0.754	5	0.018438412485437802	0.247
Cell Painting	acetylcysteine	mucolytic agent	0.04 uM	O18	5	0.0491956414454851	0.024	3	0.04277973004695011	0.111
Cell Painting	acexamic-acid	NA	0.04 uM	J12	5	0.0536173483496527	0.002	NA	NA	NA
Cell Painting	acifran	cholesterol inhibitor	0.04 uM	F06	5	0.026791398229582	0.094	3	0.015164442284388291	0.368
Cell Painting	acipimox	cholesterol inhibitor	0.04 uM	G06	5	0.0095737014253175	0.473	3	0.015164442284388291	0.368
Cell Painting	acivicin	NA	0.04 uM	E24	5	0.0994636803696727	0.014	NA	NA	NA
Cell Painting	aclidinium	acetylcholine receptor antagonist	0.04 uM	A12	5	0.0670663424315919	0.008	21	0.01926218300767919	0.017
Cell Painting	acrivastine	histamine receptor antagonist	0.04 uM	A12	5	0.0648307356908231	0.009	24	0.004609950831646434	0.727
Cell Painting	actarit	NA	0.04 uM	M18	5	0.0347090593529701	0.078	NA	NA	NA
Cell Painting	acy-1215	hdac inhibitor	0.04 uM	H24	5	0.0673067601139121	0.019	13	0.011561508952758679	0.251
Cell Painting	adapalene	retinoid receptor agonist	0.04 uM	N12	5	0.1673368330002298	0	6	0.11777264412640784	0
Cell Painting	adarotene	retinoid receptor agonist	0.04 uM	A18	4	0.0623341825697069	0.042	6	0.11777264412640784	0
Cell Painting	adatanserin	serotonin receptor agonist|serotonin receptor antagonist	0.04 uM	L18	5	0.0788686065755054	0.001	3	0.007557213768043629	0.471
Cell Painting	adenosine	adenosine receptor agonist	0.04 uM	G06	4	0.0098826263848833	0.464	3	0.009583710050606715	0.442
Cell Painting	adoprazine	NA	0.04 uM	L24	5	0.1036412789496158	0.001	NA	NA	NA
Cell Painting	afatinib	egfr inhibitor	0.04 uM	M06	5	0.1108570436479987	0	13	0.06073401259360432	0
