moa	no_of_replicates	dose	matching_score	assay	p_value	pass_thresh	neg_log_10_p_val
acat inhibitor	3	0.04 uM	0.004444607026614167	Cell Painting	0.513	FALSE	0.2898826348881837
acetylcholine receptor agonist	8	0.04 uM	0.0051423427356670276	Cell Painting	0.576	FALSE	0.239577516576788
acetylcholine receptor antagonist	21	0.04 uM	0.01926218300767919	Cell Painting	0.017	TRUE	1.7695510786217261
adenosine receptor agonist	3	0.04 uM	0.009583710050606715	Cell Painting	0.442	FALSE	0.3545777306509081
adenosine receptor antagonist	4	0.04 uM	0.0017039192367026192	Cell Painting	0.612	FALSE	0.21324857785443882
adrenergic receptor agonist	20	0.04 uM	0.0050159376071951586	Cell Painting	0.683	FALSE	0.1655792963184674
adrenergic receptor antagonist	31	0.04 uM	0.011885553217579345	Cell Painting	0.134	FALSE	0.8728952016351923
akt inhibitor	6	0.04 uM	0.02062407844320813	Cell Painting	0.184	FALSE	0.7351821769904635
alk tyrosine kinase receptor inhibitor	3	0.04 uM	0.006649767814332792	Cell Painting	0.48	FALSE	0.3187587626244128
androgen receptor agonist	3	0.04 uM	0.22021968670113634	Cell Painting	0.001	TRUE	3
androgen receptor antagonist	5	0.04 uM	0.029894772440498492	Cell Painting	0.099	FALSE	1.00436480540245
androgen receptor modulator	3	0.04 uM	0.020145941860348158	Cell Painting	0.311	FALSE	0.5072396109731625
angiotensin converting enzyme inhibitor	8	0.04 uM	0.019951211623272454	Cell Painting	0.139	FALSE	0.8569851997459049
angiotensin receptor antagonist	4	0.04 uM	-0.0012266702480597455	Cell Painting	0.669	FALSE	0.17457388223217687
aromatase inhibitor	3	0.04 uM	0.07616831167092399	Cell Painting	0.018	TRUE	1.744727494896694
atp channel blocker	3	0.04 uM	0.05068545266452767	Cell Painting	0.072	FALSE	1.1426675035687315
atpase inhibitor	3	0.04 uM	-0.016961038081374096	Cell Painting	0.794	FALSE	0.10017949757290372
bacterial 30s ribosomal subunit inhibitor	5	0.04 uM	-0.016825354842652844	Cell Painting	0.94	FALSE	0.026872146400301365
bacterial 50s ribosomal subunit inhibitor	5	0.04 uM	0.01884359357283811	Cell Painting	0.239	FALSE	0.6216020990518624
bacterial cell wall synthesis inhibitor	14	0.04 uM	0.008101778622211226	Cell Painting	0.431	FALSE	0.3655227298392684
bacterial dna gyrase inhibitor	11	0.04 uM	0.01103833297440241	Cell Painting	0.312	FALSE	0.5058454059815573
bcl inhibitor	3	0.04 uM	-0.025009036479412442	Cell Painting	0.87	FALSE	0.060480747381381476
benzodiazepine receptor agonist	7	0.04 uM	0.03129204446054435	Cell Painting	0.047	TRUE	1.3279021420642825
benzodiazepine receptor antagonist	3	0.04 uM	0.04068250297604291	Cell Painting	0.122	FALSE	0.9136401693252518
calcineurin inhibitor	3	0.04 uM	0.02680199106869802	Cell Painting	0.234	FALSE	0.6307841425898572
calcitonin antagonist	3	0.04 uM	0.03451345561258935	Cell Painting	0.166	FALSE	0.7798919119599449
calcium channel blocker	15	0.04 uM	-5.641048459745336e-4	Cell Painting	0.904	FALSE	0.04383156952463668
cannabinoid receptor agonist	3	0.04 uM	0.00494214238960245	Cell Painting	0.509	FALSE	0.29328221766324125
carbonic anhydrase inhibitor	5	0.04 uM	0.018438412485437802	Cell Painting	0.247	FALSE	0.6073030467403343
cc chemokine receptor antagonist	7	0.04 uM	3.7888178986534746e-4	Cell Painting	0.701	FALSE	0.15428198203334137
cck receptor antagonist	4	0.04 uM	0.015832766196091173	Cell Painting	0.344	FALSE	0.46344155742846993
cdk inhibitor	7	0.04 uM	0.06292101865817265	Cell Painting	0.001	TRUE	3
chelating agent	4	0.04 uM	0.006284257572448308	Cell Painting	0.518	FALSE	0.28567024025476695
cholesterol inhibitor	3	0.04 uM	0.015164442284388291	Cell Painting	0.368	FALSE	0.43415218132648237
coagulation factor inhibitor	4	0.04 uM	0.02913683354879461	Cell Painting	0.144	FALSE	0.8416375079047503
cyclooxygenase inhibitor	27	0.04 uM	0.0017630000888233886	Cell Painting	0.93	FALSE	0.03151705144606486
cyclooxygenase inhibitor|prostanoid receptor antagonist	4	0.04 uM	0.0017120524339023706	Cell Painting	0.612	FALSE	0.21324857785443882
dipeptidyl peptidase inhibitor	3	0.04 uM	0.06256219686757054	Cell Painting	0.039	TRUE	1.408935392973501
dna inhibitor	5	0.04 uM	0.019653161377477427	Cell Painting	0.229	FALSE	0.640164517660112
dna methyltransferase inhibitor	3	0.04 uM	0.0786813181345641	Cell Painting	0.014	TRUE	1.853871964321762
dna polymerase inhibitor	3	0.04 uM	4.253345563181275e-4	Cell Painting	0.568	FALSE	0.24565166428898116
dna synthesis inhibitor	7	0.04 uM	0.003188081188048955	Cell Painting	0.625	FALSE	0.2041199826559248
dopamine receptor agonist	9	0.04 uM	0.0012615748154992347	Cell Painting	0.734	FALSE	0.13430394008392949
dopamine receptor antagonist	19	0.04 uM	0.013710181290233398	Cell Painting	0.108	FALSE	0.9665762445130504
dopamine receptor antagonist|serotonin receptor antagonist	9	0.04 uM	-0.004271014123936502	Cell Painting	0.894	FALSE	0.04866248120408232
egfr inhibitor	13	0.04 uM	0.06073401259360432	Cell Painting	0	TRUE	3.5
endothelin receptor antagonist	4	0.04 uM	0.011250236983128853	Cell Painting	0.419	FALSE	0.3777859770337047
estrogen receptor agonist	6	0.04 uM	0.021242291489639468	Cell Painting	0.177	FALSE	0.7520267336381934
farnesyltransferase inhibitor	3	0.04 uM	0.019493822025181178	Cell Painting	0.315	FALSE	0.5016894462103995
fgfr inhibitor|vegfr inhibitor	3	0.04 uM	-0.01766182125941162	Cell Painting	0.797	FALSE	0.09854167860388763
free radical scavenger	4	0.04 uM	0.021772639580065534	Cell Painting	0.245	FALSE	0.6108339156354675
fungal squalene epoxidase inhibitor	3	0.04 uM	0.019639060421558857	Cell Painting	0.315	FALSE	0.5016894462103995
gaba receptor agonist	3	0.04 uM	0.018943625870233155	Cell Painting	0.321	FALSE	0.4934949675951279
gaba receptor modulator	4	0.04 uM	0.04518767218772253	Cell Painting	0.058	FALSE	1.2365720064370627
gamma secretase inhibitor	7	0.04 uM	0.024607742402900517	Cell Painting	0.105	FALSE	0.978810700930062
glucocorticoid receptor agonist	14	0.04 uM	0.32076217116691647	Cell Painting	0	TRUE	3.5
glucosidase inhibitor	3	0.04 uM	0.025710809098836145	Cell Painting	0.242	FALSE	0.6161846340195687
glutamate receptor agonist	4	0.04 uM	-0.03952809846765237	Cell Painting	0.991	FALSE	0.003926345514724675
glutamate receptor antagonist	5	0.04 uM	0.011282716042554295	Cell Painting	0.407	FALSE	0.39040559077478
glutamate receptor modulator	3	0.04 uM	-0.007278163607475038	Cell Painting	0.687	FALSE	0.16304326294044955
hcv inhibitor	7	0.04 uM	0.004548277673074514	Cell Painting	0.583	FALSE	0.23433144524098595
hdac inhibitor	13	0.04 uM	0.011561508952758679	Cell Painting	0.251	FALSE	0.6003262785189618
histamine receptor antagonist	24	0.04 uM	0.004609950831646434	Cell Painting	0.727	FALSE	0.1384655891409622
hiv integrase inhibitor	3	0.04 uM	0.03366942422485762	Cell Painting	0.173	FALSE	0.7619538968712046
hiv protease inhibitor	5	0.04 uM	-0.012832000030757431	Cell Painting	0.9	FALSE	0.045757490560675115
hmgcr inhibitor	5	0.04 uM	0.040273443337700866	Cell Painting	0.045	TRUE	1.3467874862246563
hsp inhibitor	5	0.04 uM	0.02379169236146562	Cell Painting	0.167	FALSE	0.7772835288524167
insulin secretagogue	4	0.04 uM	-0.03611663019841692	Cell Painting	0.987	FALSE	0.005682847330363273
integrin antagonist	5	0.04 uM	-0.00843796183850958	Cell Painting	0.838	FALSE	0.07675598136972352
jak inhibitor	5	0.04 uM	0.023890698580018275	Cell Painting	0.165	FALSE	0.7825160557860937
leukotriene receptor antagonist	4	0.04 uM	0.018417063182151326	Cell Painting	0.299	FALSE	0.5243288116755703
lipoxygenase inhibitor	3	0.04 uM	0.00812330882366598	Cell Painting	0.462	FALSE	0.33535802444387447
matrix metalloprotease inhibitor	3	0.04 uM	-0.016643512842329778	Cell Painting	0.79	FALSE	0.10237290870955855
mdm inhibitor	3	0.04 uM	0.07607910968342606	Cell Painting	0.018	TRUE	1.744727494896694
mek inhibitor	8	0.04 uM	0.16943328012062248	Cell Painting	0	TRUE	3.5
microtubule inhibitor	3	0.04 uM	0.018612372866224455	Cell Painting	0.324	FALSE	0.48945498979338786
mineralocorticoid receptor antagonist	3	0.04 uM	0.0459448675486799	Cell Painting	0.094	FALSE	1.0268721464003014
monoamine oxidase inhibitor	6	0.04 uM	-0.001965959558518809	Cell Painting	0.733	FALSE	0.13489602535887207
