broad_id	pert_iname	dose	moa	target
BRD-A29731977	17-hydroxyprogesterone-caproate	0.04 uM	progesterone receptor agonist	AR|ESR1|ESR2|NR1H4|NR1I2|NR3C1|PGR
BRD-A29731977	17-hydroxyprogesterone-caproate	0.12 uM	progesterone receptor agonist	AR|ESR1|ESR2|NR1H4|NR1I2|NR3C1|PGR
BRD-A29731977	17-hydroxyprogesterone-caproate	0.37 uM	progesterone receptor agonist	AR|ESR1|ESR2|NR1H4|NR1I2|NR3C1|PGR
BRD-A29731977	17-hydroxyprogesterone-caproate	1.11 uM	progesterone receptor agonist	AR|ESR1|ESR2|NR1H4|NR1I2|NR3C1|PGR
BRD-A29731977	17-hydroxyprogesterone-caproate	3.33 uM	progesterone receptor agonist	AR|ESR1|ESR2|NR1H4|NR1I2|NR3C1|PGR
BRD-A29731977	17-hydroxyprogesterone-caproate	10 uM	progesterone receptor agonist	AR|ESR1|ESR2|NR1H4|NR1I2|NR3C1|PGR
BRD-K07954936	2-iminobiotin	0.04 uM	nitric oxide synthase inhibitor	NOS1|NOS2
BRD-K07954936	2-iminobiotin	0.12 uM	nitric oxide synthase inhibitor	NOS1|NOS2
BRD-K07954936	2-iminobiotin	0.37 uM	nitric oxide synthase inhibitor	NOS1|NOS2
BRD-K07954936	2-iminobiotin	1.11 uM	nitric oxide synthase inhibitor	NOS1|NOS2
BRD-K07954936	2-iminobiotin	3.33 uM	nitric oxide synthase inhibitor	NOS1|NOS2
BRD-K07954936	2-iminobiotin	10 uM	nitric oxide synthase inhibitor	NOS1|NOS2
BRD-K08703257	3-amino-benzamide	0.04 uM	parp inhibitor	PARP1
BRD-K08703257	3-amino-benzamide	0.12 uM	parp inhibitor	PARP1
BRD-K08703257	3-amino-benzamide	0.37 uM	parp inhibitor	PARP1
BRD-K08703257	3-amino-benzamide	1.11 uM	parp inhibitor	PARP1
BRD-K08703257	3-amino-benzamide	3.33 uM	parp inhibitor	PARP1
BRD-K08703257	3-amino-benzamide	10 uM	parp inhibitor	PARP1
BRD-A95032015	abacavir	0.04 uM	reverse transcriptase inhibitor	unknown
BRD-A95032015	abacavir	0.12 uM	reverse transcriptase inhibitor	unknown
BRD-A95032015	abacavir	0.37 uM	reverse transcriptase inhibitor	unknown
BRD-A95032015	abacavir	1.11 uM	reverse transcriptase inhibitor	unknown
BRD-A95032015	abacavir	3.33 uM	reverse transcriptase inhibitor	unknown
BRD-A95032015	abacavir	10 uM	reverse transcriptase inhibitor	unknown
BRD-A29844814	abt-202	0.04 uM	acetylcholine receptor agonist	unknown
BRD-A29844814	abt-202	0.12 uM	acetylcholine receptor agonist	unknown
BRD-A29844814	abt-202	0.37 uM	acetylcholine receptor agonist	unknown
BRD-A29844814	abt-202	1.11 uM	acetylcholine receptor agonist	unknown
BRD-A29844814	abt-202	3.33 uM	acetylcholine receptor agonist	unknown
BRD-A29844814	abt-202	10 uM	acetylcholine receptor agonist	unknown
BRD-K22749967	abt-239	0.04 uM	histamine receptor antagonist	HRH1|HRH2|HRH3
BRD-K22749967	abt-239	0.12 uM	histamine receptor antagonist	HRH1|HRH2|HRH3
BRD-K22749967	abt-239	0.37 uM	histamine receptor antagonist	HRH1|HRH2|HRH3
BRD-K22749967	abt-239	1.11 uM	histamine receptor antagonist	HRH1|HRH2|HRH3
BRD-K22749967	abt-239	3.33 uM	histamine receptor antagonist	HRH1|HRH2|HRH3
BRD-K22749967	abt-239	10 uM	histamine receptor antagonist	HRH1|HRH2|HRH3
BRD-K37714784	abt-724	0.04 uM	dopamine receptor agonist	DRD4
BRD-K37714784	abt-724	0.12 uM	dopamine receptor agonist	DRD4
BRD-K37714784	abt-724	0.37 uM	dopamine receptor agonist	DRD4
BRD-K37714784	abt-724	1.11 uM	dopamine receptor agonist	DRD4
BRD-K37714784	abt-724	3.33 uM	dopamine receptor agonist	DRD4
BRD-K37714784	abt-724	10 uM	dopamine receptor agonist	DRD4
BRD-K56301217	abt-737	0.04 uM	bcl inhibitor	BCL2|BCL2L1|BCL2L2
BRD-K56301217	abt-737	0.12 uM	bcl inhibitor	BCL2|BCL2L1|BCL2L2
BRD-K56301217	abt-737	0.37 uM	bcl inhibitor	BCL2|BCL2L1|BCL2L2
BRD-K56301217	abt-737	1.11 uM	bcl inhibitor	BCL2|BCL2L1|BCL2L2
BRD-K56301217	abt-737	3.33 uM	bcl inhibitor	BCL2|BCL2L1|BCL2L2
BRD-K56301217	abt-737	10 uM	bcl inhibitor	BCL2|BCL2L1|BCL2L2
BRD-K01621533	acarbose	0.04 uM	glucosidase inhibitor	AMY2A|MGAM
BRD-K01621533	acarbose	0.12 uM	glucosidase inhibitor	AMY2A|MGAM
BRD-K01621533	acarbose	0.37 uM	glucosidase inhibitor	AMY2A|MGAM
BRD-K01621533	acarbose	1.11 uM	glucosidase inhibitor	AMY2A|MGAM
BRD-K01621533	acarbose	3.33 uM	glucosidase inhibitor	AMY2A|MGAM
BRD-K01621533	acarbose	10 uM	glucosidase inhibitor	AMY2A|MGAM
BRD-A29260609	acebutolol	0.04 uM	adrenergic receptor antagonist	ADRB1
BRD-A29260609	acebutolol	0.12 uM	adrenergic receptor antagonist	ADRB1
BRD-A29260609	acebutolol	0.37 uM	adrenergic receptor antagonist	ADRB1
BRD-A29260609	acebutolol	1.11 uM	adrenergic receptor antagonist	ADRB1
BRD-A29260609	acebutolol	3.33 uM	adrenergic receptor antagonist	ADRB1
BRD-A29260609	acebutolol	10 uM	adrenergic receptor antagonist	ADRB1
BRD-K43457670	acetazolamide	0.04 uM	carbonic anhydrase inhibitor	AQP1|CA1|CA12|CA14|CA2|CA3|CA4|CA7
BRD-K43457670	acetazolamide	0.12 uM	carbonic anhydrase inhibitor	AQP1|CA1|CA12|CA14|CA2|CA3|CA4|CA7
BRD-K43457670	acetazolamide	0.37 uM	carbonic anhydrase inhibitor	AQP1|CA1|CA12|CA14|CA2|CA3|CA4|CA7
BRD-K43457670	acetazolamide	1.11 uM	carbonic anhydrase inhibitor	AQP1|CA1|CA12|CA14|CA2|CA3|CA4|CA7
BRD-K43457670	acetazolamide	3.33 uM	carbonic anhydrase inhibitor	AQP1|CA1|CA12|CA14|CA2|CA3|CA4|CA7
BRD-K43457670	acetazolamide	10 uM	carbonic anhydrase inhibitor	AQP1|CA1|CA12|CA14|CA2|CA3|CA4|CA7
BRD-K67174965	acetylcysteine	0.04 uM	mucolytic agent	ACY1|CHUK|GRIN1|GRIN2A|GRIN2B|GRIN2D|GRIN3A|GSS|IKBKB|RELA|SLC7A11
BRD-K67174965	acetylcysteine	0.12 uM	mucolytic agent	ACY1|CHUK|GRIN1|GRIN2A|GRIN2B|GRIN2D|GRIN3A|GSS|IKBKB|RELA|SLC7A11
BRD-K67174965	acetylcysteine	0.37 uM	mucolytic agent	ACY1|CHUK|GRIN1|GRIN2A|GRIN2B|GRIN2D|GRIN3A|GSS|IKBKB|RELA|SLC7A11
BRD-K67174965	acetylcysteine	1.11 uM	mucolytic agent	ACY1|CHUK|GRIN1|GRIN2A|GRIN2B|GRIN2D|GRIN3A|GSS|IKBKB|RELA|SLC7A11
BRD-K67174965	acetylcysteine	3.33 uM	mucolytic agent	ACY1|CHUK|GRIN1|GRIN2A|GRIN2B|GRIN2D|GRIN3A|GSS|IKBKB|RELA|SLC7A11
BRD-K67174965	acetylcysteine	10 uM	mucolytic agent	ACY1|CHUK|GRIN1|GRIN2A|GRIN2B|GRIN2D|GRIN3A|GSS|IKBKB|RELA|SLC7A11
BRD-A29520968	acifran	0.04 uM	cholesterol inhibitor	HCAR2|HCAR3
BRD-A29520968	acifran	0.12 uM	cholesterol inhibitor	HCAR2|HCAR3
BRD-A29520968	acifran	0.37 uM	cholesterol inhibitor	HCAR2|HCAR3
BRD-A29520968	acifran	1.11 uM	cholesterol inhibitor	HCAR2|HCAR3
BRD-A29520968	acifran	3.33 uM	cholesterol inhibitor	HCAR2|HCAR3
BRD-A29520968	acifran	10 uM	cholesterol inhibitor	HCAR2|HCAR3
BRD-K63736853	acipimox	0.04 uM	cholesterol inhibitor	HCAR2
BRD-K63736853	acipimox	0.12 uM	cholesterol inhibitor	HCAR2
BRD-K63736853	acipimox	0.37 uM	cholesterol inhibitor	HCAR2
BRD-K63736853	acipimox	1.11 uM	cholesterol inhibitor	HCAR2
BRD-K63736853	acipimox	3.33 uM	cholesterol inhibitor	HCAR2
BRD-K63736853	acipimox	10 uM	cholesterol inhibitor	HCAR2
BRD-K74363950	aclidinium	0.04 uM	acetylcholine receptor antagonist	CHRM1|CHRM2|CHRM3|CHRM4|CHRM5
BRD-K74363950	aclidinium	0.12 uM	acetylcholine receptor antagonist	CHRM1|CHRM2|CHRM3|CHRM4|CHRM5
BRD-K74363950	aclidinium	0.37 uM	acetylcholine receptor antagonist	CHRM1|CHRM2|CHRM3|CHRM4|CHRM5
BRD-K74363950	aclidinium	1.11 uM	acetylcholine receptor antagonist	CHRM1|CHRM2|CHRM3|CHRM4|CHRM5
BRD-K74363950	aclidinium	3.33 uM	acetylcholine receptor antagonist	CHRM1|CHRM2|CHRM3|CHRM4|CHRM5
BRD-K74363950	aclidinium	10 uM	acetylcholine receptor antagonist	CHRM1|CHRM2|CHRM3|CHRM4|CHRM5
BRD-K50163129	acrivastine	0.04 uM	histamine receptor antagonist	HRH1
BRD-K50163129	acrivastine	0.12 uM	histamine receptor antagonist	HRH1
BRD-K50163129	acrivastine	0.37 uM	histamine receptor antagonist	HRH1
BRD-K50163129	acrivastine	1.11 uM	histamine receptor antagonist	HRH1
BRD-K50163129	acrivastine	3.33 uM	histamine receptor antagonist	HRH1
BRD-K50163129	acrivastine	10 uM	histamine receptor antagonist	HRH1
BRD-K82928847	acy-1215	0.04 uM	hdac inhibitor	HDAC1|HDAC2|HDAC3|HDAC6|HDAC8
BRD-K82928847	acy-1215	0.12 uM	hdac inhibitor	HDAC1|HDAC2|HDAC3|HDAC6|HDAC8
BRD-K82928847	acy-1215	0.37 uM	hdac inhibitor	HDAC1|HDAC2|HDAC3|HDAC6|HDAC8
BRD-K82928847	acy-1215	1.11 uM	hdac inhibitor	HDAC1|HDAC2|HDAC3|HDAC6|HDAC8
BRD-K82928847	acy-1215	3.33 uM	hdac inhibitor	HDAC1|HDAC2|HDAC3|HDAC6|HDAC8
BRD-K82928847	acy-1215	10 uM	hdac inhibitor	HDAC1|HDAC2|HDAC3|HDAC6|HDAC8
BRD-K33127281	adapalene	0.04 uM	retinoid receptor agonist	RARA|RARB|RARG|RXRA|RXRB|RXRG
BRD-K33127281	adapalene	0.12 uM	retinoid receptor agonist	RARA|RARB|RARG|RXRA|RXRB|RXRG
BRD-K33127281	adapalene	0.37 uM	retinoid receptor agonist	RARA|RARB|RARG|RXRA|RXRB|RXRG
BRD-K33127281	adapalene	1.11 uM	retinoid receptor agonist	RARA|RARB|RARG|RXRA|RXRB|RXRG
BRD-K33127281	adapalene	3.33 uM	retinoid receptor agonist	RARA|RARB|RARG|RXRA|RXRB|RXRG
BRD-K33127281	adapalene	10 uM	retinoid receptor agonist	RARA|RARB|RARG|RXRA|RXRB|RXRG
BRD-K00152668	adarotene	0.04 uM	retinoid receptor agonist	RARB|RARG
BRD-K00152668	adarotene	0.12 uM	retinoid receptor agonist	RARB|RARG
BRD-K00152668	adarotene	0.37 uM	retinoid receptor agonist	RARB|RARG
BRD-K00152668	adarotene	1.11 uM	retinoid receptor agonist	RARB|RARG
BRD-K00152668	adarotene	3.33 uM	retinoid receptor agonist	RARB|RARG
BRD-K00152668	adarotene	10 uM	retinoid receptor agonist	RARB|RARG
BRD-K67789209	adatanserin	0.04 uM	serotonin receptor agonist|serotonin receptor antagonist	HTR1A|HTR2A
BRD-K67789209	adatanserin	0.12 uM	serotonin receptor agonist|serotonin receptor antagonist	HTR1A|HTR2A
BRD-K67789209	adatanserin	0.37 uM	serotonin receptor agonist|serotonin receptor antagonist	HTR1A|HTR2A
BRD-K67789209	adatanserin	1.11 uM	serotonin receptor agonist|serotonin receptor antagonist	HTR1A|HTR2A
BRD-K67789209	adatanserin	3.33 uM	serotonin receptor agonist|serotonin receptor antagonist	HTR1A|HTR2A
BRD-K67789209	adatanserin	10 uM	serotonin receptor agonist|serotonin receptor antagonist	HTR1A|HTR2A
