compound	dose	no_of_replicates_per_compound	well	median_replicate_correlation	p_value	assay
17-hydroxyprogesterone-caproate	0.04 uM	5	N18	0.0545573852235551	0.009	Cell Painting
2-iminobiotin	0.04 uM	5	B12	0.0537909563263734	0.004	Cell Painting
3-amino-benzamide	0.04 uM	5	D24	0.1119327650969594	0.001	Cell Painting
3-deazaadenosine	0.04 uM	5	O12	0.0157540119375704	0.322	Cell Painting
abacavir	0.04 uM	5	J06	0.0156780856666056	0.382	Cell Painting
abiraterone-acetate	0.04 uM	5	C18	0.1244033468763347	0	Cell Painting
abt-202	0.04 uM	5	E18	0.0246796124781858	0.244	Cell Painting
abt-239	0.04 uM	5	I06	0.0700028541026345	0	Cell Painting
abt-724	0.04 uM	5	L12	0.0107627782490061	0.382	Cell Painting
acarbose	0.04 uM	4	H06	0.0557225421329439	0.009	Cell Painting
acebutolol	0.04 uM	5	L12	0.065699198986284	0	Cell Painting
acecainide	0.04 uM	5	O18	0.0499444286724396	0.022	Cell Painting
acenocoumarol	0.04 uM	5	O18	0.0551523101370631	0.01	Cell Painting
acetazolamide	0.04 uM	2	M24	0.100879435018505	0.754	Cell Painting
acetylcysteine	0.04 uM	5	O18	0.0491956414454851	0.024	Cell Painting
acexamic-acid	0.04 uM	5	J12	0.0536173483496527	0.002	Cell Painting
acifran	0.04 uM	5	F06	0.026791398229582	0.094	Cell Painting
acipimox	0.04 uM	5	G06	0.0095737014253175	0.473	Cell Painting
acivicin	0.04 uM	5	E24	0.0994636803696727	0.014	Cell Painting
aclidinium	0.04 uM	5	A12	0.0670663424315919	0.008	Cell Painting
acrivastine	0.04 uM	5	A12	0.0648307356908231	0.009	Cell Painting
actarit	0.04 uM	5	M18	0.0347090593529701	0.078	Cell Painting
acy-1215	0.04 uM	5	H24	0.0673067601139121	0.019	Cell Painting
adapalene	0.04 uM	5	N12	0.1673368330002298	0	Cell Painting
adarotene	0.04 uM	4	A18	0.0623341825697069	0.042	Cell Painting
adatanserin	0.04 uM	5	L18	0.0788686065755054	0.001	Cell Painting
adenosine	0.04 uM	4	G06	0.0098826263848833	0.464	Cell Painting
adoprazine	0.04 uM	5	L24	0.1036412789496158	0.001	Cell Painting
afatinib	0.04 uM	5	M06	0.1108570436479987	0	Cell Painting
afloqualone	0.04 uM	5	E12	0.0323784174845563	0.09	Cell Painting
agi-5198	0.04 uM	5	I18	0.0716309782363705	0	Cell Painting
agi-6780	0.04 uM	5	C12	0.0063990784921024	0.601	Cell Painting
