,dose_1,dose_2,dose_3,dose_4,dose_5,dose_6
5 alpha reductase inhibitor,-0.45984465275397984,-0.32511524335370373,-0.36850940214628025,-0.089636079156977,-0.15564637293189698,0.17901804387007578
ACAT inhibitor,-0.16215289440745975,0.004962718956164373,-0.011609930773154016,-0.30114687039761284,-0.20359241314563944,0.24973756642368064
AKT inhibitor,0.03615477853087463,0.13443874482455215,0.19894015658935724,0.3685390587984812,0.27440339325128216,0.5760044488056952
ALK tyrosine kinase receptor inhibitor,0.26559195715042705,-0.10557199217662211,0.029762745231593897,0.15048491642103518,0.47810536310551865,0.47844191395820423
ATP channel blocker,-0.003598253017528485,0.1508101408599462,0.14342653710075193,-0.06129973828732304,-0.09238869357817285,-0.04852988010008449
ATPase inhibitor,-0.04443884490578237,0.04072061175030629,-0.007497730979850594,0.02371654110583471,0.005469083955805818,-0.012689098118326744
Aurora kinase inhibitor,0.24641011016783623,0.5863456298232463,0.7924022558084055,0.8766833529623955,0.8997134936758224,0.8041615457514459
BCL inhibitor,0.14273227315450437,0.41139414674581676,0.23050369845808827,0.4250029377975184,0.43857000711639443,0.47459976884369276
Bcr-Abl kinase inhibitor,-0.5334670611539623,-0.45761596711151187,0.03123365040529308,-0.017618559525740554,-0.207208802522245,0.3374854292914925
Bruton's tyrosine kinase (BTK) inhibitor,0.0594592976289552,0.02165465992194358,0.06924382228580243,-0.047108186530524454,0.4559305282504739,0.45894151537739347
CC chemokine receptor antagonist,0.007703150436167152,0.056521756280244646,0.019835553258362497,0.13430486121777718,0.14911313649356434,0.34923358429249174
CCK receptor antagonist,-0.005815477898263868,0.3452634974240631,-0.16829787159469717,0.004796377862320256,-0.12932445723495167,-0.14838638638924723
CDK inhibitor,0.3503672849239836,0.5625463642977582,0.42226373939558615,0.5461962354187466,0.6485354779576338,0.6460177357798914
CFTR channel agonist,-0.11849295800855987,-0.26893984568187673,-0.1673561997049857,-0.24870061817932118,-0.48106374503455007,0.12600468974067727
DNA alkylating agent,0.11370501868113564,-0.014181820402956694,0.18338376388137467,0.42825154571026613,0.48826542879861645,0.6103036547835536
DNA directed DNA polymerase inhibitor,0.13735585268497374,0.5747774139094505,0.5743014113324842,0.5976169731017591,0.36011919873733583,0.26997411192407245
DNA inhibitor,0.076688724838653,0.027520549484899393,0.02125368795490184,0.06953515553183545,0.00170792505440049,0.3140740534432016
DNA methyltransferase inhibitor,0.32300808925921715,0.23412102974744675,0.38162452789406476,0.4541682291991395,0.3944979583460373,0.43024101593845887
DNA polymerase inhibitor,-0.09723903530640156,0.03411776666012308,0.06470281127077483,0.026107522858400546,-0.10016389224523001,0.044996548214183335
DNA synthesis inhibitor,0.04784174977196235,-0.07309294261598687,-0.07540528604118665,-0.022685624230754042,-0.09330327187424985,-0.08299668776574613
