,dose_1,dose_2,dose_3,dose_4,dose_5,dose_6
5 alpha reductase inhibitor,-0.34637143084517835,-0.48024673429218717,-0.4855246354868291,-0.236014633467348,-0.022199620344785904,-0.26077560602194727
ACAT inhibitor,-0.24353006536968658,-0.08080110918131354,-0.10811726288666762,-0.3413391615600761,-0.3875733486938437,0.051466195309874
AKT inhibitor,0.05508473454648532,0.10615886176433503,0.2434623364028406,0.30408783891260577,0.2867315081167801,0.43972298714802177
ALK tyrosine kinase receptor inhibitor,0.11510584976932506,0.06359832567921604,-0.013415574930184401,0.1341377822616168,0.4649201678445663,0.4653414224892801
ATP channel blocker,-0.012126780580627269,0.18301863933355988,-0.09785828690105519,-0.32653502897792724,-0.16215712777744126,-0.050571866326919256
ATPase inhibitor,-0.06448080880379536,-0.024839170167885734,0.00934397937514827,-0.025866142713499393,-0.02033644185771428,-0.074753885145468
Aurora kinase inhibitor,0.16174517788789397,0.4572983579291355,0.7515798943153603,0.8749924710700945,0.8845916476339016,0.7895708106816156
BCL inhibitor,0.07260701109461075,0.32346276023272025,0.11634064595483438,0.37172467923191266,0.34184105805209125,0.45110719303677516
Bcr-Abl kinase inhibitor,-0.6826297928859566,-0.499982424821526,-0.16133564402861136,-0.18748020586059203,-0.21922372008607693,0.2822559023591283
Bruton's tyrosine kinase (BTK) inhibitor,0.03885274639895682,0.10772565391009568,0.053297116362735916,0.12028171877794194,0.375041615094475,0.4123281105060725
CC chemokine receptor antagonist,0.1415587596061577,0.06074781318470121,0.09675842435716261,0.1047284292070737,0.03215875415668488,0.2749644939151672
CCK receptor antagonist,0.07964142215755535,0.23225911659092152,0.027865397055466427,0.016555168608781583,0.0549495827721017,-0.10249331288195251
CDK inhibitor,0.21842313067306937,0.3455665512126387,0.3285213672605813,0.4355590543674558,0.5338268539344094,0.6161746555082092
CFTR channel agonist,-0.22302849684081563,-0.3373901368251448,-0.09282912813171451,-0.22173838853179612,-0.34205439668380033,0.19600295246070196
DNA alkylating agent,-0.01992863785260882,-0.04862435868536212,-0.020249108024663974,0.2552019135814123,0.4773988060654426,0.5438665872284164
DNA directed DNA polymerase inhibitor,-0.11932636050695147,0.30707538079031443,0.29935522436430173,0.4099995774717532,0.11482851898655207,-0.04639160745366502
DNA inhibitor,-0.0721563178248129,-0.051871840157247655,-0.005437875340351194,-0.02488410911294646,-0.021288812589689017,0.34934619612367834
DNA methyltransferase inhibitor,-0.00012861839475966638,0.1368829993936249,0.2612272701288891,0.3745030463630769,0.39631450273630014,0.42566453026461537
DNA polymerase inhibitor,-0.19057426404627928,-0.06648660478599455,-0.06753393408323341,0.006118103390606339,-0.1652974207264457,-0.07235894461432568
DNA synthesis inhibitor,-0.021004568674684185,-0.08736760760549095,-0.07576831076532901,-0.07434673290492018,-0.07673062661223397,-0.204742356906827
EGFR inhibitor,0.14804023094712834,0.23596084240863152,0.2961207396331899,0.4177049649117746,0.41043426694319857,0.3423324068858403
EGFR inhibitor|protein tyrosine kinase inhibitor,-0.22998665223886386,-0.2710291875030741,0.0154648745709389,0.16978489076272238,0.11457496962768549,0.14568668947084965
FGFR inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor,-0.12989133152106233,-0.10466483893338223,0.10226712609567698,-0.25577745179263595,-0.19330689650572178,0.041776592798627624
FGFR inhibitor|VEGFR inhibitor,0.18317302372098357,0.016676976054706177,-0.02382465264280264,-0.04844880019287368,0.03279570303183486,0.40934025555781456
GABA receptor antagonist,0.8468211770773431,0.8551307665293184,0.8127389515643241,0.745934836484677,0.7659235059753986,0.6269088558218142
GABA receptor modulator,0.527125518318125,0.29307001134808836,0.39331048987576167,0.062096263055616344,0.26509672177755955,0.28327095329689167
HCV inhibitor,0.03802671370223404,0.043203247758580254,0.14248134129016238,-0.020172632053428292,0.04618091951287394,0.07921231698116676
HDAC inhibitor,0.026398174608519766,0.08376048412790278,0.177171868051132,0.2389465093561255,0.29358047865392944,0.40918240393117433
HIV integrase inhibitor,0.06767653910563981,0.1484253757407028,-0.05602004870026439,-0.039506276524087766,0.18714484967352424,0.24845996208887067
HIV protease inhibitor,0.09946876996418214,0.15052972769081074,0.02324941160179026,-0.0791377819719602,0.06657302079668863,0.08849184055558296
HMGCR inhibitor,-0.023647104526598843,-0.0664200658328067,0.20350748551721848,0.11363320165566643,0.01666650410867104,0.0949173315693085
HSP inhibitor,0.31928856482439655,0.48040869099944555,0.7169759102004237,0.7895905594747307,0.8189297250427428,0.7565617219463823
JAK inhibitor,0.003718240628431663,0.034108169457312376,0.17156680098540633,0.023393124333222357,0.12538691207550748,0.4195625024919213
JNK inhibitor,-0.3532202571414223,-0.2555998547462816,-0.24874055924999053,-0.0211428995134609,0.2740488034298596,0.13085288127024944
KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor,0.13413768769896858,0.48241409893735093,0.7271477989298791,0.07606680388491895,0.024361737561678476,0.3958037859135247
L-type calcium channel blocker,0.4828055506370896,-0.19045478116314757,0.02288161068020584,-0.19902764163076156,0.2507026053216026,0.07561008064752611
MDM inhibitor,0.09735477224134775,0.07030437450883338,0.35795032763707424,0.3430926732754799,0.6906782182361257,0.755829725886728
MEK inhibitor,0.2392677186021914,0.4154383169193504,0.6118856593474555,0.6825063523606724,0.7836551866800014,0.8112695746189362
NFkB pathway inhibitor,0.26077539795354054,0.12765385876484764,0.14887299525537617,0.00775423821613817,0.016479415139228917,-0.05566014109149672
O6-alkylguanine-DNA alkyltransferase inhibitor,0.12141396245546575,0.17216367409240163,0.341407201589386,-0.04443023655634143,0.3158812911861289,0.15223716149772085
P glycoprotein inhibitor,-0.30935284393412354,-0.22719100336315665,0.4373972158597193,0.21376719600193558,0.09732013138352703,0.5382516130506269
PARP inhibitor,0.11844086851722016,0.041540584609899726,-0.059399122113508736,-0.03852567283911358,0.0020629668755670454,-0.0012785579836228605
PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor,-0.07119249632054168,0.41650694861071386,0.212715525026725,-0.021813002658625787,0.17746691691484778,0.05673934423620883
PI3K inhibitor,0.06735081468980515,0.1483541848571334,0.10597708350656929,0.18159790594773143,0.12451284495544696,0.20730430079691928
PKC activator,0.9650778155117573,0.958074525560503,0.9444196644317557,0.9293931601052764,0.9215508505273792,0.8591388009843873
PKC inhibitor,-0.03267522987471312,0.11922394523314758,0.09620470674945039,0.09978854113778213,0.14258548083935912,0.2959853117218797
PLK inhibitor,0.8172280182832361,0.7559930916346138,0.7115159784312146,0.8087665565324993,0.8199900983089912,0.777681527186884
PPAR receptor agonist,-0.021648274410153184,-0.1713807228482212,-0.17541856128132327,0.13324235734294226,-0.12510036476342445,0.08947603790278155
Pim kinase inhibitor,-0.05590478246961505,-0.33605140827647034,0.316441120206193,0.3057684907476242,0.2266343697690789,0.44965861815544067
RAF inhibitor,0.0969429383518009,0.04719952460518414,0.09817830070811129,-0.05002605603726841,-0.037911155091288215,0.056288615723336655
RNA polymerase inhibitor,0.2893518771326706,0.23932200014497282,0.09616645528876828,-0.03709737157374925,0.2069535100359851,0.18708516206477055
RNA synthesis inhibitor,0.5439095524799196,-0.1029701949295684,-0.37140334669018127,-0.33791386284507685,-0.48475764023658874,-0.39288786122675273
T-type calcium channel blocker,-0.09085738610082585,-0.2063442253034647,-0.07450244474974246,0.02288289501268588,-0.08622901822194919,0.008819743068689682
TGF beta receptor inhibitor,0.22503506301280554,0.36155634794130087,0.21914962025342882,0.34892439233406686,0.258882271103996,0.29123513576535986
TRPV antagonist,-0.06568593078459976,-0.24205520153547833,-0.0013446539437700872,0.1632413373910044,0.25416022212332406,0.5945879546732363
VEGFR inhibitor,0.08728631701705294,0.1592624226737333,0.13205999840214203,0.020307066651331217,0.011198383006033565,0.20322741515647114
XIAP inhibitor,0.0753017211508739,0.36404785450696386,0.3050518846109328,0.3038912975591653,0.3004504421278295,0.19988742844495644
acetylcholine receptor agonist,0.2454486141128812,0.08234128095612256,0.2208179962172912,0.1499111475173858,-0.02078213753559635,0.03836942380137132
acetylcholine receptor antagonist,0.049674077859921735,0.12144784157824738,0.16995466793074904,0.07888208710889816,0.014108730018710193,0.03619347572746484
acetylcholine release enhancer,-0.058248185817836584,-0.6273714444556894,-0.3451212762740987,-0.4346544781457206,-0.4172782443331191,-0.35207157052571564
