,dose_1,dose_2,dose_3,dose_4,dose_5,dose_6
5 alpha reductase inhibitor,0.982,0.943,0.971,0.692,0.781,0.312
ACAT inhibitor,0.746,0.491,0.502,0.939,0.828,0.232
AKT inhibitor,0.507,0.224,0.09,0.006,0.034,0.0
ALK tyrosine kinase receptor inhibitor,0.092,0.854,0.499,0.208,0.016,0.014
ATP channel blocker,0.499,0.282,0.269,0.645,0.68,0.705
ATPase inhibitor,0.726,0.489,0.615,0.516,0.539,0.769
Aurora kinase inhibitor,0.074,0.0,0.0,0.0,0.0,0.0
BCL inhibitor,0.273,0.047,0.143,0.028,0.033,0.04
Bcr-Abl kinase inhibitor,0.973,0.949,0.539,0.602,0.798,0.216
Bruton's tyrosine kinase (BTK) inhibitor,0.376,0.468,0.361,0.572,0.029,0.051
CC chemokine receptor antagonist,0.669,0.461,0.584,0.131,0.108,0.026
CCK receptor antagonist,0.637,0.035,0.958,0.582,0.911,0.96
CDK inhibitor,0.008,0.0,0.001,0.0,0.0,0.0
CFTR channel agonist,0.677,0.858,0.739,0.835,0.968,0.458
DNA alkylating agent,0.291,0.635,0.147,0.008,0.002,0.001
DNA directed DNA polymerase inhibitor,0.304,0.012,0.003,0.003,0.065,0.199
DNA inhibitor,0.352,0.599,0.587,0.307,0.662,0.055
DNA methyltransferase inhibitor,0.104,0.15,0.057,0.016,0.056,0.067
DNA polymerase inhibitor,0.858,0.508,0.377,0.492,0.878,0.642
DNA synthesis inhibitor,0.465,0.866,0.872,0.688,0.891,0.939
EGFR inhibitor,0.003,0.001,0.0,0.0,0.0,0.003
EGFR inhibitor|protein tyrosine kinase inhibitor,0.838,0.792,0.511,0.261,0.264,0.315
FGFR inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor,0.611,0.64,0.49,0.767,0.563,0.523
FGFR inhibitor|VEGFR inhibitor,0.036,0.558,0.484,0.47,0.499,0.044
GABA receptor antagonist,0.001,0.001,0.005,0.012,0.001,0.059
GABA receptor modulator,0.002,0.068,0.028,0.205,0.018,0.273
HCV inhibitor,0.241,0.132,0.331,0.609,0.167,0.083
HDAC inhibitor,0.062,0.03,0.015,0.001,0.0,0.0
HIV integrase inhibitor,0.364,0.266,0.401,0.52,0.204,0.289
HIV protease inhibitor,0.094,0.495,0.189,0.334,0.671,0.261
HMGCR inhibitor,0.778,0.725,0.789,0.499,0.194,0.225
HSP inhibitor,0.065,0.001,0.0,0.0,0.0,0.0
JAK inhibitor,0.524,0.554,0.129,0.118,0.134,0.004
JNK inhibitor,0.77,0.778,0.88,0.459,0.295,0.442
KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor,0.385,0.039,0.042,0.551,0.538,0.122
L-type calcium channel blocker,0.238,0.909,0.45,0.53,0.116,0.355
MDM inhibitor,0.1,0.237,0.015,0.022,0.001,0.0
MEK inhibitor,0.038,0.002,0.0,0.0,0.0,0.0
NFkB pathway inhibitor,0.126,0.272,0.231,0.402,0.281,0.659
O6-alkylguanine-DNA alkyltransferase inhibitor,0.575,0.35,0.213,0.665,0.278,0.217
P glycoprotein inhibitor,0.687,0.659,0.089,0.185,0.498,0.09
PARP inhibitor,0.139,0.346,0.185,0.259,0.121,0.244
PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor,0.787,0.099,0.258,0.418,0.387,0.499
PI3K inhibitor,0.192,0.062,0.123,0.08,0.161,0.109
PKC activator,0.0,0.0,0.0,0.0,0.0,0.0
PKC inhibitor,0.618,0.374,0.718,0.475,0.123,0.107
PLK inhibitor,0.0,0.0,0.0,0.0,0.0,0.0
PPAR receptor agonist,0.378,0.809,0.853,0.122,0.701,0.425
Pim kinase inhibitor,0.801,0.922,0.252,0.237,0.244,0.091
RAF inhibitor,0.738,0.588,0.364,0.897,0.429,0.318
RNA polymerase inhibitor,0.003,0.022,0.139,0.406,0.059,0.088
