,dose_1,dose_2,dose_3,dose_4,dose_5,dose_6
5 alpha reductase inhibitor,0.922,0.995,0.989,0.865,0.469,0.878
ACAT inhibitor,0.804,0.595,0.623,0.947,0.971,0.412
AKT inhibitor,0.351,0.207,0.045,0.007,0.016,0.008
ALK tyrosine kinase receptor inhibitor,0.239,0.324,0.536,0.185,0.01,0.012
ATP channel blocker,0.459,0.178,0.639,0.949,0.742,0.6
ATPase inhibitor,0.699,0.618,0.477,0.54,0.525,0.797
Aurora kinase inhibitor,0.148,0.002,0.0,0.0,0.0,0.0
BCL inhibitor,0.313,0.066,0.263,0.036,0.062,0.038
Bcr-Abl kinase inhibitor,0.995,0.98,0.752,0.76,0.778,0.222
Bruton's tyrosine kinase (BTK) inhibitor,0.346,0.289,0.361,0.231,0.047,0.047
CC chemokine receptor antagonist,0.138,0.301,0.204,0.122,0.353,0.033
CCK receptor antagonist,0.304,0.078,0.387,0.392,0.301,0.869
CDK inhibitor,0.037,0.004,0.009,0.0,0.0,0.0
CFTR channel agonist,0.744,0.883,0.614,0.787,0.88,0.311
DNA alkylating agent,0.558,0.677,0.571,0.047,0.001,0.003
DNA directed DNA polymerase inhibitor,0.656,0.091,0.094,0.027,0.249,0.609
DNA inhibitor,0.854,0.816,0.552,0.603,0.617,0.007
DNA methyltransferase inhibitor,0.422,0.244,0.122,0.043,0.03,0.055
DNA polymerase inhibitor,0.94,0.729,0.71,0.45,0.918,0.801
DNA synthesis inhibitor,0.574,0.822,0.794,0.767,0.77,0.989
EGFR inhibitor,0.027,0.004,0.0,0.0,0.0,0.003
EGFR inhibitor|protein tyrosine kinase inhibitor,0.773,0.831,0.5,0.312,0.382,0.385
FGFR inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor,0.683,0.688,0.413,0.8,0.735,0.518
FGFR inhibitor|VEGFR inhibitor,0.187,0.407,0.478,0.53,0.345,0.044
GABA receptor antagonist,0.0,0.0,0.002,0.007,0.0,0.029
GABA receptor modulator,0.003,0.065,0.025,0.299,0.081,0.086
