,dose_1,dose_2,dose_3,dose_4,dose_5,dose_6
5 alpha reductase inhibitor,0.963,0.984,0.992,0.708,0.318,0.468
ACAT inhibitor,0.831,0.496,0.585,0.901,0.942,0.327
AKT inhibitor,0.467,0.17,0.041,0.006,0.018,0.009
ALK tyrosine kinase receptor inhibitor,0.196,0.239,0.334,0.191,0.022,0.012
ATP channel blocker,0.389,0.167,0.711,0.96,0.64,0.589
ATPase inhibitor,0.769,0.403,0.61,0.462,0.663,0.815
Aurora kinase inhibitor,0.216,0.0,0.0,0.0,0.0,0.0
BCL inhibitor,0.371,0.08,0.239,0.029,0.079,0.063
Bcr-Abl kinase inhibitor,0.982,0.943,0.671,0.702,0.765,0.211
Bruton's tyrosine kinase (BTK) inhibitor,0.45,0.417,0.422,0.267,0.07,0.098
CC chemokine receptor antagonist,0.124,0.264,0.298,0.166,0.234,0.057
CCK receptor antagonist,0.392,0.052,0.579,0.297,0.329,0.882
CDK inhibitor,0.029,0.009,0.007,0.0,0.0,0.0
CFTR channel agonist,0.645,0.859,0.593,0.776,0.892,0.289
DNA alkylating agent,0.595,0.705,0.438,0.084,0.002,0.004
DNA directed DNA polymerase inhibitor,0.732,0.09,0.048,0.036,0.227,0.651
DNA inhibitor,0.786,0.836,0.527,0.494,0.818,0.006
DNA methyltransferase inhibitor,0.311,0.233,0.098,0.059,0.06,0.068
DNA polymerase inhibitor,0.92,0.705,0.67,0.476,0.911,0.735
DNA synthesis inhibitor,0.737,0.817,0.632,0.721,0.744,0.977
EGFR inhibitor,0.035,0.012,0.0,0.0,0.0,0.005
EGFR inhibitor|protein tyrosine kinase inhibitor,0.767,0.866,0.479,0.256,0.395,0.382
FGFR inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor,0.72,0.617,0.452,0.72,0.619,0.554
FGFR inhibitor|VEGFR inhibitor,0.19,0.358,0.577,0.518,0.442,0.041
GABA receptor antagonist,0.001,0.001,0.005,0.011,0.003,0.03
GABA receptor modulator,0.004,0.081,0.064,0.588,0.098,0.108
HCV inhibitor,0.341,0.783,0.156,0.697,0.675,0.234
HDAC inhibitor,0.44,0.086,0.04,0.002,0.0,0.0
HIV integrase inhibitor,0.376,0.305,0.563,0.611,0.165,0.135
HIV protease inhibitor,0.099,0.081,0.369,0.718,0.203,0.342
HMGCR inhibitor,0.368,0.669,0.507,0.111,0.302,0.262
