,dose_1,dose_2,dose_3,dose_4,dose_5,dose_6
5 alpha reductase inhibitor,-0.44890828578397723,-0.4706801750645173,-0.5224188522355451,-0.14748900937549694,0.0761144191054888,0.042145625630167806
ACAT inhibitor,-0.27664848826747745,-0.024754594625562218,-0.08722005020752255,-0.3047481479840694,-0.36605042660441456,0.14026851382455108
AKT inhibitor,0.013092724540014433,0.14033014760576662,0.29089839686333113,0.3643475465265892,0.33203984901193445,0.48090623812328326
ALK tyrosine kinase receptor inhibitor,0.16001993240861498,0.12373486199271196,0.086779375168489,0.15328103621854683,0.46089960965016996,0.4973100592064762
ATP channel blocker,0.037594404859985074,0.21167298878925347,-0.13246107316044836,-0.3673575376083485,-0.097064198032179,-0.024442376835634824
ATPase inhibitor,-0.09490363480644146,0.051761837554855195,-0.03590146504506169,0.01337402693366765,-0.04932156273481711,-0.06859241315266362
Aurora kinase inhibitor,0.1265508485157053,0.6328150951417151,0.7886390484408912,0.8787213389098494,0.9133748309989557,0.8028608552153875
BCL inhibitor,0.03241995985774795,0.3353048171382952,0.15017647594194503,0.43471946506030507,0.35170882431505446,0.4435064251447337
Bcr-Abl kinase inhibitor,-0.629138063349023,-0.4588429697784011,-0.10145226307229924,-0.12448064552182458,-0.20933396439444343,0.3476768634747561
Bruton's tyrosine kinase (BTK) inhibitor,-0.029049832815949504,0.02722526626391197,0.01455990929805179,0.10839322560883907,0.35725543546151245,0.36699206487918173
CC chemokine receptor antagonist,0.16122149396743715,0.08269757332348629,0.07590210379799638,0.09765762542094297,0.08771138312777065,0.2990646527081392
CCK receptor antagonist,0.050590749779509836,0.3110411892725768,-0.02564549772838398,0.06842822681635058,0.06563126795830723,-0.09345692934017323
CDK inhibitor,0.2750583349072899,0.3725222538097137,0.36020174048166287,0.4766169193472287,0.5808350329842908,0.620910642210668
CFTR channel agonist,-0.15773769892376163,-0.32989330069168693,-0.06841905120681527,-0.22280704290588968,-0.37095448289850563,0.2616494918180293
DNA alkylating agent,-0.038845358227663364,-0.06661234804238578,0.02575421107186606,0.2428484410269522,0.4946678036480586,0.5574112440840167
DNA directed DNA polymerase inhibitor,-0.1794237057357335,0.3481005151990251,0.43033630618051333,0.41677122618733087,0.16840359814221068,-0.05653062802053536
DNA inhibitor,-0.05884407824659699,-0.06184852424531906,0.0073010066594142485,0.0027059497131171296,-0.05342728310980191,0.4060831650204584
DNA methyltransferase inhibitor,0.07914917231924817,0.1587717884540841,0.3354827245001647,0.3843633817631967,0.38744353521358815,0.4385391453999366
DNA polymerase inhibitor,-0.1878175203010065,-0.060589073038085674,-0.04570362506769353,0.006576773794772124,-0.16155033207161723,-0.034698179967742236
DNA synthesis inhibitor,-0.07943536816972198,-0.08537840595835743,-0.027925057687121564,-0.058231115827627106,-0.061257146969672764,-0.187393031430942
EGFR inhibitor,0.1538378819236327,0.2074708332792919,0.2991366986865028,0.4079822966822059,0.35646083253793376,0.3658481402147897
EGFR inhibitor|protein tyrosine kinase inhibitor,-0.24307771113282475,-0.33007362902346576,0.05160837377825064,0.2603213076084375,0.12812974520565637,0.18600893661469398
FGFR inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor,-0.18188032018054204,-0.06795029683399502,0.08065041514663639,-0.18473694991817702,-0.07072174326246537,0.04288073096429601
FGFR inhibitor|VEGFR inhibitor,0.20321841690890532,0.054205353029266476,-0.08133257495600545,-0.04414802512589036,-0.005305934959103502,0.4557440366395281
GABA receptor antagonist,0.8776308506423858,0.8283783628770476,0.8175331934599533,0.7660341698483144,0.7735367855722783,0.6795774902287516
GABA receptor modulator,0.6188246837536175,0.2946732083131389,0.3309645057719964,-0.032445677509472776,0.2640277674511387,0.31157519595082345
HCV inhibitor,0.04413116306735472,-0.03646956453367862,0.12200838716132874,-0.024771896045387744,-0.019220711892675983,0.1394008029994832
HDAC inhibitor,0.02292885380588605,0.1385750982788366,0.19897046535018292,0.2804722063784804,0.3344587392462164,0.45629962419400494
HIV integrase inhibitor,0.040425194718705516,0.08486781509288557,-0.02339903555759612,-0.04821982704205735,0.16816615937389284,0.27568530191199875
HIV protease inhibitor,0.20638504440401187,0.19816943740866924,0.05400631627583608,-0.046822601672370935,0.10496804162314577,0.10960612992737122
HMGCR inhibitor,0.04407016635095378,-0.03706622166819936,0.004488692917322494,0.16508105223715064,0.06273335338838827,0.141944947384556
HSP inhibitor,0.2895404352849395,0.5204106076263552,0.7783622579199956,0.8430186248031591,0.8737552802448058,0.8289381561444636
JAK inhibitor,-0.05456533279333265,0.0008144985614674868,0.23408402047170102,0.1346664048074212,0.15106462399599915,0.46237460162442773
JNK inhibitor,-0.2913318894798101,-0.169365372717472,-0.3179694670143542,0.02708794372373707,0.29533899100405614,0.10730791899726311
KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor,0.07665324890663894,0.5909227325153814,0.7303356907585243,0.0383720253258209,0.09150549232852492,0.4983745778996015
L-type calcium channel blocker,0.5518660106247272,-0.31138305724000964,0.12864748372191695,-0.16658699786232542,0.4478427880772177,0.0028336977298604998
MDM inhibitor,0.13595553112396155,-0.1185466884516488,0.3267776438004643,0.35990234403209825,0.7294163185906557,0.7942931633887058
