,dose_1,dose_2,dose_3,dose_4,dose_5,dose_6
5 alpha reductase inhibitor,-0.3680631424740477,-0.32359678374925643,-0.3891991696946666,-0.11468039942790795,-0.27293974226831785,0.0032209337906741625
ACAT inhibitor,-0.19079102435230524,0.01993043702759617,-0.09034889481865478,-0.3141803885436904,-0.21754560393688324,0.1921482462908323
AKT inhibitor,0.11434454574898743,0.11318162609584059,0.24867612101215145,0.30542812104258005,0.2669868873206263,0.5277489031706337
ALK tyrosine kinase receptor inhibitor,0.17397938891627693,-0.06533815914853862,0.007437876410329601,0.1583111642424334,0.43033485053667636,0.4391015129961381
ATP channel blocker,0.04908688765596167,0.1934690305348096,0.07454989328203677,-0.18740382680262854,-0.15566134206757243,-0.12712265975876574
ATPase inhibitor,0.03257916619247793,0.025066779638055862,0.03648385128016743,0.02974346788869624,-0.021661210542195136,-0.026606502929044023
Aurora kinase inhibitor,0.18052351988072193,0.4297120370675912,0.7383280605015972,0.8747145094344292,0.8801884164271139,0.7865394005082099
BCL inhibitor,0.1528582606411151,0.3750388373505269,0.2054724184395492,0.40414536368965526,0.40822230053581665,0.41061722662321226
Bcr-Abl kinase inhibitor,-0.602392168879692,-0.4890560164105995,-0.075927236351299,-0.10514568048292236,-0.22170543595836456,0.2605883075451284
Bruton's tyrosine kinase (BTK) inhibitor,0.1372861438736021,0.06516788183076047,0.048213050376998225,-0.02514296911219365,0.47381373997072074,0.4750377234510659
CC chemokine receptor antagonist,0.08910994249535299,0.031068288320752382,0.04286279429769929,0.12122158114415466,0.15299574432452848,0.31574857676187895
CCK receptor antagonist,0.08341012849112348,0.20876523560408528,-0.10614260659842222,0.008910119307117867,-0.03106862686391197,-0.14070151937800396
CDK inhibitor,0.2815551008331136,0.5142814668263989,0.42054547043474544,0.5321958243886099,0.6123287894951372,0.6531625121797833
CFTR channel agonist,-0.18315036971481555,-0.3149154535622617,-0.1471114169261631,-0.2301627157155671,-0.42333468177388683,0.058478501256671485
DNA alkylating agent,0.02568360485549459,-0.03872059676473945,0.07716249660234994,0.42046163663781055,0.43719172541593454,0.5685153409168666
DNA directed DNA polymerase inhibitor,0.1745877749511534,0.5323607470230689,0.5330821124664338,0.4933973114984148,0.3549864349330326,0.2233335110219915
DNA inhibitor,0.04674923198050152,0.0498491242358617,0.025643203013311428,0.016651321922433977,0.037256720099801216,0.289391127702174
DNA methyltransferase inhibitor,0.1795319838651621,0.1989444248755727,0.29600476658720265,0.4379494876226297,0.37875092832415497,0.4020362271825951
DNA polymerase inhibitor,-0.09552788667996163,-0.02838094667954609,-0.0034399610472142586,0.018828387387377403,-0.08422470574327526,-0.0017654599624682583
DNA synthesis inhibitor,0.04247868817720738,-0.05116677115822155,-0.07824469517813755,-0.03184862083245003,-0.02171744768541271,-0.01830468929992408
EGFR inhibitor,0.23679288293250036,0.3308593932278641,0.36399508980338113,0.4428951657268178,0.4111521210500923,0.3626036042121958
EGFR inhibitor|protein tyrosine kinase inhibitor,-0.17272006888659858,-0.1642136974639888,0.04628296653985974,0.1978647062434088,0.24224272391130325,0.2785520594550879
FGFR inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor,-0.012106649639082591,0.009865952009580063,0.08713840422729796,-0.2857978607101249,-0.16687026407480188,0.09027195302744324
FGFR inhibitor|VEGFR inhibitor,0.23999983516702209,0.10155036318103935,-0.053019614486072335,-0.04134154306735809,-0.04127738257573109,0.3408742659901795
GABA receptor antagonist,0.8519092101315766,0.8449713267748376,0.8247390737004409,0.7355835464046044,0.7570748655598456,0.5799108673952988
GABA receptor modulator,0.5159821530291063,0.3187343006940998,0.40209555604876873,0.30926896872432874,0.4086385858638545,0.216917085568064
HCV inhibitor,0.05024861243211067,0.07529047467546678,0.04230396001456443,0.004215216827637242,0.12346022290190078,0.1789346859000835
HDAC inhibitor,0.14171440222273632,0.20837315816933585,0.23097558847203942,0.25821206155788673,0.28969928095165687,0.40461583624798025
HIV integrase inhibitor,0.10931057164253763,0.2066120799128293,0.05751928225057512,0.03470881950358477,0.1604696058720209,0.15959852484660011
HIV protease inhibitor,0.12366154035571843,0.028212586495158933,0.06370403415484044,0.0025038751534629546,-0.015645844682753145,0.14140979231634576
HMGCR inhibitor,0.028954253902847112,-0.02556214587633178,0.15203993542429392,0.006567850935009661,0.12654028698024536,0.15943346307954767
HSP inhibitor,0.23014907533863352,0.47951545512054516,0.7419475664413394,0.7853663694866547,0.8130259673198182,0.7471310492775906
JAK inhibitor,0.08476452152867772,0.08856904353270122,0.21353029345691754,0.1003256658886517,0.0841295928801599,0.39399617521931785
JNK inhibitor,-0.2079951927822177,-0.2398321767921292,-0.22888605262349207,-0.0033741891905511422,0.20735271571315075,0.1200839673194644
KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor,0.12228060636663647,0.49710802183469,0.6133933456347641,0.03179395768493102,0.025099793621876147,0.3775514295122512
L-type calcium channel blocker,0.2412805219946222,-0.24406157866449824,0.11130997813330797,-0.036809535838006724,0.3453693663551136,0.23786165174200705
MDM inhibitor,0.28192237434943473,0.3377712154828915,0.520763525938994,0.4917874994670623,0.7424439020992122,0.7675517263847439
MEK inhibitor,0.34068815851105144,0.4294742272760399,0.6106484651673665,0.6956338136729777,0.7735337396633893,0.8065540914664088
NFkB pathway inhibitor,0.12390721493387172,0.10923337877166558,0.10825131726476456,0.05160182334448387,0.042214479805745414,-0.015677053574121188
O6-alkylguanine-DNA alkyltransferase inhibitor,0.023766024411150746,0.14015681720922674,0.28315161538212824,-0.07973211501835435,0.2586284008750238,0.3426862992946528
P glycoprotein inhibitor,-0.15088079302686463,-0.11531702536434839,0.4331485726233187,0.27954657174617137,0.037119379223583604,0.5028352696394527
PARP inhibitor,0.21377798467901254,0.08544717858708156,0.18107967027983185,0.1130393791867148,0.21111372928087443,0.17128593371063006
PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor,-0.100810195599376,0.27462917257439146,0.27096797237020925,0.03883532505096846,0.22120006215851878,0.055571930321418744
PI3K inhibitor,0.11611422889693018,0.1782538477082921,0.13657699505574156,0.2039115819604692,0.14622385642950317,0.17424705281454128
PKC activator,0.9566775935035964,0.9537000361499415,0.9367315646892991,0.9217790116372001,0.9147490049520148,0.8839057995626274
PKC inhibitor,0.007740459747777483,0.003731347640694472,-0.0447355025686929,0.10953977869447358,0.1701833134874506,0.22756656832970093
