cpd,dose_1,dose_2,dose_3,dose_4,dose_5,dose_6,no_of_replicates
17-hydroxyprogesterone-caproate,0.916,0.786,0.863,0.048,0.673,0.092,3
2-iminobiotin,0.797,0.168,0.915,0.921,0.767,0.637,2
3-amino-benzamide,0.758,0.924,0.923,0.936,0.947,0.711,3
3-deazaadenosine,0.834,0.861,0.876,0.195,0.79,0.837,2
abacavir,0.88,0.916,0.359,0.678,0.958,0.566,3
abiraterone-acetate,0.933,0.392,0.972,0.476,0.932,0.687,3
abt-202,0.885,0.304,0.851,0.538,0.877,0.219,3
abt-239,0.531,0.77,0.773,0.806,0.933,0.01,3
abt-724,0.959,0.911,0.915,0.821,0.918,0.138,3
acarbose,0.96,0.924,0.766,0.291,0.902,0.765,3
acebutolol,0.816,0.904,0.8,0.713,0.727,0.734,2
acecainide,0.805,0.958,0.842,0.751,0.815,0.748,3
acenocoumarol,0.834,0.763,0.421,0.77,0.329,0.928,3
acetazolamide,0.921,0.875,0.828,0.856,0.929,0.919,3
acetylcysteine,0.943,0.906,0.892,0.907,0.96,0.94,3
acexamic-acid,0.701,0.727,0.949,0.917,0.844,0.698,3
acifran,0.593,0.898,0.834,0.745,0.785,0.381,2
acipimox,0.966,0.864,0.959,0.952,0.587,0.962,3
acivicin,0.172,0.323,0.228,0.309,0.0,0.0,3
aclidinium,0.771,0.84,0.791,0.711,0.953,0.822,2
acrivastine,0.635,0.768,0.652,0.564,0.761,0.723,3
actarit,0.525,0.849,0.078,0.559,0.261,0.158,3
acy-1215,0.229,0.838,0.547,0.526,0.516,0.001,2
adapalene,0.574,0.873,0.678,0.15,0.133,0.012,3
adarotene,0.979,0.856,0.741,0.069,0.0,0.0,3
adatanserin,0.928,0.856,0.499,0.295,0.872,0.519,3
adenosine,0.963,0.935,0.92,0.846,0.919,0.809,3
adoprazine,0.834,0.785,0.684,0.888,0.92,0.868,3
afatinib,0.905,0.517,0.837,0.82,0.593,0.059,2
afloqualone,0.875,0.941,0.923,0.062,0.953,0.51,3
agi-5198,0.515,0.961,0.842,0.929,0.866,0.935,3
agi-6780,0.87,0.904,0.95,0.849,0.824,0.683,2
agomelatine,0.913,0.876,0.878,0.793,0.784,0.687,3
agp-103,0.842,0.832,0.695,0.766,0.721,0.198,3
alaproclate,0.031,0.815,0.478,0.09,0.182,0.785,3
albendazole,0.627,0.506,0.743,0.004,0.004,0.003,3
alectinib,0.793,0.178,0.906,0.785,0.409,0.184,3
alisertib,0.591,0.841,0.666,0.573,0.111,0.278,2
aliskiren,0.422,0.776,0.962,0.059,0.786,0.583,3
alizapride,0.791,0.906,0.818,0.78,0.871,0.868,3
allopurinol,0.834,0.861,0.652,0.937,0.647,0.693,3
almitrine,0.934,0.78,0.762,0.515,0.922,0.845,3
almorexant,0.873,0.861,0.906,0.942,0.837,0.79,3
altanserin,0.871,0.897,0.931,0.804,0.166,0.088,3
altrenogest,0.029,0.185,0.122,0.502,0.089,0.151,3
altretamine,0.912,0.598,0.313,0.821,0.845,0.293,3
alvespimycin,0.191,0.0,0.0,0.0,0.0,0.0,3
alvimopan,0.143,0.694,0.672,0.894,0.87,0.778,3
