compound	no_of_replicates	dose	p_value	matching_score	assay	normalization	category
17-hydroxyprogesterone-caproate	3	0.04 uM	0.916	-0.0093435005302555	L1000	spherized	all_data
2-iminobiotin	2	0.04 uM	0.797	0.029933462081212	L1000	spherized	all_data
3-amino-benzamide	3	0.04 uM	0.758	0.0456556669473286	L1000	spherized	all_data
3-deazaadenosine	2	0.04 uM	0.834	0.017113905928964	L1000	spherized	all_data
abacavir	3	0.04 uM	0.88	0.0086383316307686	L1000	spherized	all_data
abiraterone-acetate	3	0.04 uM	0.933	-0.0201902223729657	L1000	spherized	all_data
abt-202	3	0.04 uM	0.885	0.0046030481256975	L1000	spherized	all_data
abt-239	3	0.04 uM	0.531	0.086566115032632	L1000	spherized	all_data
abt-724	3	0.04 uM	0.959	-0.0368348117678997	L1000	spherized	all_data
acarbose	3	0.04 uM	0.96	-0.0382472964725653	L1000	spherized	all_data
acebutolol	2	0.04 uM	0.816	0.0247065465441725	L1000	spherized	all_data
acecainide	3	0.04 uM	0.805	0.0354217394750822	L1000	spherized	all_data
acenocoumarol	3	0.04 uM	0.834	0.0289978159177543	L1000	spherized	all_data
acetazolamide	3	0.04 uM	0.921	-0.0123118893254168	L1000	spherized	all_data
acetylcysteine	3	0.04 uM	0.943	-0.0267521936583661	L1000	spherized	all_data
acexamic-acid	3	0.04 uM	0.701	0.0578959881221897	L1000	spherized	all_data
acifran	2	0.04 uM	0.593	0.081098888200754	L1000	spherized	all_data
acipimox	3	0.04 uM	0.966	-0.0506453799042545	L1000	spherized	all_data
acivicin	3	0.04 uM	0.172	0.1412090317485348	L1000	spherized	all_data
aclidinium	2	0.04 uM	0.771	0.038226439313456	L1000	spherized	all_data
acrivastine	3	0.04 uM	0.635	0.0687377610287354	L1000	spherized	all_data
actarit	3	0.04 uM	0.525	0.0873364343669873	L1000	spherized	all_data
acy-1215	2	0.04 uM	0.229	0.1580714450288378	L1000	spherized	all_data
adapalene	3	0.04 uM	0.574	0.0782132680429422	L1000	spherized	all_data
adarotene	3	0.04 uM	0.979	-0.0699320292992708	L1000	spherized	all_data
adatanserin	3	0.04 uM	0.928	-0.0187732151539143	L1000	spherized	all_data
adenosine	3	0.04 uM	0.963	-0.0469473365779979	L1000	spherized	all_data
adoprazine	3	0.04 uM	0.834	0.0290235870718539	L1000	spherized	all_data
afatinib	2	0.04 uM	0.905	-0.0188281828408669	L1000	spherized	all_data
afloqualone	3	0.04 uM	0.875	0.0119794763183332	L1000	spherized	all_data
agi-5198	3	0.04 uM	0.515	0.0893727467250447	L1000	spherized	all_data
agi-6780	2	0.04 uM	0.87	0.0017749742074116	L1000	spherized	all_data
agomelatine	3	0.04 uM	0.913	-0.0077260698947086	L1000	spherized	all_data
agp-103	3	0.04 uM	0.842	0.0262654396509784	L1000	spherized	all_data
alaproclate	3	0.04 uM	0.031	0.1997361910869025	L1000	spherized	all_data
albendazole	3	0.04 uM	0.627	0.0694480142285765	L1000	spherized	all_data
alectinib	3	0.04 uM	0.793	0.0379791106549315	L1000	spherized	all_data
alisertib	2	0.04 uM	0.591	0.0812829769707576	L1000	spherized	all_data
aliskiren	3	0.04 uM	0.422	0.1025414715416842	L1000	spherized	all_data
alizapride	3	0.04 uM	0.791	0.0392421159006482	L1000	spherized	all_data
allopurinol	3	0.04 uM	0.834	0.028199950694709	L1000	spherized	all_data
almitrine	3	0.04 uM	0.934	-0.0205569416996638	L1000	spherized	all_data
almorexant	3	0.04 uM	0.873	0.0128512949303569	L1000	spherized	all_data
altanserin	3	0.04 uM	0.871	0.0145668827415712	L1000	spherized	all_data
altrenogest	3	0.04 uM	0.029	0.2026178089105756	L1000	spherized	all_data
altretamine	3	0.04 uM	0.912	-0.0066765292179468	L1000	spherized	all_data
alvespimycin	3	0.04 uM	0.191	0.1361187036210596	L1000	spherized	all_data
alvimopan	3	0.04 uM	0.143	0.1468976458563843	L1000	spherized	all_data
alvocidib	3	0.04 uM	0.076	0.1707546224052633	L1000	spherized	all_data
