compound	no_of_replicates	dose	p_value	matching_score	assay	normalization	category
17-hydroxyprogesterone-caproate	3	0.04 uM	0.095	0.0733696761021417	L1000	non_spherized	all_data
2-iminobiotin	2	0.04 uM	0.171	0.0854336080251947	L1000	non_spherized	all_data
3-amino-benzamide	3	0.04 uM	0.424	0.0112280471204578	L1000	non_spherized	all_data
3-deazaadenosine	2	0.04 uM	0.23	0.0688217136359943	L1000	non_spherized	all_data
abacavir	3	0.04 uM	0.166	0.0558529220242073	L1000	non_spherized	all_data
abiraterone-acetate	3	0.04 uM	0.475	0.0050624943860048	L1000	non_spherized	all_data
abt-202	3	0.04 uM	0.704	-0.0266244774864707	L1000	non_spherized	all_data
abt-239	3	0.04 uM	0.05	0.1022116418759679	L1000	non_spherized	all_data
abt-724	3	0.04 uM	0.248	0.038731812450008	L1000	non_spherized	all_data
acarbose	3	0.04 uM	0.482	0.004028175991543	L1000	non_spherized	all_data
acebutolol	2	0.04 uM	0.428	0.024638083149088	L1000	non_spherized	all_data
acecainide	3	0.04 uM	0.498	0.0020231496878882	L1000	non_spherized	all_data
acenocoumarol	3	0.04 uM	0.04	0.1063347375106449	L1000	non_spherized	all_data
acetazolamide	3	0.04 uM	0.628	-0.0158423612564165	L1000	non_spherized	all_data
acetylcysteine	3	0.04 uM	0.521	-0.0012168813762036	L1000	non_spherized	all_data
acexamic-acid	3	0.04 uM	0.055	0.0998889191278543	L1000	non_spherized	all_data
acifran	2	0.04 uM	0.383	0.0333539273208278	L1000	non_spherized	all_data
acipimox	3	0.04 uM	0.556	-0.0059031465691472	L1000	non_spherized	all_data
acivicin	3	0.04 uM	0.078	0.0809570631935052	L1000	non_spherized	all_data
actarit	3	0.04 uM	0.187	0.0509537635545512	L1000	non_spherized	all_data
acy-1215	2	0.04 uM	0.019	0.1924718204698104	L1000	non_spherized	all_data
adapalene	3	0.04 uM	0.362	0.0205823378090212	L1000	non_spherized	all_data
adatanserin	3	0.04 uM	0.424	0.0111259237404715	L1000	non_spherized	all_data
adenosine	3	0.04 uM	0.383	0.0180830775134206	L1000	non_spherized	all_data
adoprazine	3	0.04 uM	0.42	0.0118990843121676	L1000	non_spherized	all_data
afatinib	2	0.04 uM	0.544	0.0036442245804841	L1000	non_spherized	all_data
afloqualone	3	0.04 uM	0.186	0.0511831802728441	L1000	non_spherized	all_data
agi-5198	3	0.04 uM	0.021	0.1273025596746245	L1000	non_spherized	all_data
agi-6780	2	0.04 uM	0.508	0.0104930083644586	L1000	non_spherized	all_data
agomelatine	3	0.04 uM	0.248	0.0387522416672548	L1000	non_spherized	all_data
agp-103	3	0.04 uM	0.064	0.0904678870543476	L1000	non_spherized	all_data
alaproclate	3	0.04 uM	0.061	0.0952256357828163	L1000	non_spherized	all_data
alisertib	2	0.04 uM	0.053	0.1405961647549843	L1000	non_spherized	all_data
aliskiren	3	0.04 uM	0.161	0.0566632417582119	L1000	non_spherized	all_data
alizapride	3	0.04 uM	0.021	0.1267367487396091	L1000	non_spherized	all_data
allopurinol	3	0.04 uM	0.1	0.0726605945929418	L1000	non_spherized	all_data
almitrine	3	0.04 uM	0.327	0.0261104438124484	L1000	non_spherized	all_data
almorexant	3	0.04 uM	0.042	0.1052578477132664	L1000	non_spherized	all_data
altanserin	3	0.04 uM	0.084	0.0797522925863386	L1000	non_spherized	all_data
altrenogest	3	0.04 uM	0.021	0.1255496676661237	L1000	non_spherized	all_data
altretamine	3	0.04 uM	0.27	0.0347096632366993	L1000	non_spherized	all_data
alvocidib	3	0.04 uM	0.001	0.2065461359781155	L1000	non_spherized	all_data
am-24	3	0.04 uM	0.55	-0.0048569816610638	L1000	non_spherized	all_data
amantadine	3	0.04 uM	0.075	0.0852426539269218	L1000	non_spherized	all_data
ambrisentan	3	0.04 uM	0.26	0.0367637123918264	L1000	non_spherized	all_data
ambroxol	2	0.04 uM	0.457	0.0198586816134825	L1000	non_spherized	all_data
amd11070	3	0.04 uM	0.3	0.029114611052188	L1000	non_spherized	all_data
amg-208	3	0.04 uM	0.624	-0.0155184972581444	L1000	non_spherized	all_data
amg-232	3	0.04 uM	0.638	-0.0172023544773689	L1000	non_spherized	all_data
amiloride	3	0.04 uM	0.467	0.0057544528749263	L1000	non_spherized	all_data
aminocaproic-acid	3	0.04 uM	0.359	0.0210486355634578	L1000	non_spherized	all_data
aminoglutethimide	3	0.04 uM	0.556	-0.0060568973173002	L1000	non_spherized	all_data
aminolevulinic-acid	3	0.04 uM	0.527	-0.0024065749735375	L1000	non_spherized	all_data
aminosalicylic-acid	3	0.04 uM	0.133	0.0631689740672724	L1000	non_spherized	all_data
amiodarone	3	0.04 uM	0.086	0.0784731513285164	L1000	non_spherized	all_data
amiprilose	3	0.04 uM	0.128	0.0643736230299	L1000	non_spherized	all_data
amitifadine	3	0.04 uM	0.756	-0.0349416274731128	L1000	non_spherized	all_data
amlexanox	3	0.04 uM	0.199	0.0484897903821002	L1000	non_spherized	all_data
amlodipine	3	0.04 uM	0.018	0.1367304554525065	L1000	non_spherized	all_data
ammonium-glycyrrhizinate	3	0.04 uM	0.282	0.0321148555643151	L1000	non_spherized	all_data
amonafide	3	0.04 uM	0.222	0.0448120539609319	L1000	non_spherized	all_data
amoxapine	4	0.04 uM	0.135	0.0493304643752545	L1000	non_spherized	all_data
amrinone	3	0.04 uM	0.509	0.0004845462691196	L1000	non_spherized	all_data
amsacrine	3	0.04 uM	0.001	0.2559651564714193	L1000	non_spherized	all_data
amtolmetin-guacil	3	0.04 uM	0.327	0.0261425865853701	L1000	non_spherized	all_data
amuvatinib	2	0.04 uM	0.544	0.0034328840568274	L1000	non_spherized	all_data
anamorelin	4	0.04 uM	0.11	0.0542044495274913	L1000	non_spherized	all_data
anandamide	3	0.04 uM	0.172	0.0540449067303643	L1000	non_spherized	all_data
andrographolide	3	0.04 uM	0.17	0.0547520478659819	L1000	non_spherized	all_data
anecortave-acetate	2	0.04 uM	0.588	-0.0064410258690572	L1000	non_spherized	all_data
anidulafungin	3	0.04 uM	0.239	0.0408836655856502	L1000	non_spherized	all_data
aniracetam	3	0.04 uM	0.476	0.0047496275831033	L1000	non_spherized	all_data
anisodamine	2	0.04 uM	0.253	0.0626078699276103	L1000	non_spherized	all_data
ap26113	2	0.04 uM	0.624	-0.0141460617703598	L1000	non_spherized	all_data
apafant	3	0.04 uM	0.419	0.0120527473895732	L1000	non_spherized	all_data
apd668	3	0.04 uM	0.362	0.0204465534976328	L1000	non_spherized	all_data
aphidicolin	3	0.04 uM	0.366	0.0199457031087727	L1000	non_spherized	all_data
