cpd,dose_1,dose_2,dose_3,dose_4,dose_5,dose_6,no_of_replicates
17-hydroxyprogesterone-caproate,0.095,0.118,0.319,0.01,0.215,0.002,3
2-iminobiotin,0.171,0.016,0.475,0.491,0.288,0.082,2
3-amino-benzamide,0.424,0.516,0.166,0.353,0.579,0.355,3
3-deazaadenosine,0.23,0.525,0.328,0.014,0.23,0.278,2
abacavir,0.166,0.181,0.008,0.084,0.207,0.091,3
abiraterone-acetate,0.475,0.023,0.434,0.024,0.323,0.153,3
abt-202,0.704,0.123,0.588,0.181,0.843,0.146,3
abt-239,0.05,0.076,0.063,0.275,0.272,0.002,3
abt-724,0.248,0.032,0.133,0.268,0.22,0.004,3
acarbose,0.482,0.296,0.09,0.009,0.228,0.085,3
acebutolol,0.428,0.373,0.544,0.18,0.284,0.367,2
acecainide,0.498,0.479,0.245,0.098,0.265,0.402,3
acenocoumarol,0.04,0.089,0.005,0.011,0.008,0.182,3
acetazolamide,0.628,0.502,0.535,0.505,0.331,0.683,3
acetylcysteine,0.521,0.344,0.14,0.299,0.259,0.684,3
acexamic-acid,0.055,0.036,0.14,0.31,0.083,0.122,3
acifran,0.383,0.384,0.554,0.329,0.389,0.183,2
acipimox,0.556,0.127,0.478,0.323,0.016,0.745,3
acivicin,0.078,0.101,0.02,0.057,0.0,0.0,3
actarit,0.187,0.226,0.254,0.159,0.054,0.068,3
acy-1215,0.019,0.182,0.093,0.073,0.052,0.001,2
adapalene,0.362,0.514,0.274,0.126,0.02,0.004,3
adatanserin,0.424,0.236,0.013,0.009,0.133,0.019,3
adenosine,0.383,0.283,0.118,0.101,0.354,0.294,3
adoprazine,0.42,0.204,0.053,0.166,0.163,0.33,3
afatinib,0.544,0.115,0.257,0.216,0.077,0.007,2
afloqualone,0.186,0.246,0.195,0.004,0.518,0.023,3
agi-5198,0.021,0.523,0.205,0.265,0.1,0.745,3
agi-6780,0.508,0.51,0.503,0.336,0.375,0.183,2
agomelatine,0.248,0.242,0.148,0.108,0.131,0.105,3
agp-103,0.064,0.093,0.031,0.041,0.027,0.005,3
alaproclate,0.061,0.295,0.484,0.266,0.274,0.468,3
alisertib,0.053,0.242,0.155,0.065,0.034,0.017,2
aliskiren,0.161,0.763,0.805,0.165,0.375,0.903,3
alizapride,0.021,0.187,0.085,0.07,0.093,0.155,3
allopurinol,0.1,0.118,0.043,0.4,0.036,0.115,3
almitrine,0.327,0.076,0.14,0.029,0.28,0.169,3
almorexant,0.042,0.118,0.236,0.296,0.116,0.114,3
altanserin,0.084,0.393,0.217,0.109,0.007,0.004,3
altrenogest,0.021,0.03,0.157,0.065,0.025,0.037,3
altretamine,0.27,0.264,0.048,0.193,0.206,0.028,3
alvocidib,0.001,0.0,0.0,0.0,0.0,0.0,3
am-24,0.55,0.593,0.505,0.196,0.032,0.091,3
amantadine,0.075,0.071,0.307,0.126,0.028,0.136,3
ambrisentan,0.26,0.472,0.264,0.423,0.234,0.226,3
ambroxol,0.457,0.067,0.642,0.336,0.012,0.245,2
amd11070,0.3,0.11,0.335,0.504,0.255,0.073,3
amg-208,0.624,0.305,0.127,0.088,0.444,0.233,3
amg-232,0.638,0.777,0.092,0.0,0.0,0.0,3
amiloride,0.467,0.255,0.06,0.066,0.035,0.024,3
aminocaproic-acid,0.359,0.069,0.388,0.026,0.447,0.191,3
aminoglutethimide,0.556,0.052,0.609,0.209,0.058,0.0,3
aminolevulinic-acid,0.527,0.05,0.41,0.202,0.186,0.575,3
aminosalicylic-acid,0.133,0.295,0.257,0.07,0.633,0.15,3
amiodarone,0.086,0.295,0.281,0.351,0.131,0.011,3
amiprilose,0.128,0.041,0.024,0.01,0.016,0.011,3
amitifadine,0.756,0.487,0.307,0.299,0.885,0.586,3
amlexanox,0.199,0.427,0.376,0.136,0.458,0.226,3
amlodipine,0.018,0.255,0.501,0.007,0.206,0.036,3
ammonium-glycyrrhizinate,0.282,0.471,0.695,0.141,0.026,0.948,3
amonafide,0.222,0.471,0.094,0.24,0.0,0.0,3
amoxapine,0.135,0.13,0.027,0.319,0.126,0.035,4
amrinone,0.509,0.469,0.051,0.103,0.145,0.028,3
amsacrine,0.001,0.001,0.0,0.0,0.0,0.0,3
amtolmetin-guacil,0.327,0.083,0.101,0.088,0.085,0.753,3
amuvatinib,0.544,0.391,0.344,0.332,0.042,0.006,2
anamorelin,0.11,0.143,0.438,0.166,0.027,0.186,4
anandamide,0.172,0.348,0.145,0.214,0.479,0.486,3
andrographolide,0.17,0.293,0.394,0.012,0.027,0.114,3
anecortave-acetate,0.588,0.444,0.423,0.372,0.233,0.294,2
anidulafungin,0.239,0.017,0.077,0.44,0.135,0.627,3
aniracetam,0.476,0.066,0.589,0.19,0.042,0.39,3
anisodamine,0.253,0.239,0.032,0.195,0.203,0.74,2
ap26113,0.624,0.281,0.005,0.232,0.025,0.001,2
apafant,0.419,0.469,0.321,0.028,0.317,0.083,3
apd668,0.362,0.153,0.319,0.487,0.028,0.402,3
aphidicolin,0.366,0.295,0.016,0.001,0.0,0.0,3
api-001,0.078,0.072,0.407,0.267,0.403,0.189,3
apremilast,0.005,0.098,0.047,0.089,0.096,0.01,3
aprepitant,0.423,0.396,0.072,0.242,0.198,0.029,3
arbutin,0.206,0.067,0.117,0.01,0.189,0.223,3
argatroban,0.178,0.659,0.551,0.056,0.245,0.031,3
arglabin,0.328,0.306,0.201,0.481,0.445,0.49,2
aripiprazole,0.412,0.027,0.603,0.056,0.022,0.005,3
arofylline,0.103,0.234,0.153,0.407,0.546,0.522,3
arry-334543,0.215,0.013,0.058,0.226,0.122,0.061,3
artesunate,0.001,0.111,0.013,0.018,0.0,0.0,3
asa-404,0.101,0.348,0.609,0.32,0.022,0.127,3
asenapine,0.199,0.439,0.17,0.152,0.172,0.976,3
aspirin,0.378,0.194,0.309,0.182,0.606,0.118,3
at13387,0.215,0.032,0.005,0.0,0.0,0.0,3
ataluren,0.787,0.784,0.226,0.293,0.019,0.082,2
atenolol,0.412,0.73,0.379,0.275,0.066,0.329,2
atipamezole,0.633,0.139,0.387,0.548,0.391,0.435,3
atn-161,0.077,0.021,0.179,0.21,0.116,0.142,3
atomoxetine,0.281,0.386,0.118,0.352,0.342,0.317,3
atorvastatin,0.22,0.191,0.387,0.762,0.636,0.072,3
atracurium,0.499,0.728,0.488,0.651,0.103,0.398,3
atrasentan,0.33,0.652,0.277,0.295,0.15,0.834,3
av-608,0.004,0.013,0.236,0.109,0.027,0.066,3
avagacestat,0.245,0.251,0.358,0.331,0.135,0.33,3
avanafil,0.474,0.371,0.653,0.262,0.517,0.319,2
avasimibe,0.069,0.441,0.394,0.018,0.0,0.0,3
azacitidine,0.33,0.019,0.128,0.001,0.0,0.0,2
azathioprine,0.231,0.302,0.168,0.749,0.027,0.112,3
azd1208,0.389,0.202,0.024,0.23,0.149,0.043,3
azd1480,0.024,0.296,0.025,0.152,0.442,0.33,3
azd1981,0.09,0.273,0.207,0.056,0.116,0.514,3
azd2014,0.137,0.075,0.0,0.003,0.0,0.0,3
azd3514,0.334,0.11,0.134,0.054,0.058,0.04,2
azd4547,0.381,0.323,0.08,0.015,0.036,0.0,2
azd5363,0.021,0.117,0.101,0.074,0.06,0.0,3
azd7545,0.093,0.023,0.719,0.44,0.248,0.002,3
azd7687,0.199,0.229,0.388,0.248,0.06,0.043,3
azd8931,0.138,0.087,0.198,0.006,0.014,0.013,3
azd9668,0.021,0.731,0.307,0.616,0.137,0.174,3
azelaic-acid,0.317,0.061,0.089,0.265,0.027,0.062,3
azelastine,0.616,0.677,0.363,0.069,0.256,0.023,3
balaglitazone,0.042,0.057,0.161,0.758,0.104,0.005,4
balapiravir,0.432,0.127,0.535,0.459,0.199,0.441,2
balsalazide,0.273,0.066,0.454,0.019,0.256,0.398,3
bambuterol,0.282,0.412,0.365,0.267,0.435,0.158,3
bardoxolone-methyl,0.499,0.272,0.106,0.0,0.0,0.0,2
basimglurant,0.071,0.533,0.217,0.347,0.508,0.029,3
bavisant,0.591,0.221,0.104,0.442,0.346,0.247,2
bay-87-2243,0.0,0.006,0.0,0.0,0.0,0.0,3
bazedoxifene,0.001,0.086,0.326,0.324,0.0,0.009,3
bci-540,0.019,0.419,0.108,0.101,0.024,0.402,3
beclomethasone-dipropionate,0.0,0.002,0.0,0.001,0.0,0.0,3
belinostat,0.42,0.089,0.0,0.0,0.0,0.0,3
bemegride,0.015,0.156,0.5,0.168,0.118,0.342,3
benazepril,0.176,0.4,0.085,0.052,0.024,0.009,3
bendamustine,0.405,0.778,0.628,0.445,0.197,0.493,3
bendroflumethiazide,0.059,0.242,0.399,0.124,0.455,0.239,2
benzthiazide,0.131,0.302,0.133,0.025,0.022,0.309,3
benzydamine,0.126,0.18,0.383,0.336,0.617,0.701,2
benzylpenicillin,0.813,0.245,0.289,0.614,0.768,0.385,2
bepotastine,0.407,0.136,0.115,0.106,0.035,0.193,3
berberine,0.529,0.248,0.263,0.043,0.013,0.0,3
betahistine,0.014,0.295,0.085,0.142,0.15,0.076,3
betulinic-acid,0.354,0.91,0.804,0.088,0.054,0.151,3
bevirimat-dimeglumine,0.433,0.34,0.361,0.385,0.103,0.008,3
bezafibrate,0.101,0.067,0.231,0.257,0.389,0.006,2
bicalutamide,0.598,0.221,0.315,0.304,0.353,0.051,3
bifonazole,0.231,0.396,0.208,0.019,0.159,0.006,2
bimatoprost,0.321,0.468,0.378,0.518,0.272,0.234,3
bindarit,0.063,0.356,0.14,0.37,0.125,0.054,3
biperiden,0.596,0.168,0.14,0.036,0.331,0.016,3
birinapant,0.337,0.471,0.092,0.041,0.018,0.007,3
bisindolylmaleimide,0.062,0.071,0.028,0.426,0.042,0.0,2
bisoprolol,0.019,0.007,0.056,0.007,0.013,0.311,3
bitopertin,0.273,0.475,0.216,0.288,0.007,0.077,3
blonanserin,0.407,0.308,0.027,0.241,0.492,0.338,3
bms-599626,0.626,0.652,0.124,0.263,0.034,0.008,3
bms-707035,0.406,0.05,0.368,0.571,0.64,0.737,3
bopindolol,0.72,0.089,0.553,0.237,0.142,0.282,3
bortezomib,0.0,0.0,0.0,0.0,0.0,0.0,2
bosentan,0.016,0.053,0.596,0.066,0.269,0.002,2
bosutinib,0.465,0.038,0.27,0.376,0.01,0.0,3
brequinar,0.249,0.32,0.001,0.082,0.019,0.009,2
bretazenil,0.089,0.025,0.14,0.196,0.086,0.149,3
brexpiprazole,0.269,0.168,0.247,0.415,0.078,0.208,3
brivanib,0.628,0.275,0.418,0.397,0.143,0.004,3
brivudine,0.507,0.448,0.119,0.798,0.093,0.009,3
bromocriptine,0.061,0.037,0.181,0.129,0.303,0.319,3
broxuridine,0.257,0.014,0.462,0.024,0.031,0.019,3
bruceantin,0.0,0.0,0.0,0.0,0.0,0.0,2
bts-54505,0.061,0.456,0.322,0.215,0.259,0.48,3
bumetanide,0.519,0.429,0.475,0.455,0.196,0.394,2
bupivacaine,0.072,0.138,0.052,0.327,0.363,0.046,3
bupropion,0.076,0.288,0.532,0.527,0.618,0.132,3
buspirone,0.239,0.245,0.212,0.06,0.288,0.071,2
butoconazole,0.424,0.426,0.58,0.057,0.072,0.242,3
butorphanol-(+)-tartrate,0.417,0.235,0.421,0.262,0.259,0.142,3
bvd-523,0.568,0.872,0.009,0.05,0.0,0.0,3
cabazitaxel,0.0,0.001,0.0,0.004,0.0,0.0,3
cabozantinib,0.487,0.591,0.995,0.058,0.439,0.007,3
caffeine,0.114,0.04,0.383,0.012,0.033,0.051,4
calcitriol,0.332,0.02,0.105,0.213,0.026,0.008,3
camicinal,0.237,0.421,0.217,0.106,0.036,0.009,3
camptothecin,0.0,0.0,0.0,0.0,0.0,0.0,3
canagliflozin,0.27,0.028,0.236,0.074,0.108,0.116,3
candesartan,0.17,0.319,0.478,0.331,0.3,0.012,3
canertinib,0.486,0.429,0.443,0.245,0.261,0.077,3
canrenoic-acid,0.117,0.364,0.101,0.259,0.037,0.298,3
capecitabine,0.303,0.016,0.109,0.084,0.035,0.009,2
carbachol,0.404,0.432,0.02,0.072,0.205,0.444,2
carbamazepine,0.529,0.693,0.448,0.01,0.349,0.114,3
carbenoxolone,0.063,0.362,0.085,0.0,0.4,0.112,3
carbimazole,0.032,0.295,0.215,0.166,0.061,0.098,3
carglumic-acid,0.194,0.41,0.45,0.024,0.424,0.083,3
cariprazine,0.145,0.265,0.26,0.389,0.149,0.159,2
carisoprodol,0.121,0.391,0.239,0.102,0.207,0.118,3
carprofen,0.328,0.392,0.484,0.206,0.127,0.202,2
carvedilol,0.166,0.234,0.33,0.286,0.194,0.039,2
cb-10-277-(free-acid),0.399,0.42,0.313,0.573,0.215,0.276,3
cc-401,0.013,0.004,0.125,0.028,0.013,0.001,3
cc-930,0.023,0.159,0.076,0.139,0.329,0.037,3
cediranib,0.143,0.094,0.548,0.279,0.027,0.004,3
cefdinir,0.301,0.505,0.68,0.251,0.435,0.289,2
cefoperazone,0.609,0.156,0.093,0.201,0.093,0.135,4
cefotetan,0.107,0.298,0.412,0.032,0.333,0.041,2
cefozopran,0.295,0.54,0.241,0.351,0.53,0.521,3
celecoxib,0.311,0.061,0.217,0.181,0.011,0.417,3
cep-37440,0.43,0.263,0.746,0.04,0.0,0.0,3
cepharanthine,0.316,0.463,0.319,0.161,0.013,0.014,2
cgp12177,0.631,0.514,0.434,0.304,0.395,0.624,3
chlorambucil,0.099,0.008,0.004,0.555,0.285,0.113,3
chlormezanone,0.19,0.102,0.004,0.099,0.028,0.15,3
chloroxine,0.019,0.469,0.164,0.717,0.027,0.004,3
chlorphenamine,0.764,0.306,0.08,0.275,0.172,0.115,3
chlorpromazine,0.021,0.158,0.12,0.051,0.026,0.0,3
chlortalidone,0.608,0.007,0.107,0.413,0.066,0.08,3
cholic-acid,0.409,0.527,0.341,0.416,0.293,0.637,2
choline-alfoscerate,0.021,0.158,0.5,0.355,0.129,0.262,3
cianidanol,0.471,0.182,0.521,0.412,0.47,0.464,3
ciclesonide,0.073,0.02,0.009,0.005,0.0,0.0,3
ciglitazone,0.032,0.048,0.194,0.178,0.187,0.211,3
cilengitide,0.175,0.708,0.013,0.365,0.06,0.112,3
cilomilast,0.346,0.232,0.157,0.551,0.037,0.657,3
cilostazol,0.103,0.496,0.112,0.006,0.049,0.263,3
cimetidine,0.422,0.212,0.482,0.474,0.141,0.318,3
cinepazide,0.556,0.043,0.575,0.333,0.477,0.167,2
cinnarizine,0.565,0.229,0.276,0.663,0.108,0.186,3
cinoxacin,0.08,0.127,0.335,0.478,0.225,0.028,3
ciprofloxacin,0.485,0.242,0.248,0.137,0.169,0.112,3
cisapride,0.396,0.181,0.431,0.213,0.069,0.081,3
citalopram,0.45,0.445,0.15,0.227,0.3,0.343,3
cladribine,0.078,0.306,0.046,0.059,0.009,0.005,2
clarithromycin,0.007,0.028,0.361,0.552,0.352,0.455,3
clenbuterol,0.205,0.328,0.599,0.028,0.375,0.202,2
clinafloxacin,0.299,0.069,0.133,0.305,0.038,0.538,3
clindamycin,0.503,0.139,0.186,0.959,0.906,0.346,3
clinofibrate,0.489,0.007,0.408,0.01,0.032,0.065,3
clioquinol,0.439,0.538,0.089,0.552,0.018,0.086,3
clobetasol,0.0,0.001,0.0,0.0,0.0,0.0,3
clofarabine,0.056,0.633,0.194,0.0,0.0,0.0,3
clofazimine,0.182,0.652,0.536,0.118,0.719,0.106,3
clofoctol,0.053,0.462,0.095,0.166,0.042,0.368,4
clomethiazole,0.015,0.198,0.027,0.088,0.046,0.105,3
clomifene,0.227,0.037,0.194,0.268,0.044,0.0,3
clonazepam,0.357,0.659,0.235,0.19,0.098,0.2,3
