cpd,dose_1,dose_2,dose_3,dose_4,dose_5,dose_6,no_of_replicates
17-hydroxyprogesterone-caproate,0.08,0.104,0.287,0.002,0.228,0.001,3
2-iminobiotin,0.147,0.028,0.414,0.454,0.266,0.076,2
3-amino-benzamide,0.35,0.443,0.133,0.335,0.557,0.295,3
3-deazaadenosine,0.198,0.473,0.269,0.025,0.216,0.252,2
abacavir,0.124,0.154,0.002,0.086,0.224,0.068,3
abiraterone-acetate,0.386,0.015,0.375,0.033,0.319,0.125,3
abt-202,0.66,0.107,0.55,0.172,0.814,0.12,3
abt-239,0.044,0.067,0.048,0.266,0.273,0.001,3
abt-724,0.191,0.025,0.111,0.262,0.23,0.001,3
acarbose,0.395,0.256,0.067,0.002,0.246,0.064,3
acebutolol,0.361,0.342,0.493,0.184,0.26,0.32,2
acecainide,0.416,0.396,0.209,0.096,0.27,0.328,3
acenocoumarol,0.037,0.076,0.001,0.007,0.001,0.143,3
acetazolamide,0.575,0.421,0.489,0.487,0.327,0.605,3
acetylcysteine,0.45,0.295,0.119,0.289,0.269,0.608,3
acexamic-acid,0.044,0.028,0.116,0.306,0.082,0.101,3
acifran,0.32,0.35,0.503,0.304,0.355,0.179,2
acipimox,0.492,0.111,0.422,0.315,0.006,0.671,3
acivicin,0.068,0.083,0.01,0.064,0.0,0.0,3
aclidinium,0.128,0.235,0.274,0.092,0.641,0.473,2
acrivastine,0.075,0.076,0.152,0.042,0.179,0.141,3
actarit,0.137,0.191,0.221,0.148,0.066,0.048,3
acy-1215,0.03,0.185,0.079,0.077,0.058,0.0,2
adapalene,0.298,0.436,0.237,0.123,0.013,0.001,3
adarotene,0.4,0.221,0.065,0.001,0.001,0.001,3
adatanserin,0.35,0.202,0.002,0.002,0.13,0.01,3
adenosine,0.314,0.239,0.098,0.099,0.341,0.24,3
adoprazine,0.344,0.172,0.038,0.155,0.168,0.273,3
afatinib,0.461,0.104,0.209,0.206,0.076,0.009,2
afloqualone,0.135,0.209,0.169,0.001,0.496,0.015,3
agi-5198,0.016,0.45,0.174,0.256,0.104,0.671,3
agi-6780,0.425,0.461,0.451,0.323,0.342,0.178,2
agomelatine,0.191,0.206,0.122,0.111,0.128,0.08,3
agp-103,0.056,0.08,0.022,0.051,0.028,0.001,3
alaproclate,0.048,0.252,0.428,0.257,0.275,0.368,3
albendazole,0.024,0.002,0.048,0.001,0.001,0.001,3
alectinib,0.105,0.002,0.14,0.143,0.046,0.019,3
alisertib,0.068,0.219,0.122,0.069,0.035,0.024,2
aliskiren,0.123,0.704,0.813,0.154,0.351,0.861,3
alizapride,0.016,0.159,0.061,0.079,0.09,0.126,3
allopurinol,0.081,0.104,0.029,0.37,0.044,0.089,3
almitrine,0.264,0.067,0.117,0.044,0.278,0.134,3
almorexant,0.039,0.104,0.203,0.276,0.119,0.086,3
altanserin,0.068,0.331,0.189,0.116,0.001,0.001,3
altrenogest,0.019,0.022,0.127,0.069,0.022,0.025,3
altretamine,0.21,0.225,0.033,0.182,0.221,0.02,3
alvespimycin,0.006,0.0,0.0,0.0,0.0,0.0,3
alvimopan,0.001,0.023,0.029,0.11,0.139,0.048,3
alvocidib,0.001,0.0,0.0,0.0,0.0,0.0,3
am-24,0.482,0.513,0.455,0.186,0.042,0.068,3
amantadine,0.062,0.064,0.27,0.123,0.032,0.115,3
