cpd,dose,replicate_correlation,signature_strength,MAS
10-DEBC,0.04 uM,0.0182446038461897,321.0,0.08550735587303655
17-hydroxyprogesterone-caproate,0.04 uM,0.0606548469649845,338.6,0.16012530666835628
2-iminobiotin,0.04 uM,0.0427000966684412,334.2,0.1334754500405857
2-methoxyestradiol,0.04 uM,0.1128242829256447,332.0,0.21624898354798258
3-amino-benzamide,0.04 uM,0.1042727567784658,368.8,0.21911122452759071
3-deazaadenosine,0.04 uM,0.0102174806429618,301.2,0.06198450502743204
ABT-737,0.04 uM,0.0044695961407343,266.6,0.03856985055952998
AEE788,0.04 uM,0.5568429698226345,754.6,0.724283368777263
AICA-ribonucleotide,0.04 uM,0.0353207337461589,207.0,0.09553967798371561
AKT-inhibitor-1-2,0.04 uM,-0.0350191001896009,296.4,0.0
ALX-5407,0.04 uM,0.0022472026861684,289.4,0.02849404645478086
AMG-487,0.04 uM,0.0372016003997496,290.0,0.11605491895926226
AMG-837,0.04 uM,0.0243277690604948,297.6,0.09507171924790844
AS-605240,0.04 uM,0.06036467819216,322.0,0.15577692354760686
AS-703026,0.04 uM,0.4092742044700981,554.0,0.5320418695055017
AT-7519,0.04 uM,0.1436240741778512,393.0,0.26545666762559533
AT-9283,0.04 uM,0.6380282673466148,715.4,0.7548804358864423
AV-412,0.04 uM,0.0530909267094436,317.8,0.1451345602694125
AZ-628,0.04 uM,0.0147614694537065,301.6,0.07455284250878484
AZD-5438,0.04 uM,0.0802105340581131,293.4,0.171407373692376
AZD-8330,0.04 uM,0.5299696101506534,567.4,0.6127084799458906
BAY-K8644,0.04 uM,0.0375341725274827,295.0,0.11757315514604301
BI-2536,0.04 uM,0.7056529089261865,722.6,0.7978629320970864
BIBX-1382,0.04 uM,0.0748795380462701,277.4,0.16103435886984918
BIIB021,0.04 uM,0.6997020440471855,685.0,0.7735450279896402
BMS-299897,0.04 uM,0.0187611028608254,301.0,0.08396459007166758
BMS-777607,0.04 uM,0.0154715505244379,201.5,0.06238615029521356
BMY-14802,0.04 uM,0.5857750053704689,648.8,0.6888181482102663
CEP-32496,0.04 uM,0.0702171303949863,320.4,0.16759132482916445
CGS-20625,0.04 uM,0.0545019473787441,266.0,0.1345335400993664
CI-966,0.04 uM,0.0796181596570371,317.2,0.17756460463164586
CI-976,0.04 uM,0.062021654664836,363.2,0.167698174917014
CL-218872,0.04 uM,0.0052200374531835,304.25,0.04452827231231805
CNQX,0.04 uM,0.0025141733680779,358.2,0.033530817629357966
CP-724714,0.04 uM,0.0152405386346866,272.8,0.07204537115628472
