cpd,dose_1,dose_2,dose_3,dose_4,dose_5,dose_6,no_of_replicates
10-DEBC,0.014,0.024,0.02,0.166,0.0,0.0,5
17-hydroxyprogesterone-caproate,0.0,0.02,0.002,0.001,0.0,0.0,5
2-iminobiotin,0.013,0.685,0.126,0.457,0.492,0.382,5
2-methoxyestradiol,0.0,0.0,0.001,0.0,0.0,0.0,5
3-amino-benzamide,0.0,0.0,0.003,0.004,0.0,0.151,5
3-deazaadenosine,0.594,0.016,0.21,0.226,0.01,0.001,5
ABT-737,0.809,0.0,0.001,0.0,0.0,0.0,5
AEE788,0.0,0.017,0.002,0.0,0.0,0.0,5
AICA-ribonucleotide,0.374,0.006,0.998,0.256,0.564,0.617,2
AKT-inhibitor-1-2,0.968,0.544,0.023,0.167,0.012,0.001,5
ALX-5407,0.862,0.276,0.006,0.031,0.0,0.006,5
AMG-487,0.169,0.29,0.086,0.001,0.0,0.0,5
AMG-837,0.019,0.557,0.048,0.002,0.042,0.0,5
AS-605240,0.0,0.0,0.002,0.001,0.0,0.0,5
AS-703026,0.0,0.0,0.0,0.0,0.0,0.0,5
AT-7519,0.0,0.0,0.001,0.0,0.0,0.0,5
AT-9283,0.0,0.0,0.0,0.0,0.0,0.0,5
AV-412,0.001,0.0,0.001,0.0,0.0,0.0,5
AZ-628,0.158,0.0,0.001,0.0,0.0,0.0,5
AZD-5438,0.0,0.0,0.0,0.0,0.0,0.0,5
AZD-8330,0.0,0.0,0.0,0.0,0.0,0.0,5
BAY-K8644,0.05,0.003,0.757,0.002,0.911,0.311,5
BI-2536,0.0,0.0,0.0,0.0,0.0,0.0,5
BIBX-1382,0.0,0.0,0.001,0.0,0.186,0.004,5
BIIB021,0.0,0.0,0.0,0.0,0.0,0.0,5
BMS-299897,0.241,0.055,0.001,0.025,0.0,0.0,4
BMS-777607,0.471,0.062,0.083,0.11,0.01,0.0,2
BMY-14802,0.0,0.0,0.002,0.0,0.0,0.0,5
CEP-32496,0.0,0.003,0.001,0.0,0.0,0.0,5
CGS-20625,0.021,0.093,0.028,0.074,0.009,0.006,5
CI-966,0.008,0.113,0.329,0.003,0.0,0.0,5
CI-976,0.008,0.044,0.004,0.016,0.01,0.003,5
CL-218872,0.253,0.006,0.007,0.026,0.029,0.003,4
CNQX,0.12,0.179,0.035,0.016,0.416,0.023,5
CP-724714,0.081,0.151,0.004,0.001,0.0,0.0,5
CYT-997,0.0,0.0,0.0,0.0,0.0,0.0,5
CYT387,0.009,0.004,0.005,0.0,0.0,0.0,5
D-4476,0.003,0.002,0.005,0.0,0.0,0.0,5
DMP-543,0.003,0.446,0.476,0.22,0.014,0.007,5
ENMD-2076,0.0,0.001,0.002,0.0,0.0,0.0,5
EX-527,0.365,0.379,0.186,0.209,0.0,0.0,5
FK-866,0.0,0.0,0.0,0.0,0.0,0.0,5
FK-888,0.0,0.0,0.002,0.0,0.0,0.0,5
FPL-55712,0.197,0.009,0.082,0.0,0.009,0.009,5
GDC-0941,0.062,0.001,0.001,0.0,0.0,0.0,5
GDC-0980,0.0,0.0,0.0,0.0,0.0,0.0,5
GSK-461364,0.0,0.0,0.0,0.0,0.0,0.0,5
GSK1070916,0.0,0.0,0.0,0.0,0.0,0.0,5
GSK923295,0.098,0.627,0.005,0.0,0.0,0.0,5
IKK-2-inhibitor-V,0.001,0.0,0.0,0.0,0.0,0.0,5
JNJ-26854165,0.0,0.0,0.0,0.0,0.0,0.0,5
JNJ-38877605,0.437,0.235,0.239,0.401,0.0,0.001,4
JTC-801,0.0,0.0,0.002,0.001,0.0,0.0,5
JTE-907,0.087,0.006,0.001,0.0,0.0,0.0,5
L-655240,0.0,0.0,0.0,0.0,0.0,0.0,5
L-690330,0.152,0.004,0.002,0.001,0.002,0.185,5
LCQ908,0.0,0.002,0.002,0.001,0.0,0.0,5
LXR-623,0.249,0.006,0.005,0.002,0.001,0.0,5
LY2801653,0.001,0.0,0.001,0.0,0.0,0.0,5
MDL-73005EF,0.092,0.008,0.186,0.001,0.027,0.015,5
MK-1775,0.0,0.0,0.0,0.0,0.0,0.0,5
MK-2206,0.0,0.0,0.001,0.0,0.0,0.0,5
MK-5108,0.0,0.0,0.0,0.0,0.0,0.0,5
MLN-2238,0.0,0.0,0.0,0.0,0.0,0.0,5
MLN-4924,0.0,0.0,0.0,0.0,0.0,0.0,5
MLN-8054,0.0,0.0,0.0,0.0,0.0,0.0,5
NF-449,0.007,0.046,0.051,0.036,0.153,0.016,5
NVP-BEZ235,0.0,0.0,0.0,0.0,0.0,0.0,5
OCO-1112,0.009,0.0,0.001,0.015,0.0,0.0,5
PCA-4248,0.044,0.212,0.311,0.371,0.01,0.0,5
