cpd,dose_1,dose_2,dose_3,dose_4,dose_5,dose_6,no_of_replicates
17-hydroxyprogesterone-caproate,0.005,0.011,0.001,0.0,0.0,0.0,5
2-iminobiotin,0.005,0.335,0.037,0.239,0.269,0.015,5
3-amino-benzamide,0.0,0.002,0.001,0.002,0.001,0.171,5
3-deazaadenosine,0.22,0.002,0.35,0.213,0.005,0.0,5
abacavir,0.22,0.021,0.327,0.031,0.001,0.001,5
abiraterone-acetate,0.0,0.0,0.0,0.0,0.0,0.0,5
abt-202,0.111,0.669,0.168,0.015,0.219,0.218,5
abt-239,0.001,0.01,0.001,0.004,0.0,0.0,5
abt-724,0.302,0.001,0.001,0.142,0.039,0.0,5
acarbose,0.011,0.131,0.189,0.631,0.244,0.026,4
acebutolol,0.001,0.019,0.421,0.044,0.002,0.164,5
acecainide,0.006,0.0,0.11,0.163,0.001,0.001,5
acenocoumarol,0.005,0.034,0.006,0.041,0.077,0.009,5
acetazolamide,0.03,0.019,0.007,0.006,0.933,0.73,2
acetylcysteine,0.007,0.001,0.009,0.01,0.114,0.006,5
acexamic-acid,0.005,0.0,0.0,0.0,0.0,0.0,5
acifran,0.082,0.015,0.01,0.006,0.043,0.004,5
acipimox,0.32,0.043,0.002,0.001,0.004,0.001,5
acivicin,0.0,0.0,0.0,0.0,0.0,0.0,5
aclidinium,0.001,0.011,0.009,0.047,0.042,0.002,5
acrivastine,0.001,0.007,0.0,0.018,0.061,0.018,5
actarit,0.03,0.004,0.584,0.005,0.514,0.518,5
acy-1215,0.001,0.011,0.0,0.0,0.0,0.0,5
adapalene,0.0,0.0,0.0,0.0,0.0,0.0,5
adarotene,0.008,0.0,0.0,0.0,0.0,0.0,4
adatanserin,0.001,0.061,0.006,0.001,0.01,0.008,5
adenosine,0.345,0.163,0.132,0.036,0.03,0.143,4
adoprazine,0.0,0.204,0.0,0.0,0.001,0.0,5
afatinib,0.0,0.0,0.0,0.0,0.0,0.0,5
afloqualone,0.041,0.01,0.014,0.005,0.001,0.0,5
agi-5198,0.001,0.002,0.002,0.218,0.01,0.0,5
agi-6780,0.398,0.432,0.802,0.025,0.01,0.0,5
agomelatine,0.037,0.012,0.01,0.001,0.001,0.001,5
agp-103,0.362,0.065,0.521,0.348,0.002,0.01,5
alaproclate,0.018,0.001,0.005,0.001,0.002,0.0,5
albendazole,0.006,0.0,0.0,0.0,0.0,0.0,5
alectinib,0.001,0.0,0.0,0.0,0.0,0.0,5
alisertib,0.0,0.0,0.0,0.0,0.0,0.0,5
