cpd,dose,replicate_correlation,signature_strength,MAS
10-DEBC,0.04 uM,0.0604045035335179,257.2,0.14440825009812897
"16,16-dimethylprostaglandin-e2",0.04 uM,0.3638945334513758,515.6,0.5018409350487896
17-hydroxyprogesterone-caproate,0.04 uM,0.5111331995310089,247.8,0.4123248977042548
2-iminobiotin,0.04 uM,0.1238004626822545,287.2,0.21846165293204972
2-methoxyestradiol,0.04 uM,0.3061656561691511,241.8,0.31523051257131524
"3,3'-diindolylmethane",0.04 uM,0.1870887344222384,271.75,0.261234456084882
3-amino-benzamide,0.04 uM,0.4210042695678706,293.2,0.40704937918764417
3-deazaadenosine,0.04 uM,0.0779820435795266,256.6,0.16388812841153855
ABT-737,0.04 uM,0.2658779444306688,272.0,0.3115641442034218
AEE788,0.04 uM,0.8292770133241572,649.8,0.8504749587024393
AICA-ribonucleotide,0.04 uM,0.2064470471329081,257.5,0.2671251739780129
AKT-inhibitor-1-2,0.04 uM,0.4036204088356624,317.4,0.41467884842950187
ALX-5407,0.04 uM,0.1359928912452183,269.8,0.22192229747834483
AMG-487,0.04 uM,0.0931018610733695,273.6,0.18490944342574464
AMG-837,0.04 uM,0.1569240886696127,177.2,0.19319617776679351
AS-605240,0.04 uM,0.4451653273179645,322.0,0.43864225443714083
AS-703026,0.04 uM,0.7297590066115818,553.4,0.7362599430249845
AT-7519,0.04 uM,0.6348815941360304,452.2,0.6207739884931406
AT-9283,0.04 uM,0.9103142519387624,658.8,0.8972104637961547
AV-412,0.04 uM,0.2766510016251086,234.8,0.29528204053955265
AZ-628,0.04 uM,0.1474696657170113,246.6,0.220937658812686
AZD-5438,0.04 uM,0.4239693897314973,370.2,0.4589943312053626
AZD-8330,0.04 uM,0.8414612523702296,557.0,0.7931704435007935
BAY-K8644,0.04 uM,0.3544831331283294,283.8,0.3674733486785402
BI-2536,0.04 uM,0.9101750929525484,664.2,0.9008111905344302
BIBX-1382,0.04 uM,0.2379240507387174,271.8,0.29462239965231846
BIIB021,0.04 uM,0.9068033365970952,642.4,0.8842624526354744
BMS-299897,0.04 uM,0.1371888861715887,187.0,0.18556759188998612
BMS-777607,0.04 uM,0.2712262509439425,205.0,0.2731899097144872
BMY-14802,0.04 uM,0.8347632902933542,582.6,0.8079579802723548
CEP-32496,0.04 uM,0.5021553610658468,319.0,0.4636991042713155
CGS-20625,0.04 uM,0.3503548611216457,305.2,0.3788507942640901
CI-966,0.04 uM,0.4708503894282216,304.2,0.438473080397924
CI-976,0.04 uM,0.3261388231459,405.2,0.4211703909022769
CL-218872,0.04 uM,0.2653745938687676,233.25,0.28824538395086213
CNQX,0.04 uM,0.1090177420241232,282.0,0.20313979466262672
CP-724714,0.04 uM,0.310611794206028,290.0,0.3477201303056758
CYT-997,0.04 uM,0.838647941438815,607.8,0.8271648179062592
CYT387,0.04 uM,0.4556152662535062,297.8,0.42675964391943993
D-4476,0.04 uM,0.6508296315931732,384.0,0.5791901063012788
DMP-543,0.04 uM,-0.007782061157121,317.2,0.0
DMSO,0.04 uM,,,
ENMD-2076,0.04 uM,0.1368689330699684,319.8,0.24238935009878204
EX-527,0.04 uM,0.1779700338403985,223.6,0.23111663451008
FK-866,0.04 uM,0.8682736128615685,617.4,0.8482687688081009
FK-888,0.04 uM,0.462183828978552,468.2,0.538945613333311
FPL-55712,0.04 uM,0.3393167348522325,278.2,0.3559615310560962
GDC-0941,0.04 uM,0.2759706303481309,166.0,0.24797468110037332
GDC-0980,0.04 uM,0.5171001296403799,383.8,0.5161330531282741
GSK-461364,0.04 uM,0.9073129287439164,631.6,0.8770441861288171
GSK1070916,0.04 uM,0.940117875827696,657.6,0.9109487016876601
GSK923295,0.04 uM,0.199924684669449,216.6,0.24109283265773318
IKK-2-inhibitor-V,0.04 uM,0.2894980411411598,276.2,0.32760952154707973
JNJ-26854165,0.04 uM,0.8525709688175056,537.2,0.7840705389174758
JNJ-38877605,0.04 uM,0.4036634399352973,219.25,0.34466832457818847
JTC-801,0.04 uM,0.2109387772654321,299.6,0.2912533841580582
JTE-907,0.04 uM,0.1338349388749843,241.8,0.2084177793880887
L-655240,0.04 uM,0.6302731448041626,500.6,0.6507762389174553
L-690330,0.04 uM,0.4207093262978853,480.8,0.5210689118063349
LCQ908,0.04 uM,0.1938761075055265,236.4,0.2480320173484495
LXR-623,0.04 uM,0.1263442404390215,227.2,0.1962925204746465
LY2801653,0.04 uM,0.0871445943720392,236.8,0.1664305080903738
MDL-73005EF,0.04 uM,0.3996890882123843,409.8,0.46888785790189996
MG-132,0.04 uM,,,
MK-1775,0.04 uM,0.584858138170447,344.2,0.5198194977870243
MK-2206,0.04 uM,0.4118767357622557,465.8,0.5074639981518029
MK-5108,0.04 uM,0.5175770244065792,316.4,0.46884317224854916
MLN-2238,0.04 uM,0.3793745616494133,399.0,0.45075693251711185
MLN-4924,0.04 uM,0.5668812162530961,530.0,0.635046946015129
MLN-8054,0.04 uM,0.3793487655253731,306.4,0.39498952795051356
NF-449,0.04 uM,0.2139426118331472,267.6,0.27721298217309787
NVP-BEZ235,0.04 uM,0.4856470686054346,243.0,0.39800212078474556
OCO-1112,0.04 uM,0.2143475416146568,322.8,0.3047529232110049
PCA-4248,0.04 uM,0.4488572593379192,216.2,0.36091408832688937
PD-0325901,0.04 uM,0.8668943870953698,628.2,0.8549760026251307
PD-184352,0.04 uM,0.4620079562003423,454.8,0.5310761753269363
PF-04217903,0.04 uM,0.1512256444856447,294.4,0.24445756891966444
PF-562271,0.04 uM,0.7429689769002602,532.0,0.7283883982274845
PHA-793887,0.04 uM,0.474927297068888,332.0,0.4600494029888862
PI-103,0.04 uM,0.1874462353122874,249.6,0.2506008359358381
PK-11195,0.04 uM,0.1187123302826009,178.5,0.1686509876783757
PX-12,0.04 uM,0.3766483851100254,274.6,0.3725977130544956
