cpd,dose,replicate_correlation,signature_strength,MAS
10-DEBC,0.04 uM,-0.04477752248592,234.66666666666666,0.0
17-hydroxyprogesterone-caproate,0.04 uM,0.0967411760860022,210.33333333333334,0.15938354260674908
2-iminobiotin,0.04 uM,0.0495941326459133,237.0,0.1211359541882815
2-methoxyestradiol,0.04 uM,0.0371874620564693,231.66666666666666,0.10370836484751389
3-amino-benzamide,0.04 uM,0.0774695517759907,294.0,0.16862537511081332
3-deazaadenosine,0.04 uM,0.0086580365565487,214.0,0.04809504508963537
ABT-737,0.04 uM,0.0008578273417579,168.33333333333334,0.01342668332265702
AEE788,0.04 uM,0.5202140482128014,744.3333333333334,0.6952780424017573
AKT-inhibitor-1-2,0.04 uM,-0.045312748092316,215.66666666666666,0.0
ALX-5407,0.04 uM,0.0258500751865654,197.33333333333334,0.07980220166207919
AMG-487,0.04 uM,0.0417175460225839,198.66666666666666,0.10171982898022044
AMG-837,0.04 uM,0.0398692874555185,205.0,0.10101361404631676
AS-605240,0.04 uM,0.0555479746327066,233.33333333333334,0.12720560529584668
AS-703026,0.04 uM,0.4625727815293227,487.6666666666667,0.5306831703472459
AT-7519,0.04 uM,-0.0544178645147431,286.6666666666667,0.0
AT-9283,0.04 uM,0.5144832207869838,691.6666666666666,0.6665270400390375
AV-412,0.04 uM,0.0537338068685963,234.0,0.12528973067772872
AZ-628,0.04 uM,0.008809647230239,219.0,0.04907779682912554
AZD-5438,0.04 uM,0.0319544771031223,203.66666666666666,0.09013834447340402
AZD-8330,0.04 uM,0.5810498099320985,495.6666666666667,0.599632661643187
BAY-K8644,0.04 uM,0.0225947304024582,206.0,0.07622912487549546
BI-2536,0.04 uM,0.7237030784462066,701.0,0.7958348641990028
BIBX-1382,0.04 uM,0.0571141434802506,209.33333333333334,0.12217286843555607
BIIB021,0.04 uM,0.5526477812958241,653.6666666666666,0.6715620201194223
BMS-299897,0.04 uM,0.0561404074084451,248.0,0.1318400510004764
BMY-14802,0.04 uM,0.2565250964349426,606.0,0.4405396311244086
CEP-32496,0.04 uM,0.0546949573631464,235.33333333333334,0.12676492656777177
CGS-20625,0.04 uM,0.0061648780670047,198.33333333333334,0.03907003885150903
CI-966,0.04 uM,0.099588411928979,212.33333333333334,0.16247899880139013
CI-976,0.04 uM,0.0913776887369591,263.3333333333333,0.1733232184004877
CL-218872,0.04 uM,0.0326452361605349,222.33333333333334,0.09519101089697234
CNQX,0.04 uM,-0.0102950955943474,337.6666666666667,0.0
CP-724714,0.04 uM,0.0119929576807046,184.66666666666666,0.052582489957684185
