cpd,dose_1,dose_2,dose_3,dose_4,dose_5,dose_6,no_of_replicates
10-DEBC,0.01824460384618977,0.02853198231014225,0.040295247368470205,0.02300805803842454,0.09449884184669413,0.49615978779642655,5
17-hydroxyprogesterone-caproate,0.060654846964984535,0.03517204180559837,0.061979589882970476,0.07803885651040937,0.14604622572781528,0.475839894645409,5
2-iminobiotin,0.042700096668441254,-0.0029618486555147714,0.024638287240699747,0.0016828014234077726,0.023984070722071225,0.03243948882475459,5
2-methoxyestradiol,0.1128242829256447,0.11003416085255027,0.19139161693145412,0.4321838428273884,0.548733234796903,0.6492503642578946,5
3-amino-benzamide,0.10427275677846581,0.06260816824978752,0.07116882419419615,0.05376390484462999,0.07471360223037911,0.011697301689596235,5
3-deazaadenosine,0.010217480642961884,0.045890762326393754,0.019658064576386747,0.011578030578983253,0.057315372617146275,0.11980526212558491,5
ABT-737,0.004469596140734306,0.07663551794670627,0.14353774972680658,0.31620008966348173,0.3583548619088982,0.6689068527183912,5
AEE788,0.5568429698226345,0.047127674727040075,0.10443593731028233,0.1418211376988241,0.5931064660446262,0.640792307620462,5
AICA-ribonucleotide,0.03532073374615895,0.12358763671345979,-0.10732076643597,0.03561772067957447,-0.013645684477943718,-0.003926069657317381,2
AKT-inhibitor-1-2,-0.0350191001896009,-0.005232342832058431,0.03236585502535795,0.02625925822148748,0.05233129722510204,0.11391558556791542,5
ALX-5407,0.002247202686168474,0.015239324441704727,0.04009264058953739,0.02248886211437698,0.07797053480530883,0.07205091204572837,5
AMG-487,0.03720160039974969,0.008800190534898708,0.030461755256054622,0.08542935731831469,0.1088537084255653,0.13978820504917483,5
AMG-837,0.02432776906049483,-0.0038435979340039417,0.039794754686317914,0.07777753649583904,0.035955371402953296,0.2171599559154548,5
AS-605240,0.06036467819216004,0.07174882316680209,0.12160905087468593,0.07363663640524158,0.12323764558640851,0.22637154772245416,5
AS-703026,0.40927420447009816,0.3828233022313131,0.48634593292050776,0.47585862123716927,0.47421055273800516,0.5629246990202397,5
AT-7519,0.14362407417785125,0.17405522943577387,0.2544939500499687,0.4218042674213343,0.6885860255727722,0.7247140458778147,5
AT-9283,0.6380282673466148,0.7668662029383471,0.7717759557099759,0.7475828686710191,0.6359305738462832,0.5325822615745281,5
AV-412,0.05309092670944362,0.09732343999551682,0.14297539157723668,0.1710158125286036,0.25513552261667927,0.6696045700355852,5
AZ-628,0.014761469453706558,0.08451802376082265,0.16928444338591722,0.2139052532526362,0.3148769578861834,0.5080036332389999,5
AZD-5438,0.08021053405811314,0.2994140234619444,0.45083744290958,0.7149648701280507,0.46632060999187425,0.7507838783191834,5
AZD-8330,0.5299696101506534,0.6044059794334389,0.586999355543725,0.5944632099526465,0.45342316026413365,0.5210506155024424,5
BAY-K8644,0.03753417252748279,0.05790273847217163,-0.016388476374606553,0.06817855875293041,0.0018802011824371658,0.04575793661912634,5
BI-2536,0.7056529089261865,0.740013589621452,0.7750536112901267,0.7457048857257604,0.7674156719624161,0.728495346371898,5
BIBX-1382,0.0748795380462701,0.09566596150074252,0.12365721931127238,0.14074370487638582,0.000637684814181774,0.1228019137549385,5
