cpd,dose_1,dose_2,dose_3,dose_4,dose_5,dose_6,no_of_replicates
17-hydroxyprogesterone-caproate,0.0,0.006,0.008,0.0,0.001,0.0,3
2-iminobiotin,0.144,0.766,0.393,0.179,0.31,0.411,2
3-amino-benzamide,0.0,0.024,0.034,0.003,0.043,0.567,3
3-deazaadenosine,0.859,0.098,0.014,0.382,0.623,0.061,2
abacavir,0.099,0.112,0.415,0.003,0.043,0.055,3
abiraterone-acetate,0.158,0.003,0.195,0.0,0.01,0.0,3
abt-202,0.071,0.016,0.298,0.203,0.104,0.189,3
abt-239,0.0,0.079,0.003,0.398,0.362,0.0,3
abt-724,0.341,0.001,0.002,0.609,0.005,0.271,3
acarbose,0.04,0.225,0.541,0.453,0.364,0.161,3
acebutolol,0.006,0.155,0.418,0.41,0.016,0.495,2
acecainide,0.022,0.173,0.869,0.386,0.001,0.031,3
acenocoumarol,0.088,0.161,0.156,0.144,0.099,0.096,3
acetazolamide,0.023,0.012,0.006,0.003,0.913,0.741,2
acetylcysteine,0.001,0.222,0.008,0.137,0.126,0.139,3
acexamic-acid,0.255,0.003,0.0,0.0,0.0,0.0,3
acifran,0.386,0.139,0.168,0.19,0.546,0.225,2
acipimox,0.718,0.576,0.059,0.007,0.301,0.006,3
acivicin,0.0,0.0,0.0,0.0,0.0,0.0,3
aclidinium,0.097,0.007,0.753,0.259,0.22,0.108,2
acrivastine,0.015,0.053,0.003,0.0,0.156,0.312,3
actarit,0.479,0.167,0.996,0.386,0.692,0.692,3
acy-1215,0.177,0.273,0.006,0.003,0.0,0.0,2
adapalene,0.0,0.001,0.0,0.0,0.001,0.0,3
adarotene,0.023,0.0,0.0,0.0,0.0,0.0,3
adatanserin,0.007,0.531,0.027,0.162,0.044,0.009,3
adenosine,0.426,0.264,0.186,0.1,0.102,0.319,3
adoprazine,0.0,0.807,0.0,0.007,0.01,0.0,3
afatinib,0.037,0.008,0.006,0.005,0.004,0.0,2
afloqualone,0.094,0.075,0.05,0.036,0.009,0.187,3
agi-5198,0.008,0.003,0.051,0.082,0.552,0.009,3
agi-6780,0.333,0.674,0.328,0.253,0.366,0.018,2
agomelatine,0.027,0.08,0.008,0.01,0.192,0.036,3
agp-103,0.318,0.866,0.598,0.132,0.009,0.14,3
alaproclate,0.07,0.051,0.164,0.142,0.404,0.001,3
albendazole,0.001,0.001,0.0,0.0,0.0,0.0,3
alectinib,0.004,0.431,0.0,0.0,0.0,0.0,3
alisertib,0.0,0.001,0.0,0.0,0.0,0.0,2
aliskiren,0.141,0.379,0.943,0.19,0.655,0.908,3
alizapride,0.04,0.24,0.08,0.345,0.931,0.303,3
allopurinol,0.005,0.464,0.492,0.044,0.715,0.458,3
almitrine,0.007,0.003,0.0,0.0,0.001,0.0,3
almorexant,0.0,0.227,0.564,0.156,0.141,0.687,3
altanserin,0.067,0.329,0.03,0.097,0.076,0.003,3
altrenogest,0.0,0.003,0.027,0.0,0.002,0.0,3
altretamine,0.0,0.0,0.002,0.425,0.622,0.001,3
alvespimycin,0.0,0.0,0.0,0.0,0.0,0.0,3
alvimopan,0.0,0.0,0.0,0.003,0.0,0.0,3
alvocidib,0.0,0.0,0.0,0.0,0.0,0.0,3
am-24,0.015,0.0,0.004,0.0,0.027,0.098,3
amantadine,0.01,0.02,0.003,0.04,0.009,0.877,3
ambrisentan,0.541,0.435,0.832,0.81,0.058,0.316,2
ambroxol,0.642,0.061,0.772,0.005,0.17,0.226,2
amd11070,0.29,0.297,0.396,0.343,0.023,0.025,2
amg-208,0.216,0.206,0.403,0.011,0.129,0.062,3
amg-232,0.114,0.006,0.0,0.0,0.0,0.0,3
amg-517,0.0,0.0,0.19,0.29,0.195,0.018,3
amikacin,0.089,0.004,0.195,0.56,0.009,0.006,3
amiloride,0.799,0.76,0.001,0.802,0.451,0.305,3
aminocaproic-acid,0.473,0.534,0.059,0.252,0.077,0.339,3
aminoglutethimide,0.142,0.754,0.065,0.003,0.093,0.137,3
aminoguanidine,0.0,0.124,0.067,0.86,0.175,0.204,3
