cpd,dose_1,dose_2,dose_3,dose_4,dose_5,dose_6,no_of_replicates
17-hydroxyprogesterone-caproate,0.001,0.008,0.001,0.0,0.0,0.0,5
2-iminobiotin,0.001,0.373,0.031,0.244,0.314,0.103,5
3-amino-benzamide,0.0,0.001,0.0,0.001,0.0,0.324,5
3-deazaadenosine,0.195,0.001,0.366,0.21,0.007,0.001,5
abacavir,0.199,0.023,0.357,0.038,0.002,0.013,5
abiraterone-acetate,0.0,0.0,0.0,0.0,0.0,0.0,5
abt-202,0.081,0.711,0.155,0.022,0.258,0.39,5
abt-239,0.0,0.007,0.0,0.001,0.0,0.0,5
abt-724,0.283,0.0,0.0,0.126,0.043,0.003,5
acarbose,0.003,0.121,0.203,0.619,0.306,0.098,4
acebutolol,0.0,0.02,0.441,0.053,0.005,0.315,5
acecainide,0.002,0.0,0.088,0.153,0.0,0.026,5
acenocoumarol,0.001,0.036,0.003,0.051,0.089,0.067,5
acetazolamide,0.016,0.01,0.003,0.001,0.915,0.745,2
acetylcysteine,0.002,0.0,0.004,0.011,0.13,0.053,5
acexamic-acid,0.001,0.0,0.0,0.0,0.0,0.0,5
acifran,0.065,0.012,0.008,0.009,0.049,0.036,5
acipimox,0.311,0.05,0.002,0.0,0.005,0.014,5
acivicin,0.0,0.0,0.0,0.0,0.0,0.0,5
actarit,0.026,0.001,0.615,0.005,0.579,0.727,5
acy-1215,0.0,0.008,0.0,0.0,0.0,0.0,5
adapalene,0.0,0.0,0.0,0.0,0.0,0.0,5
adatanserin,0.0,0.062,0.003,0.0,0.012,0.055,5
adenosine,0.338,0.157,0.145,0.035,0.044,0.291,4
adoprazine,0.0,0.209,0.0,0.0,0.0,0.0,5
afatinib,0.0,0.0,0.0,0.0,0.0,0.0,5
afloqualone,0.031,0.008,0.018,0.006,0.0,0.002,5
agi-5198,0.0,0.001,0.002,0.221,0.012,0.0,5
agi-6780,0.388,0.46,0.807,0.038,0.011,0.001,5
agomelatine,0.028,0.008,0.008,0.0,0.001,0.003,5
agp-103,0.36,0.068,0.536,0.373,0.003,0.071,5
alaproclate,0.017,0.0,0.003,0.0,0.005,0.003,5
alisertib,0.0,0.0,0.0,0.0,0.0,0.0,5
aliskiren,0.133,0.484,0.372,0.093,0.575,0.769,5
alizapride,0.003,0.134,0.029,0.256,0.155,0.269,4
allopurinol,0.0,0.247,0.159,0.051,0.641,0.02,5
almitrine,0.0,0.0,0.0,0.0,0.0,0.0,5
almorexant,0.0,0.0,0.001,0.019,0.048,0.202,5
altanserin,0.014,0.001,0.009,0.031,0.001,0.0,4
altrenogest,0.0,0.0,0.0,0.0,0.0,0.0,5
altretamine,0.0,0.0,0.004,0.005,0.557,0.0,5
alvocidib,0.0,0.0,0.0,0.0,0.0,0.0,5
am-24,0.001,0.0,0.0,0.016,0.001,0.053,5
amantadine,0.0,0.0,0.0,0.0,0.0,0.003,5
ambrisentan,0.528,0.443,0.824,0.811,0.057,0.312,2
ambroxol,0.0,0.619,0.0,0.01,0.0,0.003,5
amd11070,0.242,0.29,0.397,0.33,0.024,0.02,2
amg-208,0.048,0.001,0.003,0.104,0.0,0.003,5
amg-232,0.007,0.0,0.0,0.0,0.0,0.0,5
amiloride,0.23,0.262,0.004,0.873,0.353,0.198,5
aminocaproic-acid,0.149,0.008,0.031,0.071,0.231,0.301,5
aminoglutethimide,0.0,0.0,0.002,0.0,0.008,0.042,5
