moa,dose_1,dose_2,dose_3,dose_4,dose_5,dose_6,moa_size
5 alpha reductase inhibitor,0.993,0.994,1.0,0.938,0.752,0.216,2
acat inhibitor,0.812,0.467,0.582,0.943,0.82,0.22,3
acetylcholine receptor agonist,0.378,0.142,0.198,0.66,0.645,0.707,9
acetylcholine receptor antagonist,0.398,0.06,0.03,0.656,0.949,0.619,21
acetylcholine release stimulant,0.499,0.973,0.801,0.838,0.651,0.91,2
acetylcholinesterase inhibitor,0.814,0.308,0.934,0.924,0.757,0.863,3
adenosine receptor agonist,0.927,0.853,0.712,0.181,0.167,0.269,3
adenosine receptor antagonist,0.246,0.405,0.033,0.736,0.781,0.576,5
adrenergic inhibitor,0.87,0.816,0.858,0.869,0.94,0.825,2
adrenergic receptor agonist,0.512,0.088,0.029,0.033,0.585,0.799,21
adrenergic receptor antagonist,0.396,0.174,0.187,0.172,0.442,0.773,34
adrenergic receptor antagonist|calcium channel blocker,0.875,0.22,0.081,0.466,0.316,0.659,2
akt inhibitor,0.368,0.225,0.072,0.078,0.046,0.091,7
alcohol dehydrogenase inhibitor,0.993,0.985,0.495,0.674,0.868,0.338,2
aldose reductase inhibitor,0.023,0.086,0.01,0.018,0.011,0.026,2
alk tyrosine kinase receptor inhibitor,0.113,0.865,0.488,0.218,0.007,0.024,4
ampk activator,0.678,0.945,0.634,0.406,0.499,0.959,2
androgen receptor agonist,0.103,0.059,0.111,0.024,0.006,0.099,3
androgen receptor antagonist,0.168,0.029,0.45,0.769,0.398,0.37,6
androgen receptor modulator,0.877,0.603,0.4,0.49,0.17,0.434,5
angiogenesis inhibitor,0.003,0.214,0.581,0.302,0.386,0.295,3
angiotensin converting enzyme inhibitor,0.767,0.31,0.073,0.023,0.089,0.763,10
angiotensin receptor antagonist,0.405,0.219,0.202,0.465,0.42,0.977,6
anthelmintic agent,0.0,0.156,0.011,0.011,0.038,0.578,2
antimalarial agent,0.583,0.478,0.942,0.946,0.201,0.142,2
antioxidant,0.71,0.673,0.799,0.741,0.317,0.483,2
