Metadata_broad_sample,broad_id,pert_iname,moa
BRD-A00147595-001-01-5,BRD-A00147595,balaglitazone,Insulin sensitizer|PPAR receptor partial agonist
BRD-A00218260-001-03-4,BRD-A00218260,flutrimazole,Sterol demethylase inhibitor
BRD-A00376169-001-01-6,BRD-A00376169,kbg,Neprilysin inhibitor
BRD-A00546892-001-02-6,BRD-A00546892,biperiden,Acetylcholine receptor antagonist
BRD-A00938334-001-01-3,BRD-A00938334,drospirenone,Mineralocorticoid receptor antagonist
BRD-A01636364-003-15-1,BRD-A01636364,bupivacaine,Sodium channel blocker
BRD-A01787639-003-16-9,BRD-A01787639,naftopidil,Adrenergic receptor antagonist
BRD-A02006392-001-10-7,BRD-A02006392,nitrendipine,Calcium channel blocker
BRD-A02367930-001-04-5,BRD-A02367930,ethinyl-estradiol,Estrogen receptor agonist|DNA directed DNA polymerase stimunlant|Estrogenic component in oral contraceptives
BRD-A02990301-003-06-6,BRD-A02990301,lofexidine,Adrenergic receptor agonist
BRD-A03061970-003-07-3,BRD-A03061970,alizapride,Dopamine receptor antagonist
BRD-A03216249-003-24-3,BRD-A03216249,mepivacaine,Potassium channel blocker|Sodium channel blocker
BRD-A03249105-001-01-9,BRD-A03249105,fulvestrant,Estrogen receptor antagonist
BRD-A03506276-001-01-5,BRD-A03506276,xl888,HSP inhibitor
BRD-A03623303-045-09-5,BRD-A03623303,metoprolol,Adrenergic receptor antagonist
BRD-A04352665-001-05-3,BRD-A04352665,maraviroc,CC chemokine receptor antagonist
BRD-A04553218-050-16-2,BRD-A04553218,chlorphenamine,Histamine receptor antagonist
BRD-A05186015-003-19-8,BRD-A05186015,bupropion,Dopamine uptake inhibitor
BRD-A05334458-001-02-8,BRD-A05334458,lisofylline,Interleukin receptor antagonist|STAT inhibitor
BRD-A05457250-001-05-0,BRD-A05457250,BAY-K8644,Calcium channel activator
BRD-A05523972-001-01-5,BRD-A05523972,telmesteine,Mucolytic agent
BRD-A05821830-341-01-5,BRD-A05821830,docetaxel,Tubulin inhibitor
BRD-A06916187-001-02-9,BRD-A06916187,cpi-613,pyruvate dehydrogenase inhibitor
BRD-A06935312-001-04-3,BRD-A06935312,fusidic-acid,Bacterial 30S ribosomal subunit inhibitor
BRD-A07395371-003-10-0,BRD-A07395371,esmolol,Adrenergic receptor antagonist
BRD-A07440155-003-25-4,BRD-A07440155,labetalol,Adrenergic receptor antagonist
BRD-A07563059-035-01-3,BRD-A07563059,bopindolol,Adrenergic receptor antagonist
BRD-A07704283-001-01-3,BRD-A07704283,isofloxythepin,Dopamine receptor antagonist
BRD-A07815743-001-01-1,BRD-A07815743,kakonein,GABA receptor antagonist|Serotonin receptor antagonist
BRD-A07986123-001-02-8,BRD-A07986123,galeterone,Androgen receptor modulator
BRD-A08187463-001-12-9,BRD-A08187463,racecadotril,Enkephalinase inhibitor
BRD-A08545410-311-01-8,BRD-A08545410,doxycycline-hyclate,Bacterial 30S ribosomal subunit inhibitor
