cpd,dose_1,dose_2,dose_3,dose_4,dose_5,dose_6,cpd_size
17-hydroxyprogesterone-caproate,0.31,0.243,0.119,0.012,0.047,0.007,3
2-iminobiotin,0.946,0.002,0.731,0.67,0.117,0.141,2
3-amino-benzamide,0.17,0.605,0.46,0.522,0.557,0.036,3
3-deazaadenosine,0.225,0.796,0.271,0.589,0.593,0.167,2
ABT-737,0.355,0.364,0.231,0.277,0.073,0.018,3
AICA-ribonucleotide,0.542,0.067,0.244,0.032,0.355,0.152,3
AKT-inhibitor-1-2,0.54,0.018,0.06,0.072,0.718,0.209,3
ALX-5407,0.092,0.131,0.053,0.375,0.467,0.089,3
AS-605240,0.988,0.199,0.974,0.976,0.036,0.148,2
AT-7519,0.028,0.536,0.086,0.0,0.0,0.0,3
AZ-628,0.091,0.014,0.07,0.189,0.065,0.004,3
AZD-5438,0.001,0.001,0.0,0.0,0.0,0.0,3
AZD-8330,0.0,0.0,0.0,0.0,0.0,0.0,3
BAY-K8644,0.549,0.27,0.156,0.287,0.118,0.003,3
BI-2536,0.0,0.0,0.0,0.0,0.0,0.0,3
BIBX-1382,0.125,0.024,0.109,0.018,0.002,0.004,3
BIIB021,0.005,0.0,0.0,0.0,0.0,0.0,3
BMS-299897,0.026,0.011,0.099,0.337,0.151,0.154,4
BMS-777607,0.052,0.243,0.066,0.176,0.061,0.018,3
BMY-14802,0.011,0.032,0.006,0.017,0.043,0.031,3
CGS-20625,0.017,0.558,0.019,0.02,0.052,0.005,3
CI-966,0.33,0.646,0.227,0.018,0.214,0.675,3
CI-976,0.786,0.111,0.025,0.102,0.273,0.453,2
CL-218872,0.226,0.278,0.223,0.183,0.16,0.116,3
CP-724714,0.402,0.08,0.934,0.059,0.008,0.039,3
CYT-997,0.26,0.0,0.0,0.0,0.0,0.0,3
CYT387,0.119,0.06,0.078,0.0,0.002,0.018,3
D-4476,0.127,0.067,0.751,0.043,0.008,0.022,3
DMP-543,0.198,0.145,0.495,0.062,0.641,0.136,3
ENMD-2076,0.123,0.219,0.2,0.001,0.0,0.0,3
EX-527,0.051,0.166,0.224,0.916,0.988,0.036,3
FK-888,0.065,0.99,0.475,0.427,0.472,0.006,3
