cpd,dose_1,dose_2,dose_3,dose_4,dose_5,dose_6,cpd_size
17-hydroxyprogesterone-caproate,-0.010219267619304534,0.16085641894726244,0.19170093745038794,0.2817275133879997,0.2120072641756619,0.1445275381698356,3
2-iminobiotin,-0.012356494454418847,0.295015094977677,0.08347560086271766,0.03224147833977188,0.1904621554259959,0.057524410753767935,2
3-amino-benzamide,0.22508119278074143,0.11045353341223939,0.09999534049855374,0.07614553391303899,0.1291772172321529,0.24203870613001946,3
3-deazaadenosine,0.15824150931706682,0.09258879835200791,0.12692170875921735,0.1520059863622459,0.0830484626872029,0.12887949961342918,2
ABT-737,0.1481243764205994,0.004060206954144568,0.1595674666122843,0.09330597435854412,0.17680648612927083,0.26779865016437326,3
AICA-ribonucleotide,0.1458500234265793,0.1883393975690568,0.10737273817344963,0.2182634257532323,0.10082040784190222,0.19153573811794863,3
AKT-inhibitor-1-2,0.07754178385334316,0.19606454119399402,0.16110124283488714,0.16159331716490635,0.07436584959748878,0.0644624987576814,3
ALX-5407,0.19624844306824943,0.16436013170513228,0.2563082034330587,0.1614161141306803,0.14632737063429885,0.23642169649737144,3
AS-605240,-0.11574916651715819,0.2612437254843752,0.005455321060301176,0.014902169830438032,0.2482912665970538,0.21307955614699242,2
AT-7519,0.25482180956449796,0.14045153279527492,0.19435686618195805,0.4686199873251235,0.818845411681796,0.8464178759643296,3
AZ-628,0.1200430584399576,0.17433870574280327,0.17971051717884612,0.10096442644893071,0.14143761753624667,0.21046360103309278,3
AZD-5438,0.32892310015604814,0.2849936044793168,0.4550885111666695,0.5788806612619892,0.6227770886763789,0.7356547632108482,3
AZD-8330,0.2805340227502417,0.3929166930188794,0.4180260880452165,0.38941529065092334,0.3402794281075067,0.34320722132373727,3
BAY-K8644,0.10656105560295369,0.0605443872368382,0.09874443860751897,0.09451287558356707,0.11119110280460684,0.1708600458722109,3
BI-2536,0.41007048625318,0.4981547599840467,0.5021987813015885,0.5145241435745991,0.6303787361521811,0.47428142356158864,3
BIBX-1382,0.09541206901225023,0.1936905316607315,0.06624539696758097,0.1892651153065268,0.2520208683710202,0.28685191949517336,3
BIIB021,0.23993314067176846,0.4195392772738948,0.6588904191098932,0.7091293444042743,0.6445471054944686,0.7642330602598737,3
BMS-299897,0.19897242504462664,0.2199963149926235,0.15527615613072937,0.13190618154171657,0.12330519992617078,0.13904296292663157,4
BMS-777607,0.17035123089572138,0.16840326242544476,0.14980068692151516,0.15373424836820646,0.13689122193812028,0.2432809731000915,3
BMY-14802,0.2496391661428492,0.2285215698776784,0.3328086855172111,0.2846236452273669,0.22402031795618363,0.27033727820579506,3
CGS-20625,0.23784250885111666,0.049323714022776056,0.22380370204488867,0.1886323911503031,0.10364493050114809,0.23936450079443855,3
CI-966,0.08303497465670058,0.0876102565823525,0.07660275878625795,0.2018274797001914,0.1382273242974285,0.12152732261949169,3
CI-976,0.05551868253564648,0.20098001835404725,0.24190132182698923,0.16419120219009475,0.15512150198577368,0.04767498622155736,2
CL-218872,0.1348983880190149,0.051516119164490726,0.09877384122329338,0.10676521533737501,0.1252234689149299,0.059795872533594224,3
CP-724714,0.1756077551657866,0.20764910727308164,0.04480313283709428,0.1914757196090149,0.24357031394197695,0.15213961466826545,3
CYT-997,0.1105515120146729,0.5853578587461166,0.6649089977425297,0.6244357033975639,0.6463689189311285,0.5965491422516105,3
CYT387,0.18417012472233374,0.19621106379902964,0.1816388796028711,0.32305380627057895,0.2413326690424531,0.21664604955592756,3
D-4476,0.1702906444697139,0.17954175545748946,0.055706069355581915,0.18229034502252953,0.17111240756826945,0.22771455971583496,3
DMP-543,0.1203224736402581,0.1320063348568139,0.1400288217914944,0.14200652846490724,0.09894610079753627,0.12570164218384766,3
ENMD-2076,0.16082209868591735,0.142945411552724,0.22722131083004954,0.2936073834382474,0.503677495382447,0.6335330766520256,3
