moa,dose_1,dose_2,dose_3,dose_4,dose_5,dose_6,moa_size
5 alpha reductase inhibitor,0.985,0.999,1.0,0.811,0.498,0.1,2
acat inhibitor,0.857,0.623,0.615,0.96,0.955,0.397,3
acetylcholine receptor agonist,0.018,0.216,0.026,0.055,0.587,0.42,9
acetylcholine receptor antagonist,0.319,0.044,0.011,0.035,0.364,0.474,21
acetylcholine release stimulant,0.541,0.995,0.893,0.954,0.912,0.908,2
acetylcholinesterase inhibitor,0.793,0.591,0.92,0.918,0.982,0.927,3
adenosine receptor agonist,0.854,0.534,0.865,0.056,0.116,0.202,3
adenosine receptor antagonist,0.11,0.066,0.091,0.748,0.855,0.919,5
adrenergic inhibitor,0.898,0.795,0.469,0.483,0.633,0.689,2
adrenergic receptor agonist,0.455,0.119,0.079,0.251,0.248,0.843,21
adrenergic receptor antagonist,0.032,0.022,0.036,0.01,0.021,0.753,34
adrenergic receptor antagonist|calcium channel blocker,0.874,0.333,0.027,0.481,0.254,0.537,2
akt inhibitor,0.357,0.332,0.038,0.215,0.044,0.085,7
alcohol dehydrogenase inhibitor,0.93,0.902,0.529,0.433,0.264,0.059,2
aldose reductase inhibitor,0.004,0.035,0.001,0.006,0.009,0.043,2
alk tyrosine kinase receptor inhibitor,0.235,0.345,0.544,0.186,0.004,0.012,4
ampk activator,0.77,0.995,0.709,0.428,0.743,0.988,2
androgen receptor agonist,0.111,0.068,0.072,0.013,0.017,0.1,3
androgen receptor antagonist,0.361,0.059,0.587,0.636,0.932,0.914,6
androgen receptor modulator,0.735,0.564,0.244,0.269,0.1,0.248,5
angiogenesis inhibitor,0.017,0.106,0.462,0.163,0.164,0.044,3
angiotensin converting enzyme inhibitor,0.882,0.205,0.033,0.002,0.004,0.076,10
angiotensin receptor antagonist,0.096,0.248,0.149,0.817,0.471,0.975,6
anthelmintic agent,0.002,0.157,0.021,0.004,0.035,0.636,2
antimalarial agent,0.814,0.682,0.826,0.953,0.234,0.107,2
antioxidant,0.931,0.659,0.895,0.708,0.345,0.779,2
antithyroid agent,0.945,0.772,0.863,0.975,0.94,0.83,2
antiviral,0.911,0.915,0.85,0.88,0.743,0.537,2
aromatase inhibitor,0.067,0.199,0.37,0.33,0.113,0.327,5
atp channel blocker,0.45,0.181,0.621,0.955,0.734,0.59,3
atpase inhibitor,0.665,0.585,0.462,0.581,0.504,0.787,5
aurora kinase inhibitor,0.763,0.02,0.0,0.0,0.0,0.0,5
bacterial 30s ribosomal subunit inhibitor,0.238,0.647,0.145,0.213,0.319,0.298,5
bacterial 50s ribosomal subunit inhibitor,0.97,0.712,0.602,0.566,0.331,0.779,7
bacterial antifolate,0.862,0.773,0.807,0.24,0.157,0.122,2
bacterial cell wall synthesis inhibitor,0.847,0.913,0.232,0.239,0.659,0.407,14
bacterial dna gyrase inhibitor,0.149,0.219,0.165,0.451,0.902,0.078,11
bcl inhibitor,0.337,0.068,0.25,0.038,0.063,0.035,3
bcr-abl kinase inhibitor,0.997,0.963,0.701,0.708,0.76,0.247,2
benzodiazepine receptor agonist,0.002,0.115,0.128,0.128,0.237,0.255,8
benzodiazepine receptor antagonist,0.762,0.601,0.46,0.394,0.358,0.384,3
beta lactamase inhibitor,0.161,0.537,0.44,0.836,0.398,0.905,2
beta-secretase inhibitor,0.854,0.873,0.464,0.822,0.594,0.427,2
bruton's tyrosine kinase (btk) inhibitor,0.778,0.908,0.889,0.917,0.151,0.143,2
c-met inhibitor,0.046,0.046,0.039,0.046,0.062,0.659,2
calcineurin inhibitor,0.495,0.96,0.829,0.792,0.105,0.015,3
calcitonin antagonist,0.681,0.149,0.115,0.212,0.141,0.229,3
calcium channel activator,0.227,0.363,0.509,0.471,0.264,0.317,2
calcium channel blocker,0.548,0.048,0.013,0.451,0.119,0.414,16
calmodulin antagonist,0.781,0.726,0.459,0.657,0.501,0.317,2
cannabinoid receptor agonist,0.641,0.568,0.538,0.137,0.269,0.76,3
cannabinoid receptor antagonist,0.519,0.221,0.826,0.224,0.121,0.224,2
cannabinoid receptor inverse agonist,0.564,0.555,0.829,0.563,0.337,0.342,2
carbonic anhydrase inhibitor,0.528,0.093,0.199,0.03,0.012,0.426,5
carnitine palmitoyltransferase inhibitor,0.006,0.074,0.001,0.009,0.104,0.198,2
cathepsin inhibitor,0.456,0.652,0.998,0.976,0.615,0.891,2
cc chemokine receptor antagonist,0.132,0.299,0.195,0.143,0.312,0.028,8
cck receptor antagonist,0.318,0.078,0.404,0.37,0.301,0.838,5
cdk inhibitor,0.036,0.0,0.002,0.0,0.0,0.0,7
cftr channel agonist,0.768,0.873,0.628,0.754,0.87,0.346,2
chelating agent,0.002,0.026,0.022,0.169,0.027,0.087,5
cholesterol inhibitor,0.001,0.0,0.0,0.008,0.082,0.062,4
cholesteryl ester transfer protein inhibitor,0.159,0.493,0.183,0.346,0.434,0.248,2
coagulation factor inhibitor,0.847,0.83,0.672,0.669,0.858,0.806,4
cyclooxygenase inhibitor,0.092,0.327,0.283,0.141,0.163,0.723,30
cyclooxygenase inhibitor|prostanoid receptor antagonist,0.477,0.272,0.486,0.859,0.613,0.961,4
cytochrome p450 inhibitor,0.457,0.987,0.801,0.597,0.669,0.357,5
diacylglycerol o acyltransferase inhibitor,0.561,0.266,0.051,0.083,0.048,0.583,3
dihydrofolate reductase inhibitor,0.905,0.954,0.721,0.861,0.665,0.249,4
dihydroorotate dehydrogenase inhibitor,0.151,0.344,0.417,0.343,0.487,0.01,3
dipeptidyl peptidase inhibitor,0.945,0.788,0.73,0.761,0.363,0.113,5
diuretic,0.468,0.632,0.677,0.898,0.666,0.563,3
dna alkylating agent,0.175,0.463,0.086,0.007,0.009,0.002,3
dna alkylating drug,0.36,0.61,0.474,0.882,0.656,0.262,2
dna directed dna polymerase inhibitor,0.659,0.076,0.08,0.034,0.224,0.567,3
dna inhibitor,0.847,0.799,0.533,0.627,0.558,0.009,8
dna methyltransferase inhibitor,0.428,0.257,0.124,0.039,0.061,0.05,3
dna polymerase inhibitor,0.936,0.725,0.66,0.433,0.945,0.797,5
dna synthesis inhibitor,0.565,0.825,0.349,0.501,0.752,0.924,7
dopamine receptor agonist,0.694,0.712,0.61,0.909,0.239,0.507,11
dopamine receptor antagonist,0.211,0.136,0.116,0.227,0.053,0.004,23
dopamine receptor antagonist|serotonin receptor antagonist,0.751,0.593,0.524,0.703,0.057,0.493,10
dopamine reuptake inhibitor,0.615,0.645,0.933,0.978,0.912,0.963,3
dopamine uptake inhibitor,0.325,0.382,0.294,0.456,0.642,0.525,2
egfr inhibitor,0.066,0.01,0.002,0.0,0.0,0.001,14
elastase inhibitor,0.582,0.524,0.387,0.208,0.294,0.3,2
endothelin receptor antagonist,0.469,0.839,0.748,0.54,0.164,0.607,4
estrogen receptor agonist,0.23,0.314,0.151,0.706,0.862,0.113,7
estrogen receptor antagonist,0.083,0.39,0.815,0.737,0.416,0.063,2
estrogen receptor antagonist|selective estrogen receptor modulator (serm),0.749,0.249,0.094,0.018,0.035,0.001,3
farnesyltransferase inhibitor,0.525,0.584,0.251,0.329,0.396,0.162,3
fatty acid synthase inhibitor,0.074,0.162,0.207,0.182,0.083,0.082,2
fgfr inhibitor|vegfr inhibitor,0.185,0.437,0.495,0.517,0.377,0.047,3
focal adhesion kinase inhibitor,0.682,0.275,0.366,0.398,0.0,0.003,2
free radical scavenger,0.621,0.921,0.944,0.92,0.352,0.092,4
fungal squalene epoxidase inhibitor,0.8,0.855,0.964,0.915,0.392,0.166,4
gaba receptor agonist,0.161,0.104,0.115,0.115,0.431,0.319,3
gaba receptor antagonist,0.002,0.0,0.001,0.003,0.002,0.028,2
gaba receptor modulator,0.001,0.036,0.007,0.304,0.043,0.084,4
gamma secretase inhibitor,0.556,0.465,0.207,0.05,0.052,0.065,7
gap junction modulator,0.351,0.268,0.215,0.398,0.487,0.233,2
glucocorticoid receptor agonist,0.0,0.0,0.0,0.0,0.0,0.0,16
"glucose-dependent insulinotropic receptor (gdir, gpr119) agonists",0.669,0.461,0.143,0.177,0.309,0.175,2
