moa,dose_1,dose_2,dose_3,dose_4,dose_5,dose_6,moa_size
5 alpha reductase inhibitor,0.984,0.999,0.999,0.698,0.463,0.103,2
acat inhibitor,0.884,0.524,0.622,0.911,0.943,0.316,3
acetylcholine receptor agonist,0.03,0.178,0.058,0.112,0.622,0.452,9
acetylcholine receptor antagonist,0.349,0.117,0.023,0.056,0.214,0.48,21
acetylcholine release stimulant,0.376,0.991,0.805,0.963,0.782,0.905,2
acetylcholinesterase inhibitor,0.813,0.677,0.967,0.967,0.889,0.915,3
adenosine receptor agonist,0.844,0.722,0.872,0.1,0.169,0.129,3
adenosine receptor antagonist,0.095,0.111,0.049,0.736,0.934,0.877,5
adrenergic inhibitor,0.9,0.733,0.496,0.419,0.705,0.7,2
adrenergic receptor agonist,0.474,0.219,0.063,0.359,0.351,0.943,21
adrenergic receptor antagonist,0.085,0.036,0.057,0.012,0.04,0.746,34
adrenergic receptor antagonist|calcium channel blocker,0.864,0.389,0.048,0.514,0.355,0.689,2
akt inhibitor,0.54,0.469,0.032,0.093,0.039,0.105,7
alcohol dehydrogenase inhibitor,0.93,0.934,0.442,0.328,0.328,0.16,2
aldose reductase inhibitor,0.006,0.025,0.001,0.008,0.018,0.044,2
alk tyrosine kinase receptor inhibitor,0.19,0.247,0.335,0.188,0.008,0.013,4
ampk activator,0.722,0.992,0.698,0.456,0.805,0.994,2
androgen receptor agonist,0.116,0.083,0.113,0.021,0.018,0.111,3
androgen receptor antagonist,0.177,0.103,0.846,0.701,0.969,0.827,6
androgen receptor modulator,0.819,0.495,0.224,0.3,0.122,0.262,5
angiogenesis inhibitor,0.008,0.121,0.683,0.211,0.214,0.075,3
angiotensin converting enzyme inhibitor,0.866,0.202,0.076,0.003,0.005,0.083,10
angiotensin receptor antagonist,0.141,0.279,0.224,0.832,0.466,0.943,6
anthelmintic agent,0.0,0.167,0.005,0.005,0.036,0.594,2
antimalarial agent,0.666,0.569,0.933,0.918,0.172,0.123,2
antioxidant,0.941,0.712,0.914,0.833,0.409,0.874,2
antithyroid agent,0.894,0.738,0.81,0.977,0.94,0.732,2
antiviral,0.869,0.905,0.761,0.891,0.846,0.565,2
aromatase inhibitor,0.109,0.052,0.615,0.426,0.198,0.187,5
atp channel blocker,0.375,0.186,0.678,0.965,0.599,0.554,3
atpase inhibitor,0.77,0.362,0.599,0.438,0.626,0.833,5
aurora kinase inhibitor,0.64,0.001,0.0,0.0,0.0,0.0,5
bacterial 30s ribosomal subunit inhibitor,0.347,0.477,0.093,0.304,0.403,0.368,5
bacterial 50s ribosomal subunit inhibitor,0.837,0.623,0.445,0.564,0.512,0.795,7
bacterial antifolate,0.873,0.615,0.897,0.401,0.112,0.068,2
bacterial cell wall synthesis inhibitor,0.723,0.798,0.236,0.279,0.658,0.591,14
bacterial dna gyrase inhibitor,0.098,0.401,0.103,0.362,0.916,0.078,11
bcl inhibitor,0.367,0.076,0.218,0.033,0.067,0.056,3
bcr-abl kinase inhibitor,0.981,0.919,0.608,0.642,0.732,0.254,2
benzodiazepine receptor agonist,0.003,0.202,0.075,0.128,0.46,0.181,8
benzodiazepine receptor antagonist,0.743,0.393,0.482,0.325,0.405,0.368,3
beta lactamase inhibitor,0.137,0.523,0.432,0.846,0.346,0.93,2
beta-secretase inhibitor,0.883,0.839,0.298,0.625,0.572,0.468,2
