moa,dose_1,dose_2,dose_3,dose_4,dose_5,dose_6,moa_size
5 alpha reductase inhibitor,0.19120854706608906,0.09644392282575202,0.12042160485355692,0.053270668054378106,0.023621770056785372,0.01114497748523399,2
acat inhibitor,-0.0675962723379314,-0.12485752556655103,0.0029799115427973388,-0.029553336398159644,-0.07242253185599871,-0.05385621363522195,3
acetylcholine receptor agonist,0.014720225903246533,0.1048497722822026,0.11608635381558323,0.021439100082601616,0.023027025530180857,-0.00037039962091296817,8
acetylcholine receptor antagonist,0.024144439553230743,0.030377262003340295,0.03211695448608247,0.022151324322228244,0.01610809159198428,0.03668815430706568,21
acetylcholine release stimulant,0.03184717546449547,-0.0355593153244098,0.1260322810669859,0.12863135769810585,0.06632840377665586,0.021666869502396484,2
acetylcholinesterase inhibitor,0.07638285472800835,0.011114739892678558,0.11915372186301597,0.07485711733313309,0.04258032308682855,-0.038211014756946694,2
adenosine receptor agonist,0.029309597659533698,0.011333919334407047,0.023671370172678417,0.021052828713482862,0.00540214557045607,0.12195002760227489,3
adenosine receptor antagonist,0.01245854699619987,0.07157996325516378,0.05433398258353374,0.19644802701254044,0.11809565856068652,0.0028854569744693297,4
adrenergic inhibitor,-0.003397904189868539,0.02147146122130754,-0.07376826611974817,-0.09580729084332085,0.07347103191359479,0.0863185703447258,2
adrenergic receptor agonist,0.023702588265973837,0.028639611149855467,0.03040534999263479,0.02959837897308831,0.02430999168805073,0.019564995041313753,20
adrenergic receptor antagonist,0.02969453958137809,0.035956758611069325,0.029523393312905377,0.03653796355254758,0.03394637649613844,0.029147880069702016,33
akt inhibitor,0.0037286083828986173,0.03807680655426978,0.028430990197955773,0.07719871150932671,0.055564319389771896,0.07524442568573582,6
alcohol dehydrogenase inhibitor,0.02419418127425407,0.07273309062096217,0.004326350187880965,0.07381093811093474,-0.015866106459841458,0.017991848593053698,2
aldose reductase inhibitor,0.03940854395881831,-0.011330274397901557,0.12102705047834832,0.21209291585022993,0.12475792459158139,0.11932421585634144,2
alk tyrosine kinase receptor inhibitor,0.026715933356754762,0.057178482952037604,0.0985099383486061,0.05598830411334635,0.17118746517542982,0.26039338047753574,4
ampk activator,-0.01857902596414446,-0.007365209207895864,-0.13507542899756855,-0.03603153632539189,0.034067508046536556,-0.04850642557698134,2
androgen receptor agonist,0.04588473061257253,0.21423686724962518,0.18392924744491715,0.12769443099399003,0.11465123475171612,0.17876704791152564,3
androgen receptor antagonist,0.026871677572987453,-0.005659252823276736,0.0014083963634574602,0.02909654170182805,0.034382319999632045,0.025699760646263187,6
androgen receptor modulator,0.008309650852320648,0.03898661543122445,0.04075821618436864,0.04958718958901655,0.07218672237312625,-0.04611580798102494,4
angiogenesis inhibitor,0.011695476003057363,0.0044842448425778956,-0.024724042309686688,-0.0569582480813671,-0.08774752648300971,0.03633273226351698,3
angiotensin converting enzyme inhibitor,-0.001253693177113882,0.028310276009287455,0.07386261590767262,0.061766888113681424,0.06322163126535833,0.03266446525165009,8
angiotensin receptor antagonist,0.09361314620399656,0.09199046821993632,0.062027372320655826,0.06929138416871143,0.07389073178124658,0.05345225990904492,5
antithyroid agent,0.05830621395341364,-0.014613365173192125,-0.00495022542262192,0.0234712875235311,0.05121434730483103,-0.12755708962663553,2
antiviral,0.01472378314567004,-0.005799138306554965,-0.033713221028303424,-0.007075702201357949,0.001117720901818795,-0.0009596287971447911,2
aromatase inhibitor,0.006099488533507015,0.11515891971509411,0.12084766402912679,0.06308480314068436,0.08132032518443157,0.03153147675480357,3
atp channel blocker,0.03356965228066975,0.036161413769874924,0.09173594154187954,0.1047022457799379,0.1195999518373033,0.0696280340221161,3
atpase inhibitor,-0.01832957657491379,0.01701278647422126,-0.016647125813408003,0.08956021345811307,0.0488544508273801,0.07821241583708737,4
