moa,dose_1,dose_2,dose_3,dose_4,dose_5,dose_6,moa_size
5 alpha reductase inhibitor,0.056,0.232,0.161,0.384,0.545,0.591,2
acat inhibitor,0.904,0.977,0.618,0.744,0.924,0.883,3
acetylcholine receptor agonist,0.699,0.007,0.006,0.512,0.464,0.902,8
acetylcholine receptor antagonist,0.624,0.291,0.326,0.558,0.698,0.208,21
acetylcholine release stimulant,0.501,0.739,0.154,0.138,0.351,0.557,2
acetylcholinesterase inhibitor,0.311,0.547,0.17,0.308,0.452,0.774,2
adenosine receptor agonist,0.408,0.513,0.503,0.431,0.569,0.065,3
adenosine receptor antagonist,0.584,0.129,0.226,0.002,0.037,0.681,4
adrenergic inhibitor,0.663,0.507,0.857,0.903,0.319,0.265,2
adrenergic receptor agonist,0.643,0.336,0.402,0.298,0.359,0.767,20
adrenergic receptor antagonist,0.459,0.153,0.374,0.057,0.036,0.416,31
akt inhibitor,0.761,0.284,0.441,0.041,0.121,0.075,6
alcohol dehydrogenase inhibitor,0.535,0.3,0.588,0.308,0.722,0.567,2
aldose reductase inhibitor,0.459,0.648,0.161,0.04,0.146,0.161,2
alk tyrosine kinase receptor inhibitor,0.23,0.721,0.118,0.034,0.624,0.195,3
ampk activator,0.721,0.638,0.949,0.739,0.491,0.803,2
androgen receptor agonist,0.318,0.007,0.013,0.037,0.061,0.017,3
androgen receptor antagonist,0.671,0.568,0.747,0.58,0.556,0.663,5
androgen receptor modulator,0.734,0.67,0.719,0.786,0.265,0.849,3
angiogenesis inhibitor,0.335,0.58,0.175,0.607,0.886,0.635,2
angiotensin converting enzyme inhibitor,0.889,0.398,0.041,0.07,0.053,0.362,8
angiotensin receptor antagonist,0.074,0.353,0.184,0.45,0.289,0.307,4
antithyroid agent,0.388,0.664,0.622,0.499,0.394,0.952,2
antiviral,0.579,0.621,0.734,0.629,0.648,0.64,2
aromatase inhibitor,0.561,0.073,0.069,0.177,0.144,0.409,3
atp channel blocker,0.377,0.326,0.143,0.06,0.057,0.202,3
atpase inhibitor,0.68,0.418,0.884,0.339,0.357,0.483,3
aurora kinase inhibitor,0.6,0.025,0.007,0.005,0.005,0.028,2
bacterial 30s ribosomal subunit inhibitor,0.618,0.709,0.137,0.527,0.277,0.103,5
bacterial 50s ribosomal subunit inhibitor,0.366,0.502,0.137,0.23,0.444,0.33,5
bacterial antifolate,0.463,0.015,0.565,0.389,0.379,0.604,2
bacterial cell wall synthesis inhibitor,0.761,0.611,0.186,0.099,0.298,0.271,14
bacterial dna gyrase inhibitor,0.183,0.053,0.01,0.428,0.331,0.844,11
bcl inhibitor,0.282,0.617,0.652,0.817,0.746,0.011,3
bcr-abl kinase inhibitor,0.976,0.99,0.803,0.968,0.761,0.425,2
benzodiazepine receptor agonist,0.198,0.204,0.673,0.281,0.42,0.097,7
benzodiazepine receptor antagonist,0.406,0.41,0.186,0.267,0.432,0.71,3
beta lactamase inhibitor,0.97,0.966,0.974,0.642,0.526,0.516,2
beta-secretase inhibitor,0.381,0.26,0.369,0.46,0.153,0.186,2
bruton's tyrosine kinase (btk) inhibitor,0.668,0.655,0.525,0.08,0.401,0.017,2
