moa,moa_cpds_dose_1,moa_cpds_dose_2,moa_cpds_dose_3,moa_cpds_dose_4,moa_cpds_dose_5,moa_cpds_dose_6,moa_size
5 alpha reductase inhibitor,dutasteride;finasteride,dutasteride;finasteride,dutasteride;finasteride,dutasteride;finasteride,dutasteride;finasteride,dutasteride;finasteride,2
acat inhibitor,avasimibe;kd-023;ci-976,avasimibe;kd-023;ci-976,avasimibe;kd-023;ci-976,avasimibe;kd-023;ci-976,avasimibe;kd-023;ci-976,avasimibe;kd-023;ci-976,3
acetylcholine receptor agonist,abt-202;nicotine;diphenidol;cytisine;pilocarpine;varenicline;evp-6124;levamisole,abt-202;nicotine;diphenidol;cytisine;pilocarpine;varenicline;evp-6124;levamisole,abt-202;nicotine;diphenidol;cytisine;pilocarpine;varenicline;evp-6124;levamisole,abt-202;nicotine;diphenidol;cytisine;pilocarpine;varenicline;evp-6124;levamisole,abt-202;nicotine;diphenidol;cytisine;pilocarpine;varenicline;evp-6124;levamisole,abt-202;nicotine;diphenidol;cytisine;pilocarpine;varenicline;evp-6124;levamisole,8
acetylcholine receptor antagonist,atracurium;metixene;mecamylamine;solifenacin-succinate;sulbutiamine;biperiden;rocuronium;orphenadrine;oxybutynin;scopolamine;umeclidinium;flavoxate;otilonium;aclidinium;afloqualone;glycopyrrolate;pirenzepine;carisoprodol;darifenacin;ipratropium;piperidolate,atracurium;metixene;mecamylamine;solifenacin-succinate;sulbutiamine;biperiden;rocuronium;orphenadrine;oxybutynin;scopolamine;umeclidinium;flavoxate;otilonium;aclidinium;afloqualone;glycopyrrolate;pirenzepine;carisoprodol;darifenacin;ipratropium;piperidolate,atracurium;metixene;mecamylamine;solifenacin-succinate;sulbutiamine;biperiden;rocuronium;orphenadrine;oxybutynin;scopolamine;umeclidinium;flavoxate;otilonium;aclidinium;afloqualone;glycopyrrolate;pirenzepine;carisoprodol;darifenacin;ipratropium;piperidolate,atracurium;metixene;mecamylamine;solifenacin-succinate;sulbutiamine;biperiden;rocuronium;orphenadrine;oxybutynin;scopolamine;umeclidinium;flavoxate;otilonium;aclidinium;afloqualone;glycopyrrolate;pirenzepine;carisoprodol;darifenacin;ipratropium;piperidolate,atracurium;metixene;mecamylamine;solifenacin-succinate;sulbutiamine;biperiden;rocuronium;orphenadrine;oxybutynin;scopolamine;umeclidinium;flavoxate;otilonium;afloqualone;glycopyrrolate;aclidinium;pirenzepine;carisoprodol;darifenacin;ipratropium;piperidolate,atracurium;metixene;mecamylamine;solifenacin-succinate;sulbutiamine;biperiden;rocuronium;orphenadrine;oxybutynin;scopolamine;flavoxate;umeclidinium;otilonium;aclidinium;afloqualone;glycopyrrolate;pirenzepine;carisoprodol;darifenacin;ipratropium;piperidolate,21
acetylcholine release stimulant,bifemelane;dmp-543,bifemelane;dmp-543,bifemelane;dmp-543,bifemelane;dmp-543,bifemelane;dmp-543,bifemelane;dmp-543,2
acetylcholinesterase inhibitor,donepezil;tacrine,donepezil;tacrine,donepezil;tacrine,donepezil;tacrine,donepezil;tacrine,donepezil;tacrine,2
adenosine receptor agonist,ib-meca;adenosine;regadenoson,ib-meca;adenosine;regadenoson,ib-meca;adenosine;regadenoson,ib-meca;adenosine;regadenoson,ib-meca;adenosine;regadenoson,ib-meca;adenosine;regadenoson,3
adenosine receptor antagonist,dpcpx;preladenant;doxofylline;theophylline,dpcpx;preladenant;doxofylline;theophylline,dpcpx;preladenant;doxofylline;theophylline,dpcpx;preladenant;doxofylline;theophylline,dpcpx;preladenant;doxofylline;theophylline,dpcpx;preladenant;doxofylline;theophylline,4
adrenergic inhibitor,guanadrel;guanethidine,guanadrel;guanethidine,guanadrel;guanethidine,guanadrel;guanethidine,guanadrel;guanethidine,guanadrel;guanethidine,2
adrenergic receptor agonist,zd-7114;oxymetazoline;bambuterol;mephentermine;levalbuterol;tizanidine;lofexidine;cgp12177;ritodrine;guanabenz;formoterol;methyldopa;lidamidine;clenbuterol;clonidine;naphazoline;midodrine;phenylephrine;indacaterol;fenoterol,zd-7114;oxymetazoline;bambuterol;mephentermine;levalbuterol;tizanidine;lofexidine;cgp12177;ritodrine;guanabenz;formoterol;methyldopa;lidamidine;clenbuterol;clonidine;naphazoline;midodrine;phenylephrine;indacaterol;fenoterol,zd-7114;oxymetazoline;bambuterol;mephentermine;levalbuterol;tizanidine;lofexidine;cgp12177;ritodrine;guanabenz;formoterol;methyldopa;lidamidine;clenbuterol;clonidine;naphazoline;midodrine;phenylephrine;indacaterol;fenoterol,zd-7114;oxymetazoline;bambuterol;mephentermine;levalbuterol;tizanidine;lofexidine;cgp12177;ritodrine;guanabenz;formoterol;methyldopa;lidamidine;clenbuterol;clonidine;naphazoline;midodrine;phenylephrine;indacaterol;fenoterol,zd-7114;oxymetazoline;bambuterol;mephentermine;levalbuterol;tizanidine;lofexidine;cgp12177;ritodrine;guanabenz;formoterol;methyldopa;lidamidine;clenbuterol;naphazoline;midodrine;phenylephrine;clonidine;indacaterol;fenoterol,zd-7114;oxymetazoline;bambuterol;mephentermine;levalbuterol;tizanidine;lofexidine;cgp12177;ritodrine;guanabenz;formoterol;methyldopa;lidamidine;clenbuterol;clonidine;naphazoline;midodrine;phenylephrine;indacaterol;fenoterol,20
