moa,p_value_alldose,moa_size
5 alpha reductase inhibitor,0.0,12
acat inhibitor,1.0,18
acetylcholine receptor agonist,0.0,48
acetylcholine receptor antagonist,0.002,126
acetylcholine release stimulant,0.008,12
acetylcholinesterase inhibitor,0.0,12
adenosine receptor agonist,0.09,18
adenosine receptor antagonist,0.0,24
adrenergic inhibitor,0.997,12
adrenergic receptor agonist,0.001,120
adrenergic receptor antagonist,0.0,186
akt inhibitor,0.0,36
alcohol dehydrogenase inhibitor,0.965,12
aldose reductase inhibitor,0.0,12
alk tyrosine kinase receptor inhibitor,0.001,18
ampk activator,1.0,12
androgen receptor agonist,0.0,18
androgen receptor antagonist,0.198,30
androgen receptor modulator,1.0,18
angiogenesis inhibitor,0.989,12
angiotensin converting enzyme inhibitor,0.0,48
angiotensin receptor antagonist,0.0,24
antithyroid agent,0.993,12
antiviral,0.939,12
aromatase inhibitor,0.0,18
atp channel blocker,0.002,18
atpase inhibitor,0.302,18
aurora kinase inhibitor,0.0,12
bacterial 30s ribosomal subunit inhibitor,0.006,30
bacterial 50s ribosomal subunit inhibitor,0.072,30
bacterial antifolate,0.0,12
bacterial cell wall synthesis inhibitor,0.121,84
bacterial dna gyrase inhibitor,0.0,66
bcl inhibitor,1.0,18
bcr-abl kinase inhibitor,1.0,12
benzodiazepine receptor agonist,0.0,42
benzodiazepine receptor antagonist,0.146,18
beta lactamase inhibitor,1.0,12
beta-secretase inhibitor,0.0,12
bruton's tyrosine kinase (btk) inhibitor,0.007,12
c-met inhibitor,0.0,12
calcineurin inhibitor,0.002,18
calcitonin antagonist,0.0,18
calcium channel activator,0.0,12
calcium channel blocker,0.336,90
calmodulin antagonist,1.0,12
cannabinoid receptor agonist,1.0,18
cannabinoid receptor antagonist,0.002,12
cannabinoid receptor inverse agonist,1.0,12
carbonic anhydrase inhibitor,1.0,30
carnitine palmitoyltransferase inhibitor,0.0,12
cathepsin inhibitor,0.106,12
cc chemokine receptor antagonist,0.988,42
cck receptor antagonist,1.0,24
cdk inhibitor,0.0,42
cftr channel agonist,0.993,12
chelating agent,0.024,24
cholesterol inhibitor,0.254,18
coagulation factor inhibitor,0.058,24
cyclooxygenase inhibitor,0.188,162
cyclooxygenase inhibitor|prostanoid receptor antagonist,0.974,24
cytochrome p450 inhibitor,0.71,12
diacylglycerol o acyltransferase inhibitor,0.0,12
dihydrofolate reductase inhibitor,0.883,12
dihydroorotate dehydrogenase inhibitor,0.006,12
dipeptidyl peptidase inhibitor,0.005,18
diuretic,0.021,12
dna alkylating agent,1.0,12
dna alkylating drug,0.111,12
dna directed dna polymerase inhibitor,0.242,12
dna inhibitor,0.938,30
