compound	no_of_compounds	well	dose_recode	median_score	p_value
17-hydroxyprogesterone-caproate	3	N18	1	-0.0093435005302555	0.565
2-iminobiotin	3	B12	1	0.029933462081212	0.219
3-amino-benzamide	3	D24	1	0.0456556669473286	0.222
3-deazaadenosine	2	O12	1	0.017113905928964	0.392
abacavir	3	J06	1	0.0086383316307686	0.31
abiraterone-acetate	3	C18	1	-0.0201902223729657	0.587
abt-202	3	E18	1	0.0046030481256975	0.375
abt-239	3	I06	1	0.086566115032632	0.03
abt-724	3	L12	1	-0.0368348117678997	0.819
acarbose	4	H06	1	-0.0382472964725653	0.924
acebutolol	2	L12	1	0.0247065465441725	0.334
acecainide	3	O18	1	0.0354217394750822	0.196
acenocoumarol	3	O18	1	0.0289978159177543	0.232
acetazolamide	3	M24	1	-0.0123118893254168	0.589
acetylcysteine	3	O18	1	-0.0267521936583661	0.699
acexamic-acid	3	J12	1	0.0578959881221897	0.078
acifran	3	F06	1	0.081098888200754	0.047
acipimox	3	G06	1	-0.0506453799042545	0.89
acivicin	3	E24	1	0.1412090317485348	0.011
aclidinium	3	A12	1	0.038226439313456	0.193
acrivastine	3	A12	1	0.0687377610287354	0.069
actarit	3	M18	1	0.0873364343669873	0.019
acy-1215	2	H24	1	0.1580714450288378	0.073
adapalene	3	N12	1	0.0782132680429422	0.039
adarotene	3	A18	1	-0.0699320292992708	0.948
adatanserin	3	L18	1	-0.0187732151539143	0.655
adenosine	4	G06	1	-0.0469473365779979	0.959
adoprazine	3	L24	1	0.0290235870718539	0.288
afatinib	3	M06	1	-0.0188281828408669	0.577
afloqualone	3	E12	1	0.0119794763183332	0.304
agi-5198	3	I18	1	0.0893727467250447	0.026
agi-6780	3	C12	1	0.0017749742074116	0.442
agomelatine	3	L06	1	-0.0077260698947086	0.531
agp-103	3	N12	1	0.0262654396509784	0.218
alaproclate	3	M12	1	0.1997361910869025	0.001
albendazole	3	P06	1	0.0694480142285765	0.172
alectinib	3	P12	1	0.0379791106549315	0.193
alisertib	2	F24	1	0.0812829769707576	0.177
aliskiren	3	I12	1	0.1025414715416842	0.02
alizapride	4	M18	1	0.0392421159006482	0.074
allopurinol	3	O12	1	0.028199950694709	0.25
almitrine	3	O24	1	-0.0205569416996638	0.687
almorexant	3	K24	1	0.0128512949303569	0.377
altanserin	4	C18	1	0.0145668827415712	0.248
altrenogest	3	L06	1	0.2026178089105756	0.0
altretamine	3	K24	1	-0.0066765292179468	0.57
alvespimycin	3	A24	1	0.1361187036210596	0.017
alvimopan	3	P24	1	0.1468976458563843	0.016
alvocidib	3	B24	1	0.1707546224052633	0.005
am-24	3	I24	1	-0.0233180208378655	0.789
amantadine	3	E24	1	0.0223887327844752	0.349
ambrisentan	3	I06	1	-0.0014977067674778	0.336
ambroxol	2	B24	1	-0.0396895072435256	0.803
amd11070	3	M06	1	0.0422768219030848	0.111
amg-208	3	E12	1	-0.0286415040854501	0.729
amg-232	3	J24	1	-0.0628384683894585	0.968
amg-517	3	P06	1	0.0906654679153848	0.098
amikacin	3	P06	1	0.0589420002682775	0.215
amiloride	3	I12	1	-0.036644960431732	0.791
aminocaproic-acid	3	J12	1	0.0023367649666397	0.375
aminoglutethimide	3	B18	1	0.0023592406780983	0.42
aminoguanidine	3	A12	1	0.0308832224905041	0.231
aminolevulinic-acid	3	H12	1	-0.0115096465432369	0.546
aminosalicylic-acid	3	B12	1	0.0028477013461059	0.404
amiodarone	3	K18	1	0.0488793036747624	0.105
amiprilose	3	I24	1	0.0014866584584887	0.565
amitifadine	3	E18	1	0.0845328106944833	0.043
amlexanox	3	E12	1	0.0378479825830151	0.129
amlodipine	3	H12	1	0.0789019651067344	0.025
ammonium-glycyrrhizinate	3	O18	1	0.0972340932433105	0.026
amonafide	3	C18	1	0.0260559763950546	0.204
amoxapine	4	I18	1	0.0341394172341277	0.096
ampalex	3	A18	1	0.1090932269851946	0.026
amrinone	3	L12	1	-0.0503337064229331	0.911
amsacrine	3	D12	1	0.2714810174988578	0.0
amtolmetin-guacil	3	K06	1	0.0431571029102234	0.116
amuvatinib	3	M18	1	0.0111646089399587	0.296
anamorelin	4	E24	1	0.0433843759115395	0.131
anandamide	3	K18	1	0.0157172423212337	0.247
andrographolide	3	N24	1	0.0128563592160698	0.414
anecortave-acetate	3	G24	1	0.0791961099509298	0.087
anidulafungin	3	J12	1	-0.0052234271416198	0.469
aniracetam	3	D24	1	0.0118340551878129	0.447
anisodamine	3	N06	1	0.0301637906673947	0.19
ap26113	2	B18	1	-0.0595679731908809	0.875
apafant	3	I06	1	0.1454077174522565	0.004
apd668	3	L24	1	3.887351393884806e-06	0.529
aphidicolin	3	M06	1	0.0741391032042906	0.039
api-001	3	H18	1	0.1383711442625324	0.001
apixaban	3	P12	1	0.0145865652097942	0.352
apocynin	3	P24	1	0.1191049144583606	0.031
apremilast	3	D06	1	0.1231470404158669	0.005
aprepitant	3	K06	1	-0.0143775683985211	0.533
arbutin	3	B18	1	0.022955681263545	0.267
argatroban	3	J24	1	0.0321120752853661	0.274
arglabin	3	D18	1	0.0069909228600488	0.344
aripiprazole	3	F24	1	-0.0183830604311925	0.735
arofylline	3	I12	1	0.0266855689867319	0.261
arry-334543	3	D12	1	-0.0085379910380959	0.467
artesunate	3	M18	1	0.138004460143242	0.001
asa-404	3	G12	1	0.0529484456404389	0.089
asc-j9	3	P12	1	0.0120412750389782	0.381
asenapine	3	I18	1	-0.0241493709997098	0.73
aspirin	3	O24	1	-0.0094302009672922	0.593
at13387	3	F06	1	-0.0267539526930048	0.662
ataluren	3	I06	1	-0.0314554608290062	0.692
atenolol	2	B18	1	-0.0158387458703679	0.573
atipamezole	3	F18	1	0.0197954512223128	0.248
atn-161	3	D06	1	0.0133165860919178	0.279
atomoxetine	3	E12	1	0.0084071385431768	0.332
atorvastatin	3	H06	1	0.072801177583539	0.031
atracurium	3	J24	1	0.0459502692797845	0.191
atrasentan	3	D24	1	0.019394957212888	0.382
av-608	3	G24	1	0.1442771142206838	0.004
avagacestat	3	J06	1	0.0098759847541451	0.304
avanafil	3	L18	1	-0.0067333823276106	0.5
avasimibe	3	B12	1	0.0827941189444158	0.046
avl-292	3	A24	1	0.0435163316463293	0.236
avn-944	3	A18	1	0.0356808019741546	0.196
azacitidine	3	L18	1	0.0997482181720694	0.017
azathioprine	3	F24	1	0.0363321819532472	0.266
azd1208	3	G06	1	-0.009911201423407	0.503
azd1480	3	L24	1	0.081617965397442	0.072
azd1981	3	B18	1	0.0153208227395496	0.328
azd2014	3	H06	1	-0.0082506492451489	0.508
azd3514	3	D24	1	0.0075812143940572	0.502
azd4547	2	B24	1	0.0318691535385658	0.369
azd5363	3	N12	1	0.0576552238754998	0.071
azd7545	3	B12	1	0.0174902458513902	0.283
azd7687	3	L18	1	0.0854427977952025	0.031
azd7762	3	P12	1	0.0504567470478844	0.131
azd8931	3	M06	1	-0.0302107751396722	0.689
azd9668	3	L24	1	0.1910738922735993	0.003
azelaic-acid	3	F18	1	-0.0208866682603575	0.596
azelastine	3	E12	1	0.0891011148329063	0.02
balaglitazone	4	B12	1	0.024056649733325	0.196
balapiravir	3	M18	1	-0.0364576252544338	0.785
balicatib	3	P24	1	0.1043617781041156	0.059
balsalazide	3	J12	1	0.0348835581211725	0.17
bambuterol	3	I24	1	-0.0072677994131661	0.629
bardoxolone-methyl	3	H18	1	-0.0102221287990815	0.565
basimglurant	3	E12	1	0.0458259312649245	0.09
batimastat	3	A24	1	0.0484624888508374	0.213
bavisant	2	O18	1	-0.0654034146490674	0.858
bay-87-2243	3	H06	1	0.2890429190645709	0.0
bazedoxifene	3	H12	1	0.1509423238963236	0.004
bci-540	3	I12	1	0.0686232273627011	0.098
beclomethasone-dipropionate	3	O18	1	0.2726724758006281	0.0
belinostat	3	L24	1	-0.0041301001630713	0.574
bemegride	3	N12	1	0.2776484742921545	0.0
benazepril	3	M18	1	0.0229805229810201	0.208
bendamustine	3	J06	1	-0.0032913273342804	0.431
bendroflumethiazide	3	O18	1	0.0694850093144979	0.06
benzbromarone	3	P24	1	0.0771431511664602	0.121
benzthiazide	3	E24	1	0.0846104302433096	0.064
benzydamine	3	J06	1	0.0640938592543403	0.06
benzylpenicillin	3	L24	1	0.0690813859453331	0.1
bepotastine	3	C06	1	-0.0146806382494606	0.633
berberine	3	L18	1	0.0315712536974619	0.175
betahistine	3	J24	1	0.1049194275895383	0.032
betulinic-acid	3	B18	1	0.0008484610521985	0.436
bevirimat-dimeglumine	3	G24	1	-0.0341420147699044	0.865
bexarotene	3	A18	1	0.0524217112823041	0.13
bezafibrate	3	K18	1	0.0419386221776657	0.129
bicalutamide	3	E06	1	-0.0146529906830389	0.539
bifemelane	3	A18	1	-0.0161781415840094	0.599
bifonazole	3	F06	1	0.0089472611749192	0.328
bimatoprost	3	J24	1	-0.0048800190284762	0.616
bindarit	3	O18	1	0.0708195712144675	0.055
biperiden	3	C12	1	-0.0232212083787761	0.664
birinapant	3	H24	1	0.0030967589166649	0.571
bisindolylmaleimide	3	B18	1	0.1420663211927736	0.01
bisoprolol	3	F18	1	0.0625739816121043	0.081
bitopertin	3	I12	1	0.1344389602734501	0.008
blonanserin	3	C12	1	-0.0394775273698041	0.8
bms-599626	3	K24	1	-0.0709472780161209	0.963
bms-707035	3	O24	1	0.004759735575954	0.47
bms-927711	3	A18	1	0.0562101697194353	0.12
bopindolol	3	M24	1	-0.0654128789381797	0.97
bortezomib	3	D18	1	0.5215736371475617	0.0
bosentan	2	E06	1	0.1657122500938077	0.03
bosutinib	3	N24	1	-0.0154263909840723	0.684
brequinar	2	K24	1	-0.0128241872865819	0.585
bretazenil	3	N18	1	-0.0062316121052689	0.538
brexpiprazole	4	F06	1	0.0140678009414718	0.223
brivanib	3	C06	1	0.0278326469553271	0.215
brivudine	3	H18	1	-0.0263946743116092	0.723
bromocriptine	3	H12	1	0.0263065181222344	0.173
broxuridine	3	M24	1	-0.0126098521058495	0.589
bruceantin	3	O12	1	0.7179242538174844	0.0
bts-54505	3	C12	1	0.1948394942555412	0.0
bucladesine	3	P24	1	0.047785140252649	0.258
budipine	3	P12	1	0.000232557755057	0.508
bumetanide	3	M12	1	-0.0652355971524744	0.963
bupivacaine	4	G12	1	0.0193430342309767	0.23
bupropion	3	F06	1	0.0337549140489028	0.178
buspirone	3	L06	1	-0.0072223202501176	0.521
butoconazole	3	E24	1	0.0174196498019457	0.39
butorphanol-(+)-tartrate	3	L18	1	-0.0214277450158048	0.685
bvd-523	3	D18	1	-0.0279496839701631	0.727
cabazitaxel	3	J24	1	0.3031148947208828	0.0
cabergoline	3	P24	1	0.0412429644593954	0.316
cabozantinib	3	C06	1	0.0647127586607387	0.069
caffeine	4	L12	1	0.0185911267310276	0.231
calcitriol	3	I18	1	0.0038630001383446	0.402
camicinal	3	M12	1	-0.0208422348466764	0.647
camptothecin	3	D12	1	0.3594932216989565	0.0
canagliflozin	3	M12	1	-0.0041677376509774	0.443
candesartan	3	I24	1	0.0323647072527819	0.276
canertinib	3	B12	1	-0.026701820269244	0.705
canrenoic-acid	3	L18	1	0.0501830386855749	0.087
capecitabine	3	K18	1	-0.0155163763932943	0.534
capsaicin	3	P18	1	0.0355495638335508	0.295
carbachol	2	E18	1	-0.0671719533227812	0.913
carbamazepine	3	N06	1	0.0256315325877253	0.215
carbenoxolone	3	F06	1	0.0142903145878314	0.295
carbimazole	3	E06	1	0.0444385745524156	0.093
carglumic-acid	3	N24	1	0.0089025363891993	0.453
cariprazine	3	J24	1	0.0209050108263365	0.373
carisoprodol	3	N24	1	0.0193507924009615	0.36
carprofen	3	I18	1	0.0075444779039312	0.353
carvedilol	3	N12	1	0.0657173938204	0.06
cb-10-277-(free-acid)	3	N12	1	0.0071547006442962	0.379
cc-401	3	D24	1	0.109208656446552	0.026
cc-930	3	J06	1	0.0387540120204155	0.131
cediranib	3	F24	1	0.0116490162807693	0.457
cefdinir	3	B18	1	0.0415940445928353	0.167
