compound	no_of_compounds	well	dose_recode	median_score	p_value
17-hydroxyprogesterone-caproate	3	N18	1	0.0733696761021417	0.147
2-iminobiotin	3	B12	1	0.0854336080251947	0.124
3-amino-benzamide	3	D24	1	0.0112280471204578	0.648
3-deazaadenosine	2	O12	1	0.0688217136359943	0.237
abacavir	3	J06	1	0.0558529220242073	0.241
abiraterone-acetate	3	C18	1	0.0050624943860048	0.686
abt-202	3	E18	1	-0.0266244774864707	0.958
abt-239	3	I06	1	0.1022116418759679	0.063
abt-724	3	L12	1	0.038731812450008	0.391
acarbose	4	H06	1	0.004028175991543	0.771
acebutolol	2	L12	1	0.024638083149088	0.505
acecainide	3	O18	1	0.0020231496878882	0.704
acenocoumarol	3	O18	1	0.1063347375106449	0.054
acetazolamide	3	M24	1	-0.0158423612564165	0.898
acetylcysteine	3	O18	1	-0.0012168813762036	0.73
acexamic-acid	3	J12	1	0.0998889191278543	0.06
acifran	3	F06	1	0.0333539273208278	0.341
acipimox	3	G06	1	-0.0059031465691472	0.815
acivicin	3	E24	1	0.0809570631935052	0.113
aclidinium	3	A12	1	0.0934549287684237	0.068
acrivastine	3	A12	1	0.0772475932115168	0.102
actarit	3	M18	1	0.0509537635545512	0.236
acy-1215	2	H24	1	0.1924718204698104	0.061
adapalene	3	N12	1	0.0205823378090212	0.492
adarotene	3	A18	1	0.0034942950297503	0.722
adatanserin	3	L18	1	0.0111259237404715	0.632
adenosine	4	G06	1	0.0180830775134206	0.578
adoprazine	3	L24	1	0.0118990843121676	0.6
afatinib	3	M06	1	0.0036442245804841	0.693
afloqualone	3	E12	1	0.0511831802728441	0.24
agi-5198	3	I18	1	0.1273025596746245	0.024
agi-6780	3	C12	1	0.0104930083644586	0.559
agomelatine	3	L06	1	0.0387522416672548	0.342
agp-103	3	N12	1	0.0904678870543476	0.068
alaproclate	3	M12	1	0.0952256357828163	0.076
albendazole	3	P06	1	0.1174196138346478	0.084
alectinib	3	P12	1	0.0645456596135614	0.157
alisertib	2	F24	1	0.1405961647549843	0.082
aliskiren	3	I12	1	0.0566632417582119	0.35
alizapride	4	M18	1	0.1267367487396091	0.005
allopurinol	3	O12	1	0.0726605945929418	0.137
almitrine	3	O24	1	0.0261104438124484	0.491
almorexant	3	K24	1	0.1052578477132664	0.06
altanserin	4	C18	1	0.0797522925863386	0.059
altrenogest	3	L06	1	0.1255496676661237	0.031
altretamine	3	K24	1	0.0347096632366993	0.399
alvespimycin	3	A24	1	0.1417748867674925	0.03
alvimopan	3	P24	1	0.1985968870014543	0.005
alvocidib	3	B24	1	0.2065461359781155	0.002
am-24	3	I24	1	-0.0048569816610638	0.83
amantadine	3	E24	1	0.0852426539269218	0.101
ambrisentan	3	I06	1	0.0367637123918264	0.379
ambroxol	2	B24	1	0.0198586816134825	0.559
amd11070	3	M06	1	0.029114611052188	0.413
amg-208	3	E12	1	-0.0155184972581444	0.925
amg-232	3	J24	1	-0.0172023544773689	0.923
amg-517	3	P06	1	0.0769630372005382	0.238
amikacin	3	P06	1	0.0884481745162851	0.185
amiloride	3	I12	1	0.0057544528749263	0.826
aminocaproic-acid	3	J12	1	0.0210486355634578	0.596
aminoglutethimide	3	B18	1	-0.0060568973173002	0.805
aminoguanidine	3	A12	1	0.0121790432638628	0.631
aminolevulinic-acid	3	H12	1	-0.0024065749735375	0.868
aminosalicylic-acid	3	B12	1	0.0631689740672724	0.229
amiodarone	3	K18	1	0.0784731513285164	0.148
amiprilose	3	I24	1	0.0643736230299	0.169
amitifadine	3	E18	1	-0.0349416274731128	0.98
amlexanox	3	E12	1	0.0484897903821002	0.249
amlodipine	3	H12	1	0.1367304554525065	0.026
ammonium-glycyrrhizinate	3	O18	1	0.0321148555643151	0.36
amonafide	3	C18	1	0.0448120539609319	0.283
amoxapine	4	I18	1	0.0493304643752545	0.222
ampalex	3	A18	1	0.0541712539757178	0.255
amrinone	3	L12	1	0.0004845462691196	0.777
amsacrine	3	D12	1	0.2559651564714193	0.0
amtolmetin-guacil	3	K06	1	0.0261425865853701	0.46
amuvatinib	3	M18	1	0.0034328840568274	0.702
anamorelin	4	E24	1	0.0542044495274913	0.191
anandamide	3	K18	1	0.0540449067303643	0.272
andrographolide	3	N24	1	0.0547520478659819	0.221
anecortave-acetate	3	G24	1	-0.0064410258690572	0.833
anidulafungin	3	J12	1	0.0408836655856502	0.363
aniracetam	3	D24	1	0.0047496275831033	0.71
anisodamine	3	N06	1	0.0626078699276103	0.158
ap26113	2	B18	1	-0.0141460617703598	0.795
apafant	3	I06	1	0.0120527473895732	0.649
apd668	3	L24	1	0.0204465534976328	0.491
aphidicolin	3	M06	1	0.0199457031087727	0.496
api-001	3	H18	1	0.0815065709021927	0.088
apixaban	3	P12	1	0.0451418945143011	0.299
apocynin	3	P24	1	0.0734674556673326	0.175
apremilast	3	D06	1	0.186027711879564	0.002
aprepitant	3	K06	1	0.0113028605075273	0.653
arbutin	3	B18	1	0.047505125316327	0.224
argatroban	3	J24	1	0.0525365284320373	0.233
arglabin	3	D18	1	0.0435412416986722	0.255
aripiprazole	3	F24	1	0.0135070169414611	0.663
arofylline	3	I12	1	0.0712427756283468	0.276
arry-334543	3	D12	1	0.046109405875836	0.316
artesunate	3	M18	1	0.2161454079870423	0.0
asa-404	3	G12	1	0.0722668958428264	0.122
asc-j9	3	P12	1	0.0134537060090625	0.661
asenapine	3	I18	1	0.0485446677768878	0.268
aspirin	3	O24	1	0.0187062315854036	0.56
at13387	3	F06	1	0.0460842090238104	0.251
ataluren	3	I06	1	-0.0474128349858893	0.992
atenolol	2	B18	1	0.0282061284012497	0.437
atipamezole	3	F18	1	-0.016409201507735	0.919
atn-161	3	D06	1	0.0827295783106261	0.075
atomoxetine	3	E12	1	0.032454039943778	0.39
atorvastatin	3	H06	1	0.0452746588382826	0.241
atracurium	3	J24	1	0.0018843239025634	0.785
atrasentan	3	D24	1	0.0251658034830942	0.456
av-608	3	G24	1	0.1967164094602424	0.002
avagacestat	3	J06	1	0.0392551455923655	0.352
avanafil	3	L18	1	0.0172640328265777	0.539
avasimibe	3	B12	1	0.0889383136175254	0.12
avl-292	3	A24	1	0.0832648017071849	0.146
avn-944	3	A18	1	0.0209595127898118	0.54
azacitidine	3	L18	1	0.0429504175466246	0.234
azathioprine	3	F24	1	0.0417410703100947	0.371
azd1208	3	G06	1	0.017545143822434	0.516
azd1480	3	L24	1	0.1211803298333641	0.02
azd1981	3	B18	1	0.0766751298214102	0.112
azd2014	3	H06	1	0.0619949786366691	0.155
azd3514	3	D24	1	0.0420574676593637	0.287
azd4547	2	B24	1	0.0336866191686877	0.446
azd5363	3	N12	1	0.1284953508457601	0.017
azd7545	3	B12	1	0.074306269776578	0.173
azd7687	3	L18	1	0.0483827249353645	0.185
azd7762	3	P12	1	0.0914192332962735	0.078
azd8931	3	M06	1	0.0618227472952599	0.198
azd9668	3	L24	1	0.1266983993185034	0.017
azelaic-acid	3	F18	1	0.0273118314321369	0.426
azelastine	3	E12	1	-0.0144193236076107	0.913
balaglitazone	4	B12	1	0.0810629925707711	0.085
balapiravir	3	M18	1	0.023195810616443	0.46
balicatib	3	P24	1	0.1238271631421612	0.027
balsalazide	3	J12	1	0.0342704356438736	0.432
bambuterol	3	I24	1	0.0321320289720393	0.422
bardoxolone-methyl	3	H18	1	0.0123339852956294	0.62
basimglurant	3	E12	1	0.0868369327879102	0.083
batimastat	3	A24	1	0.1178940412576014	0.062
bavisant	2	O18	1	-0.0072947411951985	0.686
bay-87-2243	3	H06	1	0.3095092671953836	0.0
bazedoxifene	3	H12	1	0.213065715511461	0.003
bci-540	3	I12	1	0.1338874970602961	0.082
beclomethasone-dipropionate	3	O18	1	0.2865340068965796	0.0
belinostat	3	L24	1	0.0118434519799572	0.6
bemegride	3	N12	1	0.1418294818635716	0.01
benazepril	3	M18	1	0.0530203176580186	0.218
bendamustine	3	J06	1	0.0143459300059606	0.657
bendroflumethiazide	3	O18	1	0.1344990971110145	0.02
benzbromarone	3	P24	1	0.0609970887783237	0.242
benzthiazide	3	E24	1	0.0637025584796414	0.194
benzydamine	3	J06	1	0.1033633152044662	0.075
benzylpenicillin	3	L24	1	-0.0562363147092375	0.985
bepotastine	3	C06	1	0.0139294757466357	0.582
berberine	3	L18	1	-0.0028473860420443	0.799
betahistine	3	J24	1	0.1433149239336287	0.015
betulinic-acid	3	B18	1	0.0216024444479667	0.468
bevirimat-dimeglumine	3	G24	1	0.0100399645165312	0.666
bexarotene	3	A18	1	0.0766547637876277	0.131
bezafibrate	3	K18	1	0.1152618120479097	0.056
bicalutamide	3	E06	1	-0.0122752144933322	0.887
bifemelane	3	A18	1	0.0163176629864503	0.578
bifonazole	3	F06	1	0.0682441829541119	0.136
bimatoprost	3	J24	1	0.0269008789731878	0.479
bindarit	3	O18	1	0.092535809519728	0.077
biperiden	3	C12	1	-0.0118330132904885	0.835
birinapant	3	H24	1	0.0233998448714421	0.607
bisindolylmaleimide	3	B18	1	0.1321977248612674	0.028
bisoprolol	3	F18	1	0.1358848259311699	0.032
bitopertin	3	I12	1	0.0343049822442583	0.513
blonanserin	3	C12	1	0.0139032415562156	0.517
bms-599626	3	K24	1	-0.0156838988909255	0.907
bms-707035	3	O24	1	0.0141566049335203	0.602
bms-927711	3	A18	1	0.0805900488425157	0.119
bopindolol	3	M24	1	-0.0288384838302578	0.952
bortezomib	3	D18	1	0.5325260798933147	0.0
bosentan	2	E06	1	0.2085482933322257	0.019
bosutinib	3	N24	1	0.0060181026769086	0.71
brequinar	2	K24	1	0.063385325441024	0.277
bretazenil	3	N18	1	0.0775115651147142	0.127
brexpiprazole	4	F06	1	0.0349147113495766	0.288
brivanib	3	C06	1	-0.0157430419717907	0.916
brivudine	3	H18	1	0.0008387047157354	0.757
bromocriptine	3	H12	1	0.0956026928793167	0.12
broxuridine	3	M24	1	0.037615088235887	0.325
bruceantin	3	O12	1	0.7238049152738943	0.0
bts-54505	3	C12	1	0.0936444498751195	0.049
bucladesine	3	P24	1	0.1145608538346365	0.034
budipine	3	P12	1	0.0153260002485569	0.642
bumetanide	3	M12	1	0.0080475639476855	0.697
bupivacaine	4	G12	1	0.0863192333220074	0.036
bupropion	3	F06	1	0.0846135830465473	0.086
buspirone	3	L06	1	0.0655030207907987	0.166
butoconazole	3	E24	1	0.0112323195708242	0.636
butorphanol-(+)-tartrate	3	L18	1	0.0123579883365474	0.612
bvd-523	3	D18	1	-0.0078662832610963	0.824
cabazitaxel	3	J24	1	0.2943775827315844	0.0
cabergoline	3	P24	1	0.0721988153249618	0.181
cabozantinib	3	C06	1	0.0030125356334148	0.735
caffeine	4	L12	1	0.0522021355909262	0.192
calcitriol	3	I18	1	0.024720946178933	0.522
camicinal	3	M12	1	0.0411466375365831	0.338
camptothecin	3	D12	1	0.3691410240175984	0.0
canagliflozin	3	M12	1	0.034721869593168	0.4
candesartan	3	I24	1	0.0550010283939933	0.226
canertinib	3	B12	1	0.0031020830788412	0.781
canrenoic-acid	3	L18	1	0.0668530843275253	0.106
capecitabine	3	K18	1	0.0478135519986548	0.326
capsaicin	3	P18	1	0.1094612004872046	0.073
carbachol	2	E18	1	0.0300635284149109	0.396
carbamazepine	3	N06	1	-0.0028565604228005	0.763
